"플레이스보고서(2025.06.01.~2025.06.30.),cmfitness12:naver"
"캠페인유형",캠페인,광고그룹,PC/모바일 매체,검색어,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위
"파워링크",[짐아서] 메인키워드,1순위 지역 MO,모바일,개인피티뚝섬역,1,0,0,0,2
"파워링크",[짐아서] 메인키워드,1순위 지역 MO,모바일,뚝섬24시,1,0,0,0,1
"파워링크",[짐아서] 메인키워드,1순위 지역 MO,모바일,뚝섬24시헬스,1,0,0,0,2
"파워링크",[짐아서] 메인키워드,1순위 지역 MO,모바일,뚝섬PT,1,0,0,0,1
"파워링크",[짐아서] 메인키워드,1순위 지역 MO,모바일,뚝섬개인피티,1,0,0,0,2
"파워링크",[짐아서] 메인키워드,1순위 지역 MO,모바일,뚝섬그룹PT헬스장,15,0,0,0,2.7
"파워링크",[짐아서] 메인키워드,1순위 지역 MO,모바일,뚝섬역1번출구다이어트,1,0,0,0,1
"파워링크",[짐아서] 메인키워드,1순위 지역 MO,모바일,뚝섬역1일헬스장,2,0,0,0,2
"파워링크",[짐아서] 메인키워드,1순위 지역 MO,모바일,뚝섬역24시헬스장,2,0,0,0,2.5
"파워링크",[짐아서] 메인키워드,1순위 지역 MO,모바일,뚝섬역2호선헬스,1,0,0,0,1
"파워링크",[짐아서] 메인키워드,1순위 지역 MO,모바일,뚝섬역5번출구,11,0,0,0,2.2
"파워링크",[짐아서] 메인키워드,1순위 지역 MO,모바일,뚝섬역PT,23,0,0,0,1.6
"파워링크",[짐아서] 메인키워드,1순위 지역 MO,모바일,뚝섬역PT샵,4,0,0,0,1.5
"파워링크",[짐아서] 메인키워드,1순위 지역 MO,모바일,뚝섬역단체,3,0,0,0,1.3
"파워링크",[짐아서] 메인키워드,1순위 지역 MO,모바일,뚝섬역샵,1,0,0,0,2
"파워링크",[짐아서] 메인키워드,1순위 지역 MO,모바일,뚝섬역운동,4,0,0,0,2.8
"파워링크",[짐아서] 메인키워드,1순위 지역 MO,모바일,뚝섬역일일헬스,1,0,0,0,2
"파워링크",[짐아서] 메인키워드,1순위 지역 MO,모바일,뚝섬역피트니스,3,0,0,0,2
"파워링크",[짐아서] 메인키워드,1순위 지역 MO,모바일,뚝섬역피티,8,0,0,0,1.8
"파워링크",[짐아서] 메인키워드,1순위 지역 MO,모바일,뚝섬역피티금액,1,0,0,0,2
"파워링크",[짐아서] 메인키워드,1순위 지역 MO,모바일,뚝섬역피티샵,1,0,0,0,1
"파워링크",[짐아서] 메인키워드,1순위 지역 MO,모바일,뚝섬역헬스,28,1,891,891,2.1
"파워링크",[짐아서] 메인키워드,1순위 지역 MO,모바일,뚝섬역헬스일일권,1,0,0,0,1
"파워링크",[짐아서] 메인키워드,1순위 지역 MO,모바일,뚝섬역헬스장,83,6,"2,092","12,551",1
"파워링크",[짐아서] 메인키워드,1순위 지역 MO,모바일,뚝섬웨이트,1,0,0,0,2
"파워링크",[짐아서] 메인키워드,1순위 지역 MO,모바일,뚝섬지하철헬스,1,0,0,0,1
"파워링크",[짐아서] 메인키워드,1순위 지역 MO,모바일,뚝섬체형,1,0,0,0,1
"파워링크",[짐아서] 메인키워드,1순위 지역 MO,모바일,뚝섬피트니스,1,0,0,0,3
"파워링크",[짐아서] 메인키워드,1순위 지역 MO,모바일,뚝섬피티,4,0,0,0,2
"파워링크",[짐아서] 메인키워드,1순위 지역 MO,모바일,뚝섬헬스,16,0,0,0,1
"파워링크",[짐아서] 메인키워드,1순위 지역 MO,모바일,뚝섬헬스장,18,1,"2,200","2,200",1.1
"파워링크",[짐아서] 메인키워드,1순위 지역 MO,모바일,서울뚝섬역헬스장,1,0,0,0,2
"파워링크",[짐아서] 메인키워드,1순위 지역 MO,모바일,성수헬스장수입머신,3,0,0,0,1
"파워링크",[짐아서] 메인키워드,1순위 지역 MO,모바일,잠백이멤버스,1,0,0,0,1
"파워링크",[짐아서] 메인키워드,1순위 지역 MO,모바일,잠백이헬스,4,0,0,0,2.5
"파워링크",[짐아서] 메인키워드,1순위 지역 MO,모바일,잠백이헬스장,4,0,0,0,2
"파워링크",[짐아서] 메인키워드,1순위 지역 MO,모바일,주변연중무휴헬스장,1,0,0,0,4
"파워링크",[짐아서] 메인키워드,1순위 지역 PC,PC,뚝섬PT,6,0,0,0,1.3
"파워링크",[짐아서] 메인키워드,1순위 지역 PC,PC,뚝섬개인PT샵,1,1,77,77,1
"파워링크",[짐아서] 메인키워드,1순위 지역 PC,PC,뚝섬역24시간헬스,2,0,0,0,2
"파워링크",[짐아서] 메인키워드,1순위 지역 PC,PC,뚝섬역5번출구,2,0,0,0,3
"파워링크",[짐아서] 메인키워드,1순위 지역 PC,PC,뚝섬역PT,6,0,0,0,1.5
"파워링크",[짐아서] 메인키워드,1순위 지역 PC,PC,뚝섬역PT샵,2,0,0,0,2.5
"파워링크",[짐아서] 메인키워드,1순위 지역 PC,PC,뚝섬역주변헬스장,1,0,0,0,1
"파워링크",[짐아서] 메인키워드,1순위 지역 PC,PC,뚝섬역짐아서PT,1,0,0,0,1
"파워링크",[짐아서] 메인키워드,1순위 지역 PC,PC,뚝섬역피티,6,0,0,0,3
"파워링크",[짐아서] 메인키워드,1순위 지역 PC,PC,뚝섬역피티샵,1,0,0,0,1
"파워링크",[짐아서] 메인키워드,1순위 지역 PC,PC,뚝섬역헬스장,21,4,272,"1,089",2
"파워링크",[짐아서] 메인키워드,1순위 지역 PC,PC,뚝섬트레이닝센터,1,0,0,0,1
"파워링크",[짐아서] 메인키워드,1순위 지역 PC,PC,뚝섬헬스,1,0,0,0,4
"파워링크",[짐아서] 메인키워드,1순위 지역 PC,PC,뚝섬헬스장,9,0,0,0,1
"파워링크",[짐아서] 메인키워드,1순위 지역 PC,PC,성동구헬스장추천,1,0,0,0,1
"파워링크",[짐아서] 메인키워드,1순위 지역 PC,PC,잠백이헬스장,1,0,0,0,1
"파워링크",[짐아서] 메인키워드,인근지역 MO,PC,건대입구PT,1,0,0,0,3
"파워링크",[짐아서] 메인키워드,인근지역 MO,PC,건대입구역헬스,1,0,0,0,3
"파워링크",[짐아서] 메인키워드,인근지역 MO,PC,건대입구역헬스장,3,0,0,0,2.7
