"플레이스보고서(2025.06.01.~2025.06.30.),dankeschnitzel:naver"
"캠페인유형",캠페인,광고그룹,PC/모바일 매체,검색어,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위
"파워링크",파워_당케슈니첼,PC,PC,경남남해당케슈니첼,1,0,0,0,1
"파워링크",파워_당케슈니첼,PC,PC,경남남해맛집,100,1,121,121,2.2
"파워링크",파워_당케슈니첼,PC,PC,경남맛집,498,0,0,0,3.8
"파워링크",파워_당케슈니첼,PC,PC,남해1주일살기,8,0,0,0,4
"파워링크",파워_당케슈니첼,PC,PC,남해가는길맛집,1,0,0,0,2
"파워링크",파워_당케슈니첼,PC,PC,남해가볼만한곳,"3,086",16,307,"4,906",8.6
"파워링크",파워_당케슈니첼,PC,PC,남해가볼만한곳독일마을,6,0,0,0,6
"파워링크",파워_당케슈니첼,PC,PC,남해가볼만한맛집,1,0,0,0,4
"파워링크",파워_당케슈니첼,PC,PC,남해갈만한곳,187,1,286,286,5.4
"파워링크",파워_당케슈니첼,PC,PC,남해관광지,86,0,0,0,8.1
"파워링크",파워_당케슈니첼,PC,PC,남해군당케슈니첼,1,0,0,0,1
"파워링크",파워_당케슈니첼,PC,PC,남해군독일마을,3,0,0,0,7.3
"파워링크",파워_당케슈니첼,PC,PC,남해군독일마을맛집,1,0,0,0,4
"파워링크",파워_당케슈니첼,PC,PC,남해군맛집,210,1,187,187,4.7
"파워링크",파워_당케슈니첼,PC,PC,남해당케슈니첼,18,0,0,0,1
"파워링크",파워_당케슈니첼,PC,PC,남해당케슈니첼웨이팅,1,0,0,0,1
"파워링크",파워_당케슈니첼,PC,PC,남해독일마을가볼만한곳,9,0,0,0,1.9
"파워링크",파워_당케슈니첼,PC,PC,남해독일마을가정식,1,0,0,0,1
"파워링크",파워_당케슈니첼,PC,PC,남해독일마을굴라쉬,1,0,0,0,1
"파워링크",파워_당케슈니첼,PC,PC,남해독일마을근처맛집,15,0,0,0,1.5
"파워링크",파워_당케슈니첼,PC,PC,남해독일마을당케,1,0,0,0,1
"파워링크",파워_당케슈니첼,PC,PC,남해독일마을당케슈니첼,2,0,0,0,1
"파워링크",파워_당케슈니첼,PC,PC,남해독일마을독일가정식,1,0,0,0,1
"파워링크",파워_당케슈니첼,PC,PC,남해독일마을독일맛집,1,0,0,0,3
"파워링크",파워_당케슈니첼,PC,PC,남해독일마을맛집,705,18,277,"4,983",4
"파워링크",파워_당케슈니첼,PC,PC,남해독일마을맛집리스트,2,0,0,0,1
"파워링크",파워_당케슈니첼,PC,PC,남해독일마을맛집체험하기,1,0,0,0,1
"파워링크",파워_당케슈니첼,PC,PC,남해독일마을맛집추천,1,0,0,0,2
"파워링크",파워_당케슈니첼,PC,PC,남해독일마을맛집포장,2,0,0,0,1
"파워링크",파워_당케슈니첼,PC,PC,남해독일마을먹거리,1,0,0,0,1
"파워링크",파워_당케슈니첼,PC,PC,남해독일마을밥집,8,0,0,0,1.6
"파워링크",파워_당케슈니첼,PC,PC,남해독일마을뷰가좋은식당,1,0,0,0,3
"파워링크",파워_당케슈니첼,PC,PC,남해독일마을소세지,3,0,0,0,1
"파워링크",파워_당케슈니첼,PC,PC,남해독일마을소세지맛집,2,0,0,0,1
