"플레이스보고서(2025.06.01.~2025.06.30.),daonaa:naver"
"캠페인유형",캠페인,광고그룹유형,PC/모바일 매체,검색어,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위
"파워링크",파워링크#1,파워링크,PC,11평투룸방이작아서거실을룸으로,1,0,0,0,2
"파워링크",파워링크#1,파워링크,PC,경산단기임대투룸,1,0,0,0,2
"파워링크",파워링크#1,파워링크,PC,경산대구한의대원룸,1,0,0,0,1
"파워링크",파워링크#1,파워링크,PC,경산미니투룸,14,1,99,99,1.6
"파워링크",파워링크#1,파워링크,PC,경산부동산,111,0,0,0,2.7
"파워링크",파워링크#1,파워링크,PC,경산부동산매물,2,0,0,0,4.5
"파워링크",파워링크#1,파워링크,PC,경산사동원룸,11,0,0,0,1.9
"파워링크",파워링크#1,파워링크,PC,경산사동원룸상가,1,0,0,0,3
"파워링크",파워링크#1,파워링크,PC,경산사동원룸월세,2,0,0,0,1
"파워링크",파워링크#1,파워링크,PC,경산사동월세,11,0,0,0,1.5
"파워링크",파워링크#1,파워링크,PC,경산사동투룸,1,0,0,0,1
"파워링크",파워링크#1,파워링크,PC,경산상가월세,6,0,0,0,2.5
"파워링크",파워링크#1,파워링크,PC,경산상가임대,202,0,0,0,6.2
"파워링크",파워링크#1,파워링크,PC,경산시원룸풀옵션월세,1,0,0,0,2
"파워링크",파워링크#1,파워링크,PC,경산신대,1,0,0,0,2
"파워링크",파워링크#1,파워링크,PC,경산신대부적부동산,1,0,0,0,2
"파워링크",파워링크#1,파워링크,PC,경산신대부적원룸,3,0,0,0,2
"파워링크",파워링크#1,파워링크,PC,경산쓰리룸월세,3,0,0,0,1
"파워링크",파워링크#1,파워링크,PC,경산영남대오피스텔월세,1,0,0,0,1
"파워링크",파워링크#1,파워링크,PC,경산영남대원룸,27,3,499,"1,496",1.3
"파워링크",파워링크#1,파워링크,PC,경산영남대원룸월세,1,0,0,0,3
"파워링크",파워링크#1,파워링크,PC,경산영남대자취방,1,0,0,0,3
"파워링크",파워링크#1,파워링크,PC,경산영남대학교원룸,2,0,0,0,2
"파워링크",파워링크#1,파워링크,PC,경산영대근처아파트,1,0,0,0,1
"파워링크",파워링크#1,파워링크,PC,경산영대오피스텔,1,1,407,407,1
"파워링크",파워링크#1,파워링크,PC,경산영대원룸,8,3,348,"1,045",2
"파워링크",파워링크#1,파워링크,PC,경산오피스텔,50,1,66,66,6.9
"파워링크",파워링크#1,파워링크,PC,경산오피스텔원룸,2,0,0,0,3
"파워링크",파워링크#1,파워링크,PC,경산오피스텔월세,2,0,0,0,2
"파워링크",파워링크#1,파워링크,PC,경산원룸,119,0,0,0,2.2
"파워링크",파워링크#1,파워링크,PC,경산원룸월세,3,0,0,0,1.7
"파워링크",파워링크#1,파워링크,PC,경산주인세대,53,2,468,935,1.1
"파워링크",파워링크#1,파워링크,PC,경산주인세대전세,2,0,0,0,1.5
"파워링크",파워링크#1,파워링크,PC,경산청년부동산,1,0,0,0,1
"파워링크",파워링크#1,파워링크,PC,경산청춘부동산,2,0,0,0,1.5
"파워링크",파워링크#1,파워링크,PC,경산투룸,119,0,0,0,2.1
"파워링크",파워링크#1,파워링크,PC,경산투룸오피스텔,1,0,0,0,3
"파워링크",파워링크#1,파워링크,PC,경산투룸월세,18,0,0,0,1.1
"파워링크",파워링크#1,파워링크,PC,경산한의대로38,2,0,0,0,1
"파워링크",파워링크#1,파워링크,PC,경산한의대원룸,1,0,0,0,1
"파워링크",파워링크#1,파워링크,PC,경산한의대원룸상가,1,0,0,0,1
"파워링크",파워링크#1,파워링크,PC,대경대원룸,3,0,0,0,1.7
"파워링크",파워링크#1,파워링크,PC,대경원룸,1,0,0,0,2
"파워링크",파워링크#1,파워링크,PC,대구200/20원룸,2,0,0,0,2
"파워링크",파워링크#1,파워링크,PC,대구8평원룸,1,0,0,0,1
"파워링크",파워링크#1,파워링크,PC,대구경산단기원룸,1,0,0,0,2
"파워링크",파워링크#1,파워링크,PC,대구경산부동산,2,0,0,0,3
"파워링크",파워링크#1,파워링크,PC,대구경산원룸매매,2,0,0,0,1.5
"파워링크",파워링크#1,파워링크,PC,대구대로투룸,1,0,0,0,3
"파워링크",파워링크#1,파워링크,PC,대구대영대원룸,1,0,0,0,1
"파워링크",파워링크#1,파워링크,PC,대구대원룸월세,1,0,0,0,4
"파워링크",파워링크#1,파워링크,PC,대구대자취부동산,1,0,0,0,3
"파워링크",파워링크#1,파워링크,PC,대구대학교원룸,28,1,451,451,2.4
"파워링크",파워링크#1,파워링크,PC,대구시경산원룸,1,0,0,0,1
