"플레이스보고서(2025.06.01.~2025.06.30.),fitindress9023:naver"
"캠페인유형",캠페인,광고그룹,PC/모바일 매체,검색어,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위
"파워링크",[RD] 피트인드레스 MO,[RD] 지역설정 MO,PC,가족한복대여,1,0,0,0,1
"파워링크",[RD] 피트인드레스 MO,[RD] 지역설정 MO,PC,결혼식한복,1,0,0,0,1
"파워링크",[RD] 피트인드레스 MO,[RD] 지역설정 MO,PC,결혼식혼주한복,1,0,0,0,5
"파워링크",[RD] 피트인드레스 MO,[RD] 지역설정 MO,PC,남동생결혼식한복,2,0,0,0,1
"파워링크",[RD] 피트인드레스 MO,[RD] 지역설정 MO,PC,돌아기한복,1,0,0,0,2
"파워링크",[RD] 피트인드레스 MO,[RD] 지역설정 MO,PC,돌잔치가족한복대여,1,1,121,121,2
"파워링크",[RD] 피트인드레스 MO,[RD] 지역설정 MO,PC,돌잔치한복대여,4,1,803,803,3.5
"파워링크",[RD] 피트인드레스 MO,[RD] 지역설정 MO,PC,돌한복구매,1,0,0,0,1
"파워링크",[RD] 피트인드레스 MO,[RD] 지역설정 MO,PC,드레스한복,1,0,0,0,3
"파워링크",[RD] 피트인드레스 MO,[RD] 지역설정 MO,PC,맞춤한복,1,0,0,0,1
"파워링크",[RD] 피트인드레스 MO,[RD] 지역설정 MO,PC,색동한복,1,0,0,0,1
"파워링크",[RD] 피트인드레스 MO,[RD] 지역설정 MO,PC,생활한복,11,0,0,0,1.4
"파워링크",[RD] 피트인드레스 MO,[RD] 지역설정 MO,PC,신부엄마한복,1,0,0,0,3
"파워링크",[RD] 피트인드레스 MO,[RD] 지역설정 MO,PC,신부한복,1,0,0,0,8
"파워링크",[RD] 피트인드레스 MO,[RD] 지역설정 MO,PC,아기한복대여,2,0,0,0,2
"파워링크",[RD] 피트인드레스 MO,[RD] 지역설정 MO,PC,양가어머님한복,1,0,0,0,1
"파워링크",[RD] 피트인드레스 MO,[RD] 지역설정 MO,PC,어린이개량한복,1,0,0,0,1
"파워링크",[RD] 피트인드레스 MO,[RD] 지역설정 MO,PC,여성한복,1,0,0,0,2
