"플레이스보고서(2025.06.01.~2025.06.30.),jduck222:naver"
"캠페인유형",캠페인,광고그룹,PC/모바일 매체,검색어,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위
"파워링크",해뜨는비치펜션 MO,03.독채펜션(지역),모바일,벌천포독채펜션,2,1,77,77,1
"파워링크",해뜨는비치펜션 MO,03.독채펜션(지역),모바일,삼길포항독채펜션,4,1,77,77,1.3
"파워링크",해뜨는비치펜션 MO,03.독채펜션(지역),모바일,삼길포항펜션독채,2,0,0,0,2
"파워링크",해뜨는비치펜션 MO,03.독채펜션(지역),모바일,서산단독펜션,29,1,110,110,2.5
"파워링크",해뜨는비치펜션 MO,03.독채펜션(지역),모바일,서산단체독채펜션,3,0,0,0,3.7
"파워링크",해뜨는비치펜션 MO,03.독채펜션(지역),모바일,서산펜션독채,10,0,0,0,2.4
"파워링크",해뜨는비치펜션 MO,03.독채펜션(지역),모바일,서산펜션해뜨는비치,12,0,0,0,1
"파워링크",해뜨는비치펜션 MO,03.독채펜션(지역),모바일,서산해뜨는바다,1,0,0,0,3
"파워링크",해뜨는비치펜션 MO,03.독채펜션(지역),모바일,서산해뜨는비치펜션,13,0,0,0,1.8
"파워링크",해뜨는비치펜션 MO,03.독채펜션(지역),모바일,서산해뜨는펜션,3,0,0,0,3
"파워링크",해뜨는비치펜션 MO,03.독채펜션(지역),모바일,서해.휴양,1,1,77,77,2
"파워링크",해뜨는비치펜션 MO,03.독채펜션(지역),모바일,서해30명단체펜션,1,0,0,0,2
"파워링크",해뜨는비치펜션 MO,03.독채펜션(지역),모바일,서해가족펜션30명,1,0,0,0,2
"파워링크",해뜨는비치펜션 MO,03.독채펜션(지역),모바일,서해단체펜션30명,1,0,0,0,2
"파워링크",해뜨는비치펜션 MO,03.독채펜션(지역),모바일,서해해뜨는바다,1,0,0,0,2
"파워링크",해뜨는비치펜션 MO,03.독채펜션(지역),모바일,서해해뜨는펜션,1,1,209,209,2
"파워링크",해뜨는비치펜션 MO,03.독채펜션(지역),모바일,중왕리독채펜션,1,0,0,0,1
"파워링크",해뜨는비치펜션 MO,03.독채펜션(지역),모바일,팔봉산독채펜션,1,0,0,0,3
"파워링크",해뜨는비치펜션 MO,03.독채펜션(지역),모바일,펜션해뜨는비치,2,0,0,0,2
"파워링크",해뜨는비치펜션 MO,03.독채펜션(지역),모바일,해뜨는비치팬션,1,0,0,0,2
"파워링크",해뜨는비치펜션 MO,03.독채펜션(지역),모바일,해뜨는비치펜션,1,0,0,0,4
"파워링크",해뜨는비치펜션 MO,03.독채펜션(지역),모바일,해미읍성독채펜션,2,0,0,0,2
"파워링크",해뜨는비치펜션 MO,04.수영장펜션(지역),모바일,몽산포수영장펜션,42,1,165,165,2
"파워링크",해뜨는비치펜션 MO,04.수영장펜션(지역),모바일,몽산포풀장펜션,2,0,0,0,3
"파워링크",해뜨는비치펜션 MO,04.수영장펜션(지역),모바일,바다나갈수있는펜션,1,0,0,0,3
"파워링크",해뜨는비치펜션 MO,04.수영장펜션(지역),모바일,서산갯마을펜션수영장,1,0,0,0,1
"파워링크",해뜨는비치펜션 MO,04.수영장펜션(지역),모바일,서산바다펜션아기,1,0,0,0,1
"파워링크",해뜨는비치펜션 MO,04.수영장펜션(지역),모바일,서산수영장펜션,5,0,0,0,12.2
"파워링크",해뜨는비치펜션 MO,04.수영장펜션(지역),모바일,서산수영장펜션추천,1,0,0,0,1
"파워링크",해뜨는비치펜션 MO,04.수영장펜션(지역),모바일,서산야외수영장,23,0,0,0,1.4
"파워링크",해뜨는비치펜션 MO,04.수영장펜션(지역),모바일,서산키즈펜션,15,0,0,0,3
"파워링크",해뜨는비치펜션 MO,04.수영장펜션(지역),모바일,서산파타야펜션,1,0,0,0,4
"파워링크",해뜨는비치펜션 MO,04.수영장펜션(지역),모바일,서산펜션해뜨는비치,2,0,0,0,2.5
"파워링크",해뜨는비치펜션 MO,04.수영장펜션(지역),모바일,서산해뜨는비치,1,0,0,0,2
"파워링크",해뜨는비치펜션 MO,04.수영장펜션(지역),모바일,서산해뜨는비치삼길포,1,0,0,0,2
"파워링크",해뜨는비치펜션 MO,04.수영장펜션(지역),모바일,서산해뜨는비치펜션,12,0,0,0,1.8
"파워링크",해뜨는비치펜션 MO,04.수영장펜션(지역),모바일,아기랑가기좋은서해바다추천,1,0,0,0,2
"파워링크",해뜨는비치펜션 MO,04.수영장펜션(지역),모바일,팔봉산수영장펜션,1,0,0,0,3
"파워링크",해뜨는비치펜션 MO,05.족구장펜션(지역),모바일,발코니에서바다낚시가능한펜션,1,0,0,0,3
"파워링크",해뜨는비치펜션 MO,05.족구장펜션(지역),모바일,서산족구장펜션,14,0,0,0,1.6
"파워링크",해뜨는비치펜션 MO,05.족구장펜션(지역),모바일,서산펜션족구장,6,1,77,77,1.5
"파워링크",해뜨는비치펜션 MO,05.족구장펜션(지역),모바일,서산펜션해뜨는비치,16,0,0,0,2
"파워링크",해뜨는비치펜션 MO,05.족구장펜션(지역),모바일,서산펜션해뜨는펜션,1,0,0,0,3
"파워링크",해뜨는비치펜션 MO,05.족구장펜션(지역),모바일,서산해뜨는비치,5,0,0,0,2
"파워링크",해뜨는비치펜션 MO,05.족구장펜션(지역),모바일,서산해뜨는비치펜션,15,0,0,0,2
"파워링크",해뜨는비치펜션 MO,05.족구장펜션(지역),모바일,서산해뜨는펜션,2,0,0,0,2
"파워링크",해뜨는비치펜션 MO,05.족구장펜션(지역),모바일,서해안펜션관리자,2,0,0,0,3
"파워링크",해뜨는비치펜션 MO,05.족구장펜션(지역),모바일,서해해뜨는바다,1,0,0,0,2
"파워링크",해뜨는비치펜션 MO,05.족구장펜션(지역),모바일,수영장낚시해루질할수있는펜션,1,0,0,0,3
"파워링크",해뜨는비치펜션 MO,05.족구장펜션(지역),모바일,태안해뜨는비치,1,0,0,0,2
"파워링크",해뜨는비치펜션 MO,05.족구장펜션(지역),모바일,해뜨는도시서산,1,0,0,0,2
"파워링크",해뜨는비치펜션 MO,06.근교펜션(지역),모바일,당진근교가족나들이,1,0,0,0,1
"파워링크",해뜨는비치펜션 MO,06.근교펜션(지역),모바일,당진근교단체펜션,1,0,0,0,4
"파워링크",해뜨는비치펜션 MO,06.근교펜션(지역),모바일,당진근교수영장펜션,1,0,0,0,3
"파워링크",해뜨는비치펜션 MO,06.근교펜션(지역),모바일,당진근교펜션,2,0,0,0,3.5
"파워링크",해뜨는비치펜션 MO,06.근교펜션(지역),모바일,당진근처독채펜션,1,0,0,0,3
"파워링크",해뜨는비치펜션 MO,06.근교펜션(지역),모바일,당진근처수영장펜션,1,0,0,0,3
"파워링크",해뜨는비치펜션 MO,06.근교펜션(지역),모바일,당진근처펜션,18,1,550,550,1.8
"파워링크",해뜨는비치펜션 MO,06.근교펜션(지역),모바일,서산근교바다낚시,1,0,0,0,1
"파워링크",해뜨는비치펜션 MO,06.근교펜션(지역),모바일,서산근교펜션,2,0,0,0,3.5
"파워링크",해뜨는비치펜션 MO,06.근교펜션(지역),모바일,서산근처펜션,3,0,0,0,3
"파워링크",해뜨는비치펜션 MO,06.근교펜션(지역),모바일,서산바다근처펜션,1,0,0,0,4
"파워링크",해뜨는비치펜션 MO,06.근교펜션(지역),모바일,서산바닷가.근처펜션,1,0,0,0,1
"파워링크",해뜨는비치펜션 MO,06.근교펜션(지역),모바일,서산바닷가근처숙박,1,0,0,0,2
"파워링크",해뜨는비치펜션 MO,06.근교펜션(지역),모바일,서산바닷가근처펜션,2,0,0,0,2
"파워링크",해뜨는비치펜션 MO,06.근교펜션(지역),모바일,서산벤션해뜨는비치,2,0,0,0,1.5
"파워링크",해뜨는비치펜션 MO,06.근교펜션(지역),모바일,서산부근펜션,3,1,352,352,3.3
"파워링크",해뜨는비치펜션 MO,06.근교펜션(지역),모바일,서산패션해뜨는비치,1,0,0,0,2
"파워링크",해뜨는비치펜션 MO,06.근교펜션(지역),모바일,서산펜션해뜨는,1,0,0,0,1
"파워링크",해뜨는비치펜션 MO,06.근교펜션(지역),모바일,서산펜션해뜨는비치,35,0,0,0,1.3
"파워링크",해뜨는비치펜션 MO,06.근교펜션(지역),모바일,서산펜션해뜨는비치계곡,1,0,0,0,1
"파워링크",해뜨는비치펜션 MO,06.근교펜션(지역),모바일,서산펜션해뜨는비치식당,1,0,0,0,3
"파워링크",해뜨는비치펜션 MO,06.근교펜션(지역),모바일,서산해뜨는마을펜션,1,0,0,0,2
"파워링크",해뜨는비치펜션 MO,06.근교펜션(지역),모바일,서산해뜨는바다펜션,3,0,0,0,1
"파워링크",해뜨는비치펜션 MO,06.근교펜션(지역),모바일,서산해뜨는비치2동,1,0,0,0,1
"파워링크",해뜨는비치펜션 MO,06.근교펜션(지역),모바일,서산해뜨는비치3동,1,0,0,0,2
"파워링크",해뜨는비치펜션 MO,06.근교펜션(지역),모바일,서산해뜨는비치갯벌,1,0,0,0,3
"파워링크",해뜨는비치펜션 MO,06.근교펜션(지역),모바일,서산해뜨는비치생합,1,0,0,0,2
"파워링크",해뜨는비치펜션 MO,06.근교펜션(지역),모바일,서산해뜨는비치수영장,1,0,0,0,3
"파워링크",해뜨는비치펜션 MO,06.근교펜션(지역),모바일,서산해뜨는비치펜션,1,0,0,0,2
"파워링크",해뜨는비치펜션 MO,06.근교펜션(지역),모바일,서산해뜨는비치펜션3동,4,2,286,572,2
"파워링크",해뜨는비치펜션 MO,06.근교펜션(지역),모바일,서산해뜨는비치회,2,0,0,0,1
"파워링크",해뜨는비치펜션 MO,06.근교펜션(지역),모바일,서산해뜨는펜션,3,0,0,0,3
