"플레이스보고서(2025.06.01.~2025.06.30.),juna501:naver"
"캠페인유형",캠페인,광고그룹,PC/모바일 매체,검색어,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위
"파워링크",파주출판단지 스튜디오501,자동차스튜디오(삭제),PC,CAR스튜디오,2,0,0,0,1
"파워링크",파주출판단지 스튜디오501,자동차스튜디오(삭제),PC,오토바이스튜디오,5,0,0,0,1
"파워링크",파주출판단지 스튜디오501,자동차스튜디오(삭제),PC,자동차광고스튜디오,1,1,77,77,2
"파워링크",파주출판단지 스튜디오501,자동차스튜디오(삭제),PC,자동차사진,6,0,0,0,9.2
"파워링크",파주출판단지 스튜디오501,자동차스튜디오(삭제),PC,자동차스튜디오,6,0,0,0,10.7
"파워링크",파주출판단지 스튜디오501,자동차스튜디오(삭제),PC,자동차진입스튜디오,1,1,55,55,2
"파워링크",파주출판단지 스튜디오501,자동차스튜디오(삭제),PC,자동차호리존,2,2,55,110,1
"파워링크",파주출판단지 스튜디오501,자동차스튜디오(삭제),PC,차량스튜디오,1,0,0,0,10
"파워링크",파주출판단지 스튜디오501,자동차스튜디오(삭제),PC,차량용촬영,1,0,0,0,3
"파워링크",파주출판단지 스튜디오501,자동차스튜디오(삭제),PC,차량진입스튜디오,7,2,55,110,4
"파워링크",파주출판단지 스튜디오501,자동차스튜디오(삭제),PC,차량호리존,3,0,0,0,1
"파워링크",파주출판단지 스튜디오501,자동차스튜디오(삭제),PC,차스튜디오,7,0,0,0,1.6
"파워링크",파주출판단지 스튜디오501,자동차스튜디오(삭제),PC,카스튜디오,1,0,0,0,2
"파워링크",파주출판단지 스튜디오501,자동차스튜디오(삭제),모바일,501스튜디오,22,1,77,77,2
"파워링크",파주출판단지 스튜디오501,자동차스튜디오(삭제),모바일,CARSTUDIO,2,0,0,0,1
"파워링크",파주출판단지 스튜디오501,자동차스튜디오(삭제),모바일,CAR스튜디오,1,0,0,0,1
"파워링크",파주출판단지 스튜디오501,자동차스튜디오(삭제),모바일,스튜디오촬영차량,2,0,0,0,1
"파워링크",파주출판단지 스튜디오501,자동차스튜디오(삭제),모바일,스튜디오파주,2,0,0,0,2
"파워링크",파주출판단지 스튜디오501,자동차스튜디오(삭제),모바일,오토바이스튜디오,3,0,0,0,1
"파워링크",파주출판단지 스튜디오501,자동차스튜디오(삭제),모바일,자동차사진,24,0,0,0,5.7
"파워링크",파주출판단지 스튜디오501,자동차스튜디오(삭제),모바일,자동차스튜디오,1,0,0,0,10
"파워링크",파주출판단지 스튜디오501,자동차스튜디오(삭제),모바일,자동차촬영,5,0,0,0,3
"파워링크",파주출판단지 스튜디오501,자동차스튜디오(삭제),모바일,제품촬영스튜디오위치,7,0,0,0,1
"파워링크",파주출판단지 스튜디오501,자동차스튜디오(삭제),모바일,차량진입스튜디오,1,0,0,0,4
"파워링크",파주출판단지 스튜디오501,자동차스튜디오(삭제),모바일,차스튜디오,7,0,0,0,1.1
"파워링크",파주출판단지 스튜디오501,자동차스튜디오(삭제),모바일,출판사스튜디오,2,0,0,0,2.5
"파워링크",파주출판단지 스튜디오501,자동차스튜디오(삭제),모바일,출판스튜디오,2,0,0,0,2
"파워링크",파주출판단지 스튜디오501,자동차스튜디오(삭제),모바일,카스튜디오,2,0,0,0,2
"파워링크",파주출판단지 스튜디오501,자동차스튜디오(삭제),모바일,파주501스튜디오,2,2,77,154,1
"파워링크",파주출판단지 스튜디오501,자동차스튜디오(삭제),모바일,파주방송스튜디오,2,0,0,0,3
"파워링크",파주출판단지 스튜디오501,자동차스튜디오(삭제),모바일,파주스튜디오501,1,1,77,77,2
"파워링크",파주출판단지 스튜디오501,자동차스튜디오(삭제),모바일,파주출판단지만들기,1,0,0,0,2
"파워링크",파주출판단지 스튜디오501,자동차스튜디오(삭제),모바일,파주출판도시가는길,2,0,0,0,1
"파워링크",파주출판단지 스튜디오501,자동차스튜디오(삭제),모바일,호리존사진,1,0,0,0,2
"파워링크",파주출판단지 스튜디오501,파주출판단지 501스튜디오,PC,501STUDIO,1,0,0,0,2
"파워링크",파주출판단지 스튜디오501,파주출판단지 501스튜디오,PC,STUDIO501,1,0,0,0,1
"파워링크",파주출판단지 스튜디오501,파주출판단지 501스튜디오,PC,상세페이지,2,0,0,0,158.5
"파워링크",파주출판단지 스튜디오501,파주출판단지 501스튜디오,PC,상품사진촬영,2,0,0,0,45.5
"파워링크",파주출판단지 스튜디오501,파주출판단지 501스튜디오,PC,스튜디오501,5,0,0,0,1.6
"파워링크",파주출판단지 스튜디오501,파주출판단지 501스튜디오,PC,제품사진촬영,1,0,0,0,105
"파워링크",파주출판단지 스튜디오501,파주출판단지 501스튜디오,PC,파주셀프스튜디오,29,1,77,77,6.2
"파워링크",파주출판단지 스튜디오501,파주출판단지 501스튜디오,PC,파주스튜디오,24,2,154,308,21.5
"파워링크",파주출판단지 스튜디오501,파주출판단지 501스튜디오,PC,파주스튜디오501,2,0,0,0,1.5
"파워링크",파주출판단지 스튜디오501,파주출판단지 501스튜디오,PC,파주출판단지스튜디오,10,0,0,0,5.5
"파워링크",파주출판단지 스튜디오501,파주출판단지 501스튜디오,PC,헤이리스튜디오,9,1,77,77,7
"파워링크",파주출판단지 스튜디오501,파주출판단지 501스튜디오,모바일,STUDIO501,2,0,0,0,1
"파워링크",파주출판단지 스튜디오501,파주출판단지 501스튜디오,모바일,스튜디오501,15,0,0,0,1.7
"파워링크",파주출판단지 스튜디오501,파주출판단지 501스튜디오,모바일,파주셀프스튜디오,6,0,0,0,6.3
"파워링크",파주출판단지 스튜디오501,파주출판단지 501스튜디오,모바일,파주스튜디오,35,0,0,0,17.4
"파워링크",파주출판단지 스튜디오501,파주출판단지 501스튜디오,모바일,파주스튜디오501,1,0,0,0,3
"파워링크",파주출판단지 스튜디오501,파주출판단지 501스튜디오,모바일,헤이리스튜디오,8,0,0,0,3.6
"파워링크",파주출판단지 스튜디오501,파주출판단지 501스튜디오,모바일,호리존있는주택스튜디오,1,0,0,0,1
"파워링크",스튜디오501 새광고(삭제),스튜디오 랜탈(삭제),PC,고양시렌탈스튜디오,9,0,0,0,5.3
"파워링크",스튜디오501 새광고(삭제),스튜디오 랜탈(삭제),PC,노출콘크리트스튜디오,5,0,0,0,2.6
"파워링크",스튜디오501 새광고(삭제),스튜디오 랜탈(삭제),PC,대형렌탈스튜디오,7,2,94,187,45
"파워링크",스튜디오501 새광고(삭제),스튜디오 랜탈(삭제),PC,욕실촬영,4,1,88,88,5.8
"파워링크",스튜디오501 새광고(삭제),스튜디오 랜탈(삭제),PC,일산호리존,2,1,77,77,7.5
"파워링크",스튜디오501 새광고(삭제),스튜디오 랜탈(삭제),PC,컨셉스튜디오,10,0,0,0,52.2
"파워링크",스튜디오501 새광고(삭제),스튜디오 랜탈(삭제),PC,쿠킹스튜디오렌탈,5,0,0,0,13
"파워링크",스튜디오501 새광고(삭제),스튜디오 랜탈(삭제),PC,파주자연광스튜디오,2,2,105,209,9.5
"파워링크",스튜디오501 새광고(삭제),스튜디오 랜탈(삭제),PC,파주촬영스튜디오,6,0,0,0,10.3
"파워링크",스튜디오501 새광고(삭제),스튜디오 랜탈(삭제),모바일,노출콘크리트스튜디오,1,1,88,88,4
"파워링크",스튜디오501 새광고(삭제),스튜디오 랜탈(삭제),모바일,대형렌탈스튜디오,2,0,0,0,39.5
"파워링크",스튜디오501 새광고(삭제),스튜디오 랜탈(삭제),모바일,일산제품스튜디오,1,0,0,0,3
"파워링크",스튜디오501 새광고(삭제),스튜디오 랜탈(삭제),모바일,컨셉스튜디오,1,1,110,110,46
"파워링크",스튜디오501 새광고(삭제),스튜디오 랜탈(삭제),모바일,쿠킹스튜디오렌탈,3,0,0,0,13
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,스튜디오501,3,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,파주스튜디오,6,1,814,814,13.3
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,파주스튜디오501,1,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#1,모바일,501스튜디오,1,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#1,모바일,쇼츠촬영,3,0,0,0,3.3
"파워링크",파워링크#1,파워링크#1_광고그룹#1,모바일,스튜디오501,6,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#1,모바일,파주스튜디오,1,0,0,0,10
"파워링크",스튜디오501,파주스튜디오(삭제),PC,501STUDIO,1,0,0,0,1
"파워링크",스튜디오501,파주스튜디오(삭제),PC,LOMA,216,0,0,0,7.6
"파워링크",스튜디오501,파주스튜디오(삭제),PC,STUDIO501,2,0,0,0,1.5
"파워링크",스튜디오501,파주스튜디오(삭제),PC,가구촬영,6,2,105,209,42.5
"파워링크",스튜디오501,파주스튜디오(삭제),PC,가정집스튜디오,6,1,99,99,19.2
"파워링크",스튜디오501,파주스튜디오(삭제),PC,광고촬영,2,0,0,0,85.5
"파워링크",스튜디오501,파주스튜디오(삭제),PC,누끼컷,1,0,0,0,55
"파워링크",스튜디오501,파주스튜디오(삭제),PC,단독주택스튜디오,2,1,99,99,24
"파워링크",스튜디오501,파주스튜디오(삭제),PC,대형스튜디오,6,1,110,110,62
"파워링크",스튜디오501,파주스튜디오(삭제),PC,드라마촬영지,212,1,99,99,5.4
"파워링크",스튜디오501,파주스튜디오(삭제),PC,상품촬영스튜디오,2,0,0,0,31
"파워링크",스튜디오501,파주스튜디오(삭제),PC,스튜디오501,28,1,77,77,1.1
"파워링크",스튜디오501,파주스튜디오(삭제),PC,스튜디오제품촬영,1,0,0,0,38
"파워링크",스튜디오501,파주스튜디오(삭제),PC,영상촬영스튜디오,1,0,0,0,79
"파워링크",스튜디오501,파주스튜디오(삭제),PC,오픈세트장,7,0,0,0,2.3
"파워링크",스튜디오501,파주스튜디오(삭제),PC,일산호리존스튜디오,2,0,0,0,7
"파워링크",스튜디오501,파주스튜디오(삭제),PC,전원주택스튜디오,9,0,0,0,6.9
"파워링크",스튜디오501,파주스튜디오(삭제),PC,제품사진촬영대행,2,0,0,0,61
"파워링크",스튜디오501,파주스튜디오(삭제),PC,제품촬영,2,0,0,0,148.5
"파워링크",스튜디오501,파주스튜디오(삭제),PC,주방대여,17,0,0,0,9.5
"파워링크",스튜디오501,파주스튜디오(삭제),PC,주방스튜디오,3,0,0,0,38
"파워링크",스튜디오501,파주스튜디오(삭제),PC,주방용품촬영,1,0,0,0,27
"파워링크",스튜디오501,파주스튜디오(삭제),PC,주택스튜디오,1,0,0,0,3
