"플레이스보고서(2025.06.01.~2025.06.30.),kemtech:naver"
"캠페인유형",캠페인,광고그룹,PC/모바일 매체,검색어,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위
"파워링크",파워링크#1,파워링크#1_광고그룹#2,PC,경희대맨드살롱,1,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#2,PC,마르코미용실,1,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#2,PC,맨드살롱\,1,0,0,0,2
"파워링크",파워링크#1,파워링크#1_광고그룹#2,PC,맨드살롱고대안암,2,0,0,0,2
"파워링크",파워링크#1,파워링크#1_광고그룹#2,PC,맨드살롱고대안암점,1,0,0,0,2
"파워링크",파워링크#1,파워링크#1_광고그룹#2,PC,맨드살롱안암,37,0,0,0,2
"파워링크",파워링크#1,파워링크#1_광고그룹#2,PC,맨드살롱외대,18,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#2,PC,맨드살롱외대점,7,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#2,PC,맨드살롱회기,54,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#2,PC,맨드살롱회기2호점,1,1,77,77,1
"파워링크",파워링크#1,파워링크#1_광고그룹#2,PC,맨드살롱회기역,1,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#2,PC,맨즈살롱회기,1,1,77,77,1
"파워링크",파워링크#1,파워링크#1_광고그룹#2,PC,맨즈헤어안암,3,0,0,0,1.7
"파워링크",파워링크#1,파워링크#1_광고그룹#2,PC,안암동맨드살롱,1,0,0,0,2
"파워링크",파워링크#1,파워링크#1_광고그룹#2,PC,안암동맨즈,1,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#2,PC,안암동맨즈헤어,1,0,0,0,2
"파워링크",파워링크#1,파워링크#1_광고그룹#2,PC,안암동미용실,12,0,0,0,2.1
"파워링크",파워링크#1,파워링크#1_광고그룹#2,PC,안암맨드살롱,14,0,0,0,2
"파워링크",파워링크#1,파워링크#1_광고그룹#2,PC,안암맨즈헤어,2,0,0,0,1.5
"파워링크",파워링크#1,파워링크#1_광고그룹#2,PC,안암미용실,213,0,0,0,1.9
"파워링크",파워링크#1,파워링크#1_광고그룹#2,PC,안암아이언맨즈헤어,1,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#2,PC,외대맨드살롱,12,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#2,PC,외대미용실,298,1,231,231,7.1
"파워링크",파워링크#1,파워링크#1_광고그룹#2,PC,외대미용실\,1,0,0,0,2
"파워링크",파워링크#1,파워링크#1_광고그룹#2,PC,장위동미용실,210,0,0,0,2.8
"파워링크",파워링크#1,파워링크#1_광고그룹#2,PC,전농동미용실,234,1,264,264,5.7
"파워링크",파워링크#1,파워링크#1_광고그룹#2,PC,중랑구1인맨즈헤어,1,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#2,PC,중랑구미용실,119,0,0,0,7
"파워링크",파워링크#1,파워링크#1_광고그룹#2,PC,청량리미용실,272,1,220,220,7.9
"파워링크",파워링크#1,파워링크#1_광고그룹#2,PC,청량리헤어샵,1,0,0,0,5
"파워링크",파워링크#1,파워링크#1_광고그룹#2,PC,헤어바이맨더킹회기점짧은머리,2,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#2,PC,헤어바이맨휘경점,1,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#2,PC,회기동미용,1,0,0,0,3
"파워링크",파워링크#1,파워링크#1_광고그룹#2,PC,회기동미용실,14,0,0,0,2.4
"파워링크",파워링크#1,파워링크#1_광고그룹#2,PC,회기동아이언맨즈헤어아이롱펌근처주차장,1,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#2,PC,회기마르코,4,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#2,PC,회기맨드살롱,9,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#2,PC,회기미용실,272,1,198,198,8
"파워링크",파워링크#1,파워링크#1_광고그룹#2,PC,회기미용실앞머리,1,0,0,0,2
"파워링크",파워링크#1,파워링크#1_광고그룹#2,PC,회기미용실예약,3,0,0,0,2.3
"파워링크",파워링크#1,파워링크#1_광고그룹#2,PC,회기미용실추천,4,0,0,0,3.5
"파워링크",파워링크#1,파워링크#1_광고그룹#2,PC,회기살롱,8,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#2,PC,회기센맨즈헤어,1,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#2,PC,회기역1번출구,3,0,0,0,2
"파워링크",파워링크#1,파워링크#1_광고그룹#2,PC,회기역1인미용실,2,0,0,0,1.5
"파워링크",파워링크#1,파워링크#1_광고그룹#2,PC,회기역넓은카페,1,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#2,PC,회기역머리,1,0,0,0,3
"파워링크",파워링크#1,파워링크#1_광고그룹#2,PC,회기역미용실,170,0,0,0,6.1
"파워링크",파워링크#1,파워링크#1_광고그룹#2,PC,회기역분위기좋은,1,0,0,0,2
"파워링크",파워링크#1,파워링크#1_광고그룹#2,PC,회기역붙임머리,2,0,0,0,3
"파워링크",파워링크#1,파워링크#1_광고그룹#2,PC,회기역카페,31,0,0,0,2.6
"파워링크",파워링크#1,파워링크#1_광고그룹#2,PC,회기역헤어,5,0,0,0,5
"파워링크",파워링크#1,파워링크#1_광고그룹#2,PC,회기역휘경,1,0,0,0,3
"파워링크",파워링크#1,파워링크#1_광고그룹#2,PC,회기헤어로운미용실,1,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#2,PC,회기헤어샵,2,0,0,0,2
"파워링크",파워링크#1,파워링크#1_광고그룹#2,PC,휘경동미용실,18,0,0,0,2.1
"파워링크",파워링크#1,파워링크#1_광고그룹#2,PC,휘경동헤어,2,0,0,0,1.5
"파워링크",파워링크#1,파워링크#1_광고그룹#2,PC,휘경동회기근처남성미용실,1,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#2,모바일,경의중앙회기역,2,0,0,0,3
"파워링크",파워링크#1,파워링크#1_광고그룹#2,모바일,경희대맨드살롱,20,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#2,모바일,마르코맨즈,5,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#2,모바일,마르코미용실,14,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#2,모바일,마르코회기,1,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#2,모바일,맨드살롱경희대,9,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#2,모바일,맨드살롱고대,1,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#2,모바일,맨드살롱고대안암,15,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#2,모바일,맨드살롱안암,388,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#2,모바일,맨드살롱외대,274,1,77,77,1
"파워링크",파워링크#1,파워링크#1_광고그룹#2,모바일,맨드살롱외대앞역,5,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#2,모바일,맨드살롱외대역점,2,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#2,모바일,맨드살롱외대점,60,1,77,77,1
"파워링크",파워링크#1,파워링크#1_광고그룹#2,모바일,맨드살롱회기,"1,146",0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#2,모바일,맨드살롱회기2호점,5,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#2,모바일,맨드살롱회기본점,2,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#2,모바일,맨드살롱회기역,3,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#2,모바일,맨즈살롱안암,1,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#2,모바일,맨즈살롱회기,4,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#2,모바일,맨즈살롱회기역,2,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#2,모바일,맨즈헤어안암,11,0,0,0,1.9
"파워링크",파워링크#1,파워링크#1_광고그룹#2,모바일,맨즈헤어외대,7,0,0,0,2
"파워링크",파워링크#1,파워링크#1_광고그룹#2,모바일,맨즈헤어외대점,7,0,0,0,2.1
"파워링크",파워링크#1,파워링크#1_광고그룹#2,모바일,맨즈헤어전농동,2,0,0,0,2
"파워링크",파워링크#1,파워링크#1_광고그룹#2,모바일,맨즈회기,1,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#2,모바일,미용실맨즈,1,0,0,0,3
"파워링크",파워링크#1,파워링크#1_광고그룹#2,모바일,미용실회기,1,0,0,0,2
"파워링크",파워링크#1,파워링크#1_광고그룹#2,모바일,서울회기동미용실,1,0,0,0,3
"파워링크",파워링크#1,파워링크#1_광고그룹#2,모바일,서울회기미용실,2,0,0,0,2
"파워링크",파워링크#1,파워링크#1_광고그룹#2,모바일,아이언맨즈헤어안암,1,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#2,모바일,아이언맨즈헤어안암점,5,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#2,모바일,아이언맨즈회기,7,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#2,모바일,안암고대맨드살롱,2,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#2,모바일,안암동맨드살롱,1,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#2,모바일,안암동맨즈헤어,2,0,0,0,2
"파워링크",파워링크#1,파워링크#1_광고그룹#2,모바일,안암동미용실,201,0,0,0,2.3
"파워링크",파워링크#1,파워링크#1_광고그룹#2,모바일,안암동아이언맨즈헤어,1,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#2,모바일,안암맨드살롱,69,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#2,모바일,안암맨즈헤어,4,0,0,0,2
"파워링크",파워링크#1,파워링크#1_광고그룹#2,모바일,안암맨즈헤어전문미용,2,0,0,0,1.5
"파워링크",파워링크#1,파워링크#1_광고그룹#2,모바일,안암맨즈헤어전문미용실,334,0,0,0,1.2
"파워링크",파워링크#1,파워링크#1_광고그룹#2,모바일,안암미용실,"2,796",0,0,0,1.9
"파워링크",파워링크#1,파워링크#1_광고그룹#2,모바일,안암미용실남자안암맨즈헤어전문미용실,1,0,0,0,2
"파워링크",파워링크#1,파워링크#1_광고그룹#2,모바일,안암아이언맨즈헤어,4,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#2,모바일,안암점맨즈헤어,1,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#2,모바일,외국어대학교미용실,1,0,0,0,4
"파워링크",파워링크#1,파워링크#1_광고그룹#2,모바일,외대맨드살롱,46,1,77,77,1
"파워링크",파워링크#1,파워링크#1_광고그룹#2,모바일,외대맨즈헤어,5,3,77,231,1.8
"파워링크",파워링크#1,파워링크#1_광고그룹#2,모바일,외대미용실,149,0,0,0,5.4
"파워링크",파워링크#1,파워링크#1_광고그룹#2,모바일,외대앞맨드살롱,1,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#2,모바일,외대앞맨즈헤어,1,0,0,0,2
"파워링크",파워링크#1,파워링크#1_광고그룹#2,모바일,외대앞역맨즈살롱,1,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#2,모바일,장위동맨즈헤어,1,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#2,모바일,장위동미용실,"1,379",0,0,0,2.7
"파워링크",파워링크#1,파워링크#1_광고그룹#2,모바일,전농동맨즈헤어,15,0,0,0,1.3
