"플레이스보고서(2025.06.01.~2025.06.30.),lahaf7:naver"
"캠페인유형",캠페인,광고그룹,PC/모바일 매체,검색어,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위
"파워링크",라하프 파워링크#1,라하프 파워링크#1_광고그룹#1,PC,노인맞춤돌봄상시,1,0,0,0,2
"파워링크",라하프 파워링크#1,라하프 파워링크#1_광고그룹#1,PC,노인맞춤돌봄서비스케어,1,0,0,0,1
"파워링크",라하프 파워링크#1,라하프 파워링크#1_광고그룹#1,PC,노인맞춤돌봄프로그램,2,0,0,0,2
"파워링크",라하프 파워링크#1,라하프 파워링크#1_광고그룹#1,PC,노인보호,24,0,0,0,1.6
"파워링크",라하프 파워링크#1,라하프 파워링크#1_광고그룹#1,PC,라하프,13,1,77,77,1
"파워링크",라하프 파워링크#1,라하프 파워링크#1_광고그룹#1,PC,라하프데이케어센터,1,0,0,0,1
"파워링크",라하프 파워링크#1,라하프 파워링크#1_광고그룹#1,PC,라하프어르신,1,0,0,0,1
"파워링크",라하프 파워링크#1,라하프 파워링크#1_광고그룹#1,PC,라하프재활,2,0,0,0,1
"파워링크",라하프 파워링크#1,라하프 파워링크#1_광고그룹#1,PC,라하프재활데이케어,3,2,77,154,1
"파워링크",라하프 파워링크#1,라하프 파워링크#1_광고그룹#1,PC,라하프재활데이케어센터,12,1,77,77,1
"파워링크",라하프 파워링크#1,라하프 파워링크#1_광고그룹#1,PC,라하프재활주간,1,1,77,77,1
"파워링크",라하프 파워링크#1,라하프 파워링크#1_광고그룹#1,PC,라하프재활주간보호센터,5,2,77,154,1
"파워링크",라하프 파워링크#1,라하프 파워링크#1_광고그룹#1,PC,라하프주간보호센터,1,1,77,77,1
"파워링크",라하프 파워링크#1,라하프 파워링크#1_광고그룹#1,PC,라하프케어,24,1,55,55,1
"파워링크",라하프 파워링크#1,라하프 파워링크#1_광고그룹#1,PC,신체기능증진프로그램,2,0,0,0,1
"파워링크",라하프 파워링크#1,라하프 파워링크#1_광고그룹#1,PC,신체및인지프로그램,1,0,0,0,1
"파워링크",라하프 파워링크#1,라하프 파워링크#1_광고그룹#1,PC,어르신공예프로그램,1,0,0,0,1
"파워링크",라하프 파워링크#1,라하프 파워링크#1_광고그룹#1,PC,어르신들의삶,1,0,0,0,3
"파워링크",라하프 파워링크#1,라하프 파워링크#1_광고그룹#1,PC,어르신사회연계활동,1,0,0,0,2
"파워링크",라하프 파워링크#1,라하프 파워링크#1_광고그룹#1,PC,어르신사회적응프로그램,1,0,0,0,3
"파워링크",라하프 파워링크#1,라하프 파워링크#1_광고그룹#1,PC,어르신여가프로그램,2,0,0,0,2
"파워링크",라하프 파워링크#1,라하프 파워링크#1_광고그룹#1,PC,어르신인지활동프로그램,3,0,0,0,8.7
"파워링크",라하프 파워링크#1,라하프 파워링크#1_광고그룹#1,PC,어르신정서지원,1,0,0,0,1
"파워링크",라하프 파워링크#1,라하프 파워링크#1_광고그룹#1,PC,여가삶의질,2,0,0,0,1
"파워링크",라하프 파워링크#1,라하프 파워링크#1_광고그룹#1,PC,운정데이케어,2,0,0,0,1
"파워링크",라하프 파워링크#1,라하프 파워링크#1_광고그룹#1,PC,운정돌봄서비스,1,0,0,0,2
"파워링크",라하프 파워링크#1,라하프 파워링크#1_광고그룹#1,PC,운정주간보호센터,118,1,"2,200","2,200",3.8
"파워링크",라하프 파워링크#1,라하프 파워링크#1_광고그룹#1,PC,운정주간보호센터추천,3,0,0,0,2.7
"파워링크",라하프 파워링크#1,라하프 파워링크#1_광고그룹#1,PC,인지등급노인맞춤돌봄서비스,1,0,0,0,1
"파워링크",라하프 파워링크#1,라하프 파워링크#1_광고그룹#1,PC,재활데이케어,1,0,0,0,7
"파워링크",라하프 파워링크#1,라하프 파워링크#1_광고그룹#1,PC,정서자활프로그램,2,0,0,0,1
"파워링크",라하프 파워링크#1,라하프 파워링크#1_광고그룹#1,PC,주간보호,319,7,"3,308","23,155",4.2
"파워링크",라하프 파워링크#1,라하프 파워링크#1_광고그룹#1,PC,주간보호센타,5,0,0,0,4.4
"파워링크",라하프 파워링크#1,라하프 파워링크#1_광고그룹#1,PC,주간보호센터,"2,886",38,"3,937","149,622",6
"파워링크",라하프 파워링크#1,라하프 파워링크#1_광고그룹#1,PC,주간보호센터사회적응훈련,2,0,0,0,2.5
"파워링크",라하프 파워링크#1,라하프 파워링크#1_광고그룹#1,PC,주간보호센터추천,7,0,0,0,4
"파워링크",라하프 파워링크#1,라하프 파워링크#1_광고그룹#1,PC,주간보호쎈타,4,0,0,0,7
"파워링크",라하프 파워링크#1,라하프 파워링크#1_광고그룹#1,PC,주간보호여가정서,2,0,0,0,1
"파워링크",라하프 파워링크#1,라하프 파워링크#1_광고그룹#1,PC,파주경로당,1,0,0,0,1
"파워링크",라하프 파워링크#1,라하프 파워링크#1_광고그룹#1,PC,파주노인돌봄서비스,1,0,0,0,2
"파워링크",라하프 파워링크#1,라하프 파워링크#1_광고그룹#1,PC,파주데이케어,1,1,440,440,1
"파워링크",라하프 파워링크#1,라하프 파워링크#1_광고그룹#1,PC,파주돌봄,1,0,0,0,2
"파워링크",라하프 파워링크#1,라하프 파워링크#1_광고그룹#1,PC,파주돌봄서비스,1,0,0,0,3
"파워링크",라하프 파워링크#1,라하프 파워링크#1_광고그룹#1,PC,파주시돌봄서비스,1,0,0,0,2
"파워링크",라하프 파워링크#1,라하프 파워링크#1_광고그룹#1,PC,파주어르신,1,0,0,0,1
"파워링크",라하프 파워링크#1,라하프 파워링크#1_광고그룹#1,PC,파주주간보호,112,0,0,0,7.5
"파워링크",라하프 파워링크#1,라하프 파워링크#1_광고그룹#1,PC,파주주간보호센터,277,2,"2,343","4,686",6.4
"파워링크",라하프 파워링크#1,라하프 파워링크#1_광고그룹#1,PC,파주주간보호센터추천,1,0,0,0,5
"파워링크",라하프 파워링크#1,라하프 파워링크#1_광고그룹#1,모바일,노인맞춤돌봄신청,1,0,0,0,2
"파워링크",라하프 파워링크#1,라하프 파워링크#1_광고그룹#1,모바일,노인맞춤돌봄케어프로그램,2,0,0,0,2
"파워링크",라하프 파워링크#1,라하프 파워링크#1_광고그룹#1,모바일,노인보호,55,0,0,0,1.6
"파워링크",라하프 파워링크#1,라하프 파워링크#1_광고그룹#1,모바일,데이케어센터봉사,4,0,0,0,2.5
"파워링크",라하프 파워링크#1,라하프 파워링크#1_광고그룹#1,모바일,라하프,18,0,0,0,1
"파워링크",라하프 파워링크#1,라하프 파워링크#1_광고그룹#1,모바일,라하프데이케어,5,1,55,55,1
"파워링크",라하프 파워링크#1,라하프 파워링크#1_광고그룹#1,모바일,라하프데이케어센터,1,1,77,77,1
"파워링크",라하프 파워링크#1,라하프 파워링크#1_광고그룹#1,모바일,라하프센터,1,1,77,77,1
"파워링크",라하프 파워링크#1,라하프 파워링크#1_광고그룹#1,모바일,라하프재활,42,10,77,770,1
"파워링크",라하프 파워링크#1,라하프 파워링크#1_광고그룹#1,모바일,라하프재활데이,3,0,0,0,1
"파워링크",라하프 파워링크#1,라하프 파워링크#1_광고그룹#1,모바일,라하프재활데이케어,8,2,77,154,1
"파워링크",라하프 파워링크#1,라하프 파워링크#1_광고그룹#1,모바일,라하프재활데이케어센터,6,1,77,77,1
"파워링크",라하프 파워링크#1,라하프 파워링크#1_광고그룹#1,모바일,라하프재활주간보호센터,5,1,77,77,1
"파워링크",라하프 파워링크#1,라하프 파워링크#1_광고그룹#1,모바일,라하프재활채용,2,0,0,0,1
"파워링크",라하프 파워링크#1,라하프 파워링크#1_광고그룹#1,모바일,라하프주간,2,2,77,154,1
"파워링크",라하프 파워링크#1,라하프 파워링크#1_광고그룹#1,모바일,라하프주간보호,19,4,77,308,1
"파워링크",라하프 파워링크#1,라하프 파워링크#1_광고그룹#1,모바일,라하프주간보호센터,1,1,77,77,1
"파워링크",라하프 파워링크#1,라하프 파워링크#1_광고그룹#1,모바일,라하프케어,67,8,69,550,1
"파워링크",라하프 파워링크#1,라하프 파워링크#1_광고그룹#1,모바일,라하프케어주간보호,4,0,0,0,1
"파워링크",라하프 파워링크#1,라하프 파워링크#1_광고그룹#1,모바일,라하프케어주간보호센터,3,0,0,0,1
"파워링크",라하프 파워링크#1,라하프 파워링크#1_광고그룹#1,모바일,라하프케어주식회사,5,1,77,77,1
