"플레이스보고서(2025.06.01.~2025.06.30.),okfitness-daeshin:naver"
"캠페인유형",캠페인,광고그룹,PC/모바일 매체,검색어,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위
"파워링크",PC,지역KW,PC,.오케이피트니스,1,0,0,0,1
"파워링크",PC,지역KW,PC,OK피트니스,43,0,0,0,1.2
"파워링크",PC,지역KW,PC,OK피트니스대신점,1,0,0,0,1
"파워링크",PC,지역KW,PC,OK피트니스센터,1,0,0,0,1
"파워링크",PC,지역KW,PC,OK헬스,1,0,0,0,1
"파워링크",PC,지역KW,PC,구덕운동장헬스,1,0,0,0,2
"파워링크",PC,지역KW,PC,구덕헬스장,1,0,0,0,3
"파워링크",PC,지역KW,PC,대신동OK피트니스,2,1,77,77,1
"파워링크",PC,지역KW,PC,대신동PT,1,0,0,0,1
"파워링크",PC,지역KW,PC,대신동역헬스장,1,0,0,0,1
"파워링크",PC,지역KW,PC,대신동오케이피트니스,3,2,77,154,1
"파워링크",PC,지역KW,PC,대신동헬스,2,0,0,0,1
"파워링크",PC,지역KW,PC,대신동헬스장,4,0,0,0,2.5
"파워링크",PC,지역KW,PC,동대신동PT,1,0,0,0,3
"파워링크",PC,지역KW,PC,동대신동헬스,3,0,0,0,2.3
"파워링크",PC,지역KW,PC,동대신동헬스장,2,0,0,0,3
"파워링크",PC,지역KW,PC,동대신역헬스,1,0,0,0,3
"파워링크",PC,지역KW,PC,동대신역헬스장,1,0,0,0,1
"파워링크",PC,지역KW,PC,동대신헬스장,13,1,374,374,1
"파워링크",PC,지역KW,PC,보수동헬스,5,0,0,0,1
"파워링크",PC,지역KW,PC,보수동헬스장,7,0,0,0,2.6
"파워링크",PC,지역KW,PC,보수동휘트니스,1,0,0,0,3
"파워링크",PC,지역KW,PC,부민동PT,14,0,0,0,2.8
"파워링크",PC,지역KW,PC,부민동피티,1,0,0,0,3
"파워링크",PC,지역KW,PC,부민동헬스,8,0,0,0,1.3
"파워링크",PC,지역KW,PC,부민동헬스장,10,0,0,0,1.3
"파워링크",PC,지역KW,PC,부산OK피트니스,1,0,0,0,2
"파워링크",PC,지역KW,PC,부산대신동PT,8,1,88,88,1
"파워링크",PC,지역KW,PC,부산대신동PT샵,1,0,0,0,1
"파워링크",PC,지역KW,PC,부산대신동피트니스,3,0,0,0,1.3
"파워링크",PC,지역KW,PC,부산대신동헬스,4,1,946,946,1
"파워링크",PC,지역KW,PC,부산대신동헬스장,23,0,0,0,1
"파워링크",PC,지역KW,PC,부산동대신동헬스장,2,0,0,0,1
"파워링크",PC,지역KW,PC,부산서구대신동헬스,2,0,0,0,1.5
"파워링크",PC,지역KW,PC,부산서구헬스,1,0,0,0,1
"파워링크",PC,지역KW,PC,부산서구휘트니스,1,0,0,0,2
"파워링크",PC,지역KW,PC,부산오케이피트니스,4,0,0,0,1
"파워링크",PC,지역KW,PC,부산힙업피티,1,0,0,0,3
"파워링크",PC,지역KW,PC,서대신동PT,3,0,0,0,1
"파워링크",PC,지역KW,PC,서대신동운동,1,0,0,0,1
"파워링크",PC,지역KW,PC,서대신동피티,11,0,0,0,2.7
"파워링크",PC,지역KW,PC,서대신동헬스,2,0,0,0,1.5
"파워링크",PC,지역KW,PC,서대신동헬스장,1,0,0,0,3
"파워링크",PC,지역KW,PC,서대신헬스장,4,0,0,0,3
"파워링크",PC,지역KW,PC,오케이피트니스,351,5,359,"1,793",1.1
"파워링크",PC,지역KW,PC,오케이피트니스대신,6,0,0,0,1
"파워링크",PC,지역KW,PC,오케이피트니스대신점,35,0,0,0,1
"파워링크",PC,지역KW,PC,오케이피트니스대신점가격,2,0,0,0,1
"파워링크",PC,지역KW,PC,오케이피트니스대신점블로그,1,0,0,0,1
"파워링크",PC,지역KW,PC,오케이피트니스부산,3,0,0,0,1
"파워링크",PC,지역KW,PC,오케이헬스,3,0,0,0,1
"파워링크",PC,지역KW,PC,오케이휘트니스,1,0,0,0,1
"파워링크",PC,지역KW,PC,오케이휘트니스대신점,1,0,0,0,1
"파워링크",PC,전문지역KW,PC,동대신동다이어트,1,0,0,0,1
"파워링크",PC,전문지역KW,PC,부민동다이어트,1,0,0,0,1
"파워링크",PC,전문지역KW,PC,서대신동다이어트,1,0,0,0,1
"파워링크",PC,전문지역KW,PC,서대신동체형교정,1,0,0,0,1
"파워링크",MO,지역KW,모바일,OKFITNESS,4,0,0,0,1.3
"파워링크",MO,지역KW,모바일,OK피트니스,297,0,0,0,1
"파워링크",MO,지역KW,모바일,OK피트니스1일권,1,0,0,0,1
"파워링크",MO,지역KW,모바일,OK피트니스1일헬스권,1,0,0,0,1
"파워링크",MO,지역KW,모바일,OK피트니스3개월,1,0,0,0,1
"파워링크",MO,지역KW,모바일,OK피트니스PT가격,1,0,0,0,1
"파워링크",MO,지역KW,모바일,OK피트니스가격,9,0,0,0,1.1
"파워링크",MO,지역KW,모바일,OK피트니스금액,1,1,77,77,1
"파워링크",MO,지역KW,모바일,OK피트니스대신,1,0,0,0,1
"파워링크",MO,지역KW,모바일,OK피트니스대신점,17,2,77,154,1
"파워링크",MO,지역KW,모바일,OK피트니스부산,3,0,0,0,1
"파워링크",MO,지역KW,모바일,OK피트니스전지점,1,1,77,77,1
"파워링크",MO,지역KW,모바일,OK피트니스피트니스,1,0,0,0,1
"파워링크",MO,지역KW,모바일,OK피트니스헬스,1,0,0,0,1
"파워링크",MO,지역KW,모바일,OK피트니스회원권,1,0,0,0,1
"파워링크",MO,지역KW,모바일,OK헬스,36,0,0,0,1
"파워링크",MO,지역KW,모바일,OK헬스장,32,0,0,0,1
"파워링크",MO,지역KW,모바일,OK휘트니스,64,0,0,0,1.1
"파워링크",MO,지역KW,모바일,구덕운동장근처헬스장,2,0,0,0,1
"파워링크",MO,지역KW,모바일,구덕운동장헬스,10,0,0,0,3
"파워링크",MO,지역KW,모바일,구덕운동장헬스가격,1,0,0,0,1
"파워링크",MO,지역KW,모바일,구덕운동장헬스장,3,0,0,0,3
"파워링크",MO,지역KW,모바일,구덕헬스,3,0,0,0,2
"파워링크",MO,지역KW,모바일,구덕헬스장,1,1,121,121,1
"파워링크",MO,지역KW,모바일,대신동1일헬스,1,1,77,77,1
"파워링크",MO,지역KW,모바일,대신동OK피트니스,1,1,77,77,1
"파워링크",MO,지역KW,모바일,대신동PT,8,0,0,0,3
"파워링크",MO,지역KW,모바일,대신동오케이피트니스,8,3,77,231,1
"파워링크",MO,지역KW,모바일,대신동오케이피트니스하체,1,0,0,0,1
"파워링크",MO,지역KW,모바일,대신동오케이헬스장,2,1,77,77,1
"파워링크",MO,지역KW,모바일,대신동오케이휘트니스,1,1,77,77,1
"파워링크",MO,지역KW,모바일,대신동운동,1,0,0,0,1
"파워링크",MO,지역KW,모바일,대신동일일헬스,1,0,0,0,1
"파워링크",MO,지역KW,모바일,대신동헬스,10,1,165,165,1
"파워링크",MO,지역KW,모바일,대신동헬스1일권,1,0,0,0,1
