"플레이스보고서(2025.06.01.~2025.06.30.),onnuri68:naver"
"캠페인유형",캠페인,광고그룹,PC/모바일 매체,검색어,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,7초매매,1,0,0,0,2
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,경남창원시성산구반림동현대2차아파트,1,0,0,0,2
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,노블파크,29,0,0,0,5.3
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,노블파크아파트,10,0,0,0,8
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,노블파크아파트상가,1,0,0,0,3
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,노블파크창원,2,0,0,0,3
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,럭키반림아파트1동,1,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,무학아파트,172,0,0,0,1.8
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,반림노블파크,1,0,0,0,4
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,반림노블파크아파트,2,0,0,0,5
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,반림동노블파크,4,0,0,0,6.3
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,반림동반림아파트,1,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,반림동부동산,7,0,0,0,3
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,반림동아파트매매,1,0,0,0,2
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,반림동채움공인부동산,1,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,반림동트리비앙,20,0,0,0,2.2
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,반림동트리비앙아파트,5,0,0,0,2.8
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,반림온부동산,1,0,0,0,2
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,반림트리비앙,18,0,0,0,2.1
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,반림현대아파트,178,0,0,0,2.3
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,반송동아파트,6,0,0,0,2.7
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,새경남공인중개사,2,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,성산1동아파트,1,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,성산구아파트,22,0,0,0,2.9
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,아파트부분거래,1,0,0,0,3
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,아파트전세실시간거래,1,0,0,0,3
