"플레이스보고서(2025.06.01.~2025.06.30.),premier36:naver"
"캠페인유형",캠페인,광고그룹,PC/모바일 매체,지역,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위
"파워링크",[파워링크]프리미어피트니스,PC키워드,PC,서울특별시,177,2,"1,496","2,992",4.3
"파워링크",[파워링크]프리미어피트니스,PC키워드,PC,광주광역시,7,0,0,0,2
"파워링크",[파워링크]프리미어피트니스,PC키워드,PC,대구광역시,9,0,0,0,4.1
"파워링크",[파워링크]프리미어피트니스,PC키워드,PC,대전광역시,1,0,0,0,2
"파워링크",[파워링크]프리미어피트니스,PC키워드,PC,부산광역시,9,0,0,0,2.2
"파워링크",[파워링크]프리미어피트니스,PC키워드,PC,울산광역시,2,0,0,0,1.5
"파워링크",[파워링크]프리미어피트니스,PC키워드,PC,인천광역시,15,0,0,0,2.3
"파워링크",[파워링크]프리미어피트니스,PC키워드,PC,세종특별자치시,4,0,0,0,2.3
"파워링크",[파워링크]프리미어피트니스,PC키워드,PC,강원특별자치도,3,0,0,0,1.3
"파워링크",[파워링크]프리미어피트니스,PC키워드,PC,경기도,486,3,"1,555","4,664",3.6
"파워링크",[파워링크]프리미어피트니스,PC키워드,PC,경상남도,10,0,0,0,4.1
"파워링크",[파워링크]프리미어피트니스,PC키워드,PC,경상북도,6,0,0,0,2.3
"파워링크",[파워링크]프리미어피트니스,PC키워드,PC,전라남도,3,0,0,0,1.7
"파워링크",[파워링크]프리미어피트니스,PC키워드,PC,전북특별자치도,7,0,0,0,2.7
"파워링크",[파워링크]프리미어피트니스,PC키워드,PC,충청남도,4,0,0,0,1.5
"파워링크",[파워링크]프리미어피트니스,PC키워드,PC,충청북도,3,0,0,0,1.7
"파워링크",[파워링크]프리미어피트니스,PC키워드,PC,제주특별자치도,1,0,0,0,2
"파워링크",[파워링크]프리미어피트니스,PC키워드,PC,국내 - 상세 위치 확인불가,3,0,0,0,6.7
"파워링크",[파워링크]프리미어피트니스,PC키워드,PC,대한민국외,3,0,0,0,2
"파워링크",[파워링크]프리미어피트니스,모바일 키워드,모바일,서울특별시,777,11,701,"7,711",2.1
"파워링크",[파워링크]프리미어피트니스,모바일 키워드,모바일,광주광역시,61,1,"1,265","1,265",2.5
"파워링크",[파워링크]프리미어피트니스,모바일 키워드,모바일,대구광역시,136,0,0,0,2.2
"파워링크",[파워링크]프리미어피트니스,모바일 키워드,모바일,대전광역시,92,2,116,231,2.3
"파워링크",[파워링크]프리미어피트니스,모바일 키워드,모바일,부산광역시,175,3,609,"1,826",2.2
"파워링크",[파워링크]프리미어피트니스,모바일 키워드,모바일,울산광역시,71,1,77,77,2.6
"파워링크",[파워링크]프리미어피트니스,모바일 키워드,모바일,인천광역시,163,0,0,0,2.3
"파워링크",[파워링크]프리미어피트니스,모바일 키워드,모바일,세종특별자치시,25,1,187,187,2.1
"파워링크",[파워링크]프리미어피트니스,모바일 키워드,모바일,강원특별자치도,78,0,0,0,2.3
"파워링크",[파워링크]프리미어피트니스,모바일 키워드,모바일,경기도,"1,377",51,607,"30,954",2.1
"파워링크",[파워링크]프리미어피트니스,모바일 키워드,모바일,경상남도,112,0,0,0,2.2
"파워링크",[파워링크]프리미어피트니스,모바일 키워드,모바일,경상북도,103,0,0,0,2.2
"파워링크",[파워링크]프리미어피트니스,모바일 키워드,모바일,전라남도,55,0,0,0,2.3
"파워링크",[파워링크]프리미어피트니스,모바일 키워드,모바일,전북특별자치도,93,0,0,0,2.3
