"플레이스보고서(2025.06.01.~2025.06.30.),rarien26:naver"
"캠페인유형",캠페인,광고그룹,PC/모바일 매체,검색어,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위
"파워링크",🔵 파워링크 지역설정 MO,01. 미용실,모바일,HAIRSALON,13,0,0,0,1
"파워링크",🔵 파워링크 지역설정 MO,01. 미용실,모바일,HAIR샵,1,0,0,0,1
"파워링크",🔵 파워링크 지역설정 MO,01. 미용실,모바일,근처미용실,797,4,"1,262","5,049",3.7
"파워링크",🔵 파워링크 지역설정 MO,01. 미용실,모바일,근처미장원,2,0,0,0,1
"파워링크",🔵 파워링크 지역설정 MO,01. 미용실,모바일,근처헤어샵,31,0,0,0,1
"파워링크",🔵 파워링크 지역설정 MO,01. 미용실,모바일,근처헤어숍,1,0,0,0,1
"파워링크",🔵 파워링크 지역설정 MO,01. 미용실,모바일,내근처미용실,79,3,774,"2,321",1
"파워링크",🔵 파워링크 지역설정 MO,01. 미용실,모바일,내근처헤어샵,6,0,0,0,1
"파워링크",🔵 파워링크 지역설정 MO,01. 미용실,모바일,내주변미용실,65,0,0,0,1
"파워링크",🔵 파워링크 지역설정 MO,01. 미용실,모바일,내주변헤어샵,3,0,0,0,1
"파워링크",🔵 파워링크 지역설정 MO,01. 미용실,모바일,네이버미용실,19,0,0,0,1
"파워링크",🔵 파워링크 지역설정 MO,01. 미용실,모바일,네이버미용실예약,49,1,"1,199","1,199",1
"파워링크",🔵 파워링크 지역설정 MO,01. 미용실,모바일,동네미용실,3,0,0,0,1
"파워링크",🔵 파워링크 지역설정 MO,01. 미용실,모바일,라리엔헤어,4,0,0,0,1
"파워링크",🔵 파워링크 지역설정 MO,01. 미용실,모바일,라리헤어,1,0,0,0,1
"파워링크",🔵 파워링크 지역설정 MO,01. 미용실,모바일,머리잘하는곳,1,0,0,0,1
"파워링크",🔵 파워링크 지역설정 MO,01. 미용실,모바일,머리잘하는미용실,1,0,0,0,2
"파워링크",🔵 파워링크 지역설정 MO,01. 미용실,모바일,미용실,"4,498",27,"1,005","27,148",2.3
"파워링크",🔵 파워링크 지역설정 MO,01. 미용실,모바일,미용실가격,1,0,0,0,1
"파워링크",🔵 파워링크 지역설정 MO,01. 미용실,모바일,미용실가격표,5,0,0,0,1.4
"파워링크",🔵 파워링크 지역설정 MO,01. 미용실,모바일,미용실예약,336,2,"1,342","2,684",1.2
"파워링크",🔵 파워링크 지역설정 MO,01. 미용실,모바일,미용실추천,34,1,"1,133","1,133",1.1
"파워링크",🔵 파워링크 지역설정 MO,01. 미용실,모바일,미용실행사,1,0,0,0,2
"파워링크",🔵 파워링크 지역설정 MO,01. 미용실,모바일,어려보이는헤어스타일,2,0,0,0,1
"파워링크",🔵 파워링크 지역설정 MO,01. 미용실,모바일,여성헤어스타일,6,0,0,0,3
"파워링크",🔵 파워링크 지역설정 MO,01. 미용실,모바일,여자헤어스타일,17,0,0,0,3.2
"파워링크",🔵 파워링크 지역설정 MO,01. 미용실,모바일,주변미용실,99,2,"1,117","2,233",1
"파워링크",🔵 파워링크 지역설정 MO,01. 미용실,모바일,주변헤어샵,5,0,0,0,1
"파워링크",🔵 파워링크 지역설정 MO,01. 미용실,모바일,헤어살롱,9,0,0,0,1
"파워링크",🔵 파워링크 지역설정 MO,01. 미용실,모바일,헤어샵,411,3,"1,357","4,070",1.7
"파워링크",🔵 파워링크 지역설정 MO,01. 미용실,모바일,헤어샵예약,13,0,0,0,2.2
"파워링크",🔵 파워링크 지역설정 MO,01. 미용실,모바일,헤어샵잘하는곳,1,0,0,0,1
"파워링크",🔵 파워링크 지역설정 MO,01. 미용실,모바일,헤어샵추천,1,0,0,0,1
"파워링크",🔵 파워링크 지역설정 MO,01. 미용실,모바일,헤어스타일추천,21,1,693,693,1.1
"파워링크",🔵 파워링크 지역설정 MO,01. 미용실,모바일,헤어컨설팅,47,1,"1,496","1,496",3
"파워링크",🔵 파워링크 지역설정 MO,02. 염색클리닉,모바일,그레이염색,8,0,0,0,1.3
"파워링크",🔵 파워링크 지역설정 MO,02. 염색클리닉,모바일,남자머리염색,4,0,0,0,1.8
"파워링크",🔵 파워링크 지역설정 MO,02. 염색클리닉,모바일,남자염색추천,1,0,0,0,1
"파워링크",🔵 파워링크 지역설정 MO,02. 염색클리닉,모바일,다크브라운염색,15,0,0,0,1
"파워링크",🔵 파워링크 지역설정 MO,02. 염색클리닉,모바일,단발머리염색,2,0,0,0,2
"파워링크",🔵 파워링크 지역설정 MO,02. 염색클리닉,모바일,머리염색,25,0,0,0,2.3
"파워링크",🔵 파워링크 지역설정 MO,02. 염색클리닉,모바일,복구염색,6,0,0,0,1.7
"파워링크",🔵 파워링크 지역설정 MO,02. 염색클리닉,모바일,부분새치염색,1,0,0,0,4
"파워링크",🔵 파워링크 지역설정 MO,02. 염색클리닉,모바일,부분염색,4,0,0,0,2
"파워링크",🔵 파워링크 지역설정 MO,02. 염색클리닉,모바일,블루블랙염색,31,0,0,0,1.9
"파워링크",🔵 파워링크 지역설정 MO,02. 염색클리닉,모바일,뿌리염색,54,0,0,0,2.9
"파워링크",🔵 파워링크 지역설정 MO,02. 염색클리닉,모바일,뿌리염색미용실,7,0,0,0,1
"파워링크",🔵 파워링크 지역설정 MO,02. 염색클리닉,모바일,뿌리염색미용실추천,1,0,0,0,1
"파워링크",🔵 파워링크 지역설정 MO,02. 염색클리닉,모바일,새치뿌리염색,2,0,0,0,1
"파워링크",🔵 파워링크 지역설정 MO,02. 염색클리닉,모바일,새치염색,2,0,0,0,5.5
"파워링크",🔵 파워링크 지역설정 MO,02. 염색클리닉,모바일,새치염색미용실,1,0,0,0,1
"파워링크",🔵 파워링크 지역설정 MO,02. 염색클리닉,모바일,새치염색잘하는곳,1,0,0,0,1
"파워링크",🔵 파워링크 지역설정 MO,02. 염색클리닉,모바일,새치커버염색,5,1,"1,320","1,320",1.8
"파워링크",🔵 파워링크 지역설정 MO,02. 염색클리닉,모바일,시크릿투톤,10,0,0,0,2.3
"파워링크",🔵 파워링크 지역설정 MO,02. 염색클리닉,모바일,시크릿투톤미용실,1,0,0,0,1
"파워링크",🔵 파워링크 지역설정 MO,02. 염색클리닉,모바일,애쉬그레이염색,3,0,0,0,1
"파워링크",🔵 파워링크 지역설정 MO,02. 염색클리닉,모바일,애쉬베이지염색,9,0,0,0,1
"파워링크",🔵 파워링크 지역설정 MO,02. 염색클리닉,모바일,애쉬브라운염색,47,0,0,0,1.9
