"플레이스보고서(2025.06.01.~2025.06.30.),skjrchan127:naver"
"캠페인유형",캠페인,광고그룹,PC/모바일 매체,검색어,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위
"파워링크",보라홈페이지,보라홈페이지_광고그룹#1,PC,(주)보라마케팅,1,0,0,0,2
"파워링크",보라홈페이지,보라홈페이지_광고그룹#1,PC,GMAIL프린트,1,0,0,0,1
"파워링크",보라홈페이지,보라홈페이지_광고그룹#1,PC,G플레이스,3,0,0,0,1
"파워링크",보라홈페이지,보라홈페이지_광고그룹#1,PC,가니블로그,1,0,0,0,1
"파워링크",보라홈페이지,보라홈페이지_광고그룹#1,PC,간다고디자인,1,0,0,0,2
"파워링크",보라홈페이지,보라홈페이지_광고그룹#1,PC,경남소상공인광고회사,2,0,0,0,1
"파워링크",보라홈페이지,보라홈페이지_광고그룹#1,PC,경상남도블로그사업,1,0,0,0,2
"파워링크",보라홈페이지,보라홈페이지_광고그룹#1,PC,경상남도소상공인,9,0,0,0,1
"파워링크",보라홈페이지,보라홈페이지_광고그룹#1,PC,광고블로그사업자등록,1,0,0,0,2
"파워링크",보라홈페이지,보라홈페이지_광고그룹#1,PC,광고스티커제작업체,1,0,0,0,9
"파워링크",보라홈페이지,보라홈페이지_광고그룹#1,PC,디자인시,1,0,0,0,3
"파워링크",보라홈페이지,보라홈페이지_광고그룹#1,PC,디자인제작소,2,0,0,0,5
"파워링크",보라홈페이지,보라홈페이지_광고그룹#1,PC,보라경남체험단,1,0,0,0,1
"파워링크",보라홈페이지,보라홈페이지_광고그룹#1,PC,보라사이트,7,0,0,0,2
"파워링크",보라홈페이지,보라홈페이지_광고그룹#1,PC,보라색업체,1,0,0,0,1
"파워링크",보라홈페이지,보라홈페이지_광고그룹#1,PC,보라색진주,1,0,0,0,2
"파워링크",보라홈페이지,보라홈페이지_광고그룹#1,PC,보라커뮤니케이션즈,1,0,0,0,1
"파워링크",보라홈페이지,보라홈페이지_광고그룹#1,PC,블로그배포업체,2,0,0,0,8.5
"파워링크",보라홈페이지,보라홈페이지_광고그룹#1,PC,블로그보라,1,0,0,0,1
"파워링크",보라홈페이지,보라홈페이지_광고그룹#1,PC,사업자번호745,1,0,0,0,1
"파워링크",보라홈페이지,보라홈페이지_광고그룹#1,PC,사천전단지,1,0,0,0,8
"파워링크",보라홈페이지,보라홈페이지_광고그룹#1,PC,사천전단지배포,1,0,0,0,2
"파워링크",보라홈페이지,보라홈페이지_광고그룹#1,PC,진주광고,1,0,0,0,38
"파워링크",보라홈페이지,보라홈페이지_광고그룹#1,PC,진주디자인,7,0,0,0,7.3
"파워링크",보라홈페이지,보라홈페이지_광고그룹#1,PC,진주디자인업체,1,0,0,0,7
"파워링크",보라홈페이지,보라홈페이지_광고그룹#1,PC,진주디자인회사,1,0,0,0,5
"파워링크",보라홈페이지,보라홈페이지_광고그룹#1,PC,진주명함,"8,601",7,77,539,2.5
"파워링크",보라홈페이지,보라홈페이지_광고그룹#1,PC,진주배너,1,0,0,0,7
"파워링크",보라홈페이지,보라홈페이지_광고그룹#1,PC,진주보라,1,0,0,0,1
"파워링크",보라홈페이지,보라홈페이지_광고그룹#1,PC,진주보라커뮤니케이션,1,0,0,0,1
"파워링크",보라홈페이지,보라홈페이지_광고그룹#1,PC,진주스티커,6,0,0,0,5.2
"파워링크",보라홈페이지,보라홈페이지_광고그룹#1,PC,진주스티커제작,1,0,0,0,8
"파워링크",보라홈페이지,보라홈페이지_광고그룹#1,PC,진주시광고전단지,1,0,0,0,2
"파워링크",보라홈페이지,보라홈페이지_광고그룹#1,PC,진주시디자인,1,0,0,0,4
"파워링크",보라홈페이지,보라홈페이지_광고그룹#1,PC,진주시명함,"13,371",9,77,693,2.4
"파워링크",보라홈페이지,보라홈페이지_광고그룹#1,PC,진주시블로그,3,0,0,0,3
"파워링크",보라홈페이지,보라홈페이지_광고그룹#1,PC,진주시현수막제작,2,0,0,0,9
"파워링크",보라홈페이지,보라홈페이지_광고그룹#1,PC,진주인쇄,1,0,0,0,9
"파워링크",보라홈페이지,보라홈페이지_광고그룹#1,PC,진주전단지배포,1,0,0,0,4
"파워링크",보라홈페이지,보라홈페이지_광고그룹#1,PC,진주출력,1,0,0,0,10
"파워링크",보라홈페이지,보라홈페이지_광고그룹#1,PC,진주현수막,45,0,0,0,4.5
"파워링크",보라홈페이지,보라홈페이지_광고그룹#1,PC,진주현수막인쇄,1,0,0,0,10
"파워링크",보라홈페이지,보라홈페이지_광고그룹#1,PC,프린트보라색,4,0,0,0,3
"파워링크",보라홈페이지,보라홈페이지_광고그룹#1,PC,플레이스광고소재,1,0,0,0,1
"파워링크",보라홈페이지,보라홈페이지_광고그룹#1,모바일,(주)보라마케팅,2,0,0,0,1
"파워링크",보라홈페이지,보라홈페이지_광고그룹#1,모바일,G플레이스,8,0,0,0,1
"파워링크",보라홈페이지,보라홈페이지_광고그룹#1,모바일,가든제작,1,0,0,0,3
"파워링크",보라홈페이지,보라홈페이지_광고그룹#1,모바일,가면디자인,6,0,0,0,2
"파워링크",보라홈페이지,보라홈페이지_광고그룹#1,모바일,경남마케팅과,1,0,0,0,1
"파워링크",보라홈페이지,보라홈페이지_광고그룹#1,모바일,경남진주인쇄소,2,0,0,0,3
"파워링크",보라홈페이지,보라홈페이지_광고그룹#1,모바일,경상남도소상공인,5,0,0,0,1
"파워링크",보라홈페이지,보라홈페이지_광고그룹#1,모바일,광고소재디자인,1,0,0,0,4
"파워링크",보라홈페이지,보라홈페이지_광고그룹#1,모바일,누리집제작배포,1,0,0,0,2
"파워링크",보라홈페이지,보라홈페이지_광고그룹#1,모바일,디자인시,1,0,0,0,1
"파워링크",보라홈페이지,보라홈페이지_광고그룹#1,모바일,디자인올인원인쇄,1,0,0,0,2
"파워링크",보라홈페이지,보라홈페이지_광고그룹#1,모바일,리플렛제작진주,1,0,0,0,3
"파워링크",보라홈페이지,보라홈페이지_광고그룹#1,모바일,마케팅사업자번호,1,0,0,0,2
"파워링크",보라홈페이지,보라홈페이지_광고그룹#1,모바일,메일배너광고만들기,1,0,0,0,2
"파워링크",보라홈페이지,보라홈페이지_광고그룹#1,모바일,보라사이트,8,0,0,0,2
"파워링크",보라홈페이지,보라홈페이지_광고그룹#1,모바일,보라색마케팅,1,0,0,0,2
"파워링크",보라홈페이지,보라홈페이지_광고그룹#1,모바일,보라색사이트,2,0,0,0,1
"파워링크",보라홈페이지,보라홈페이지_광고그룹#1,모바일,보라색인쇄,1,0,0,0,4
"파워링크",보라홈페이지,보라홈페이지_광고그룹#1,모바일,보라색진주,5,0,0,0,2
"파워링크",보라홈페이지,보라홈페이지_광고그룹#1,모바일,보라온라인스토어,2,0,0,0,1
"파워링크",보라홈페이지,보라홈페이지_광고그룹#1,모바일,보라커뮤니케이션진주,1,1,77,77,1
"파워링크",보라홈페이지,보라홈페이지_광고그룹#1,모바일,사업자번호블로그,1,0,0,0,3
"파워링크",보라홈페이지,보라홈페이지_광고그룹#1,모바일,사천인쇄소,1,0,0,0,3
"파워링크",보라홈페이지,보라홈페이지_광고그룹#1,모바일,사천전단지,3,0,0,0,4
"파워링크",보라홈페이지,보라홈페이지_광고그룹#1,모바일,소재블로그,2,0,0,0,1
"파워링크",보라홈페이지,보라홈페이지_광고그룹#1,모바일,진주.인쇄소,1,0,0,0,3
"파워링크",보라홈페이지,보라홈페이지_광고그룹#1,모바일,진주광고지,1,0,0,0,1
"파워링크",보라홈페이지,보라홈페이지_광고그룹#1,모바일,진주디자인,34,0,0,0,3.4
"파워링크",보라홈페이지,보라홈페이지_광고그룹#1,모바일,진주명함,"89,497",31,77,"2,387",2.5
"파워링크",보라홈페이지,보라홈페이지_광고그룹#1,모바일,진주보라,1,0,0,0,1
"파워링크",보라홈페이지,보라홈페이지_광고그룹#1,모바일,진주보라커뮤니케이션,1,0,0,0,1
"파워링크",보라홈페이지,보라홈페이지_광고그룹#1,모바일,진주블로그업체,2,0,0,0,4
"파워링크",보라홈페이지,보라홈페이지_광고그룹#1,모바일,진주스티커,9,0,0,0,3.3
