"플레이스보고서(2025.06.01.~2025.06.30.),spaisland:naver"
"캠페인유형",캠페인,광고그룹,PC/모바일 매체,검색어,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위
"파워링크",스파아일랜드,01. 스파아일랜드 M,모바일,24기간사우나,1,0,0,0,1
"파워링크",스파아일랜드,01. 스파아일랜드 M,모바일,24사우나찜질방,59,0,0,0,1.4
"파워링크",스파아일랜드,01. 스파아일랜드 M,모바일,24시.목욕탕,4,0,0,0,1
"파워링크",스파아일랜드,01. 스파아일랜드 M,모바일,24시.사우나,20,0,0,0,2.1
"파워링크",스파아일랜드,01. 스파아일랜드 M,모바일,24시.찜질방,10,0,0,0,2.6
"파워링크",스파아일랜드,01. 스파아일랜드 M,모바일,24시가족찜질방,1,0,0,0,1
"파워링크",스파아일랜드,01. 스파아일랜드 M,모바일,24시간.사우나,4,0,0,0,1.5
"파워링크",스파아일랜드,01. 스파아일랜드 M,모바일,24시간경기도사우나,1,0,0,0,1
"파워링크",스파아일랜드,01. 스파아일랜드 M,모바일,24시간고급찜질방,1,0,0,0,2
"파워링크",스파아일랜드,01. 스파아일랜드 M,모바일,24시간근처찜질방,1,0,0,0,1
"파워링크",스파아일랜드,01. 스파아일랜드 M,모바일,24시간대형사우나,2,0,0,0,1.5
"파워링크",스파아일랜드,01. 스파아일랜드 M,모바일,24시간대형스파,2,0,0,0,1
"파워링크",스파아일랜드,01. 스파아일랜드 M,모바일,24시간대형찜질방,5,0,0,0,1
"파워링크",스파아일랜드,01. 스파아일랜드 M,모바일,24시간목욕,2,0,0,0,2
"파워링크",스파아일랜드,01. 스파아일랜드 M,모바일,24시간목욕탕,315,1,209,209,1.2
"파워링크",스파아일랜드,01. 스파아일랜드 M,모바일,24시간목욕탕서울,1,0,0,0,1
"파워링크",스파아일랜드,01. 스파아일랜드 M,모바일,24시간불가마,7,0,0,0,1
"파워링크",스파아일랜드,01. 스파아일랜드 M,모바일,24시간불가마사우나,2,0,0,0,2
"파워링크",스파아일랜드,01. 스파아일랜드 M,모바일,24시간불가마찜질방,5,0,0,0,1.8
"파워링크",스파아일랜드,01. 스파아일랜드 M,모바일,24시간사우나,"1,455",0,0,0,1.1
"파워링크",스파아일랜드,01. 스파아일랜드 M,모바일,24시간사우나&찜질방,1,0,0,0,3
"파워링크",스파아일랜드,01. 스파아일랜드 M,모바일,24시간사우나경기도,1,0,0,0,1
"파워링크",스파아일랜드,01. 스파아일랜드 M,모바일,24시간사우나근처,1,0,0,0,1
"파워링크",스파아일랜드,01. 스파아일랜드 M,모바일,24시간사우나목욕탕,2,0,0,0,2
"파워링크",스파아일랜드,01. 스파아일랜드 M,모바일,24시간사우나서울,4,0,0,0,1
"파워링크",스파아일랜드,01. 스파아일랜드 M,모바일,24시간사우나일산,7,0,0,0,1.4
"파워링크",스파아일랜드,01. 스파아일랜드 M,모바일,24시간사우나찜질방,2,0,0,0,2.5
"파워링크",스파아일랜드,01. 스파아일랜드 M,모바일,24시간사우나추천,2,0,0,0,2
"파워링크",스파아일랜드,01. 스파아일랜드 M,모바일,24시간서울근교찜질방,1,1,77,77,1
"파워링크",스파아일랜드,01. 스파아일랜드 M,모바일,24시간서울찜질방,6,0,0,0,1.2
"파워링크",스파아일랜드,01. 스파아일랜드 M,모바일,24시간스파사우나,1,1,473,473,1
"파워링크",스파아일랜드,01. 스파아일랜드 M,모바일,24시간영업사우나,1,0,0,0,2
"파워링크",스파아일랜드,01. 스파아일랜드 M,모바일,24시간온천스파,3,1,407,407,1.7
"파워링크",스파아일랜드,01. 스파아일랜드 M,모바일,24시간온천찜질방,2,0,0,0,2
"파워링크",스파아일랜드,01. 스파아일랜드 M,모바일,24시간운영사우나,1,0,0,0,1
"파워링크",스파아일랜드,01. 스파아일랜드 M,모바일,24시간이색찜질방,1,0,0,0,1
"파워링크",스파아일랜드,01. 스파아일랜드 M,모바일,24시간이용찜질방,1,0,0,0,2
"파워링크",스파아일랜드,01. 스파아일랜드 M,모바일,24시간찜질방,"1,851",9,82,737,1.8
"파워링크",스파아일랜드,01. 스파아일랜드 M,모바일,24시간찜질방가족방,2,1,429,429,1
"파워링크",스파아일랜드,01. 스파아일랜드 M,모바일,24시간찜질방경기도,25,2,182,363,1.2
"파워링크",스파아일랜드,01. 스파아일랜드 M,모바일,24시간찜질방고양,1,0,0,0,1
"파워링크",스파아일랜드,01. 스파아일랜드 M,모바일,24시간찜질방근처,1,0,0,0,1
"파워링크",스파아일랜드,01. 스파아일랜드 M,모바일,24시간찜질방내근처,3,1,77,77,1
"파워링크",스파아일랜드,01. 스파아일랜드 M,모바일,24시간찜질방데이트,1,0,0,0,2
"파워링크",스파아일랜드,01. 스파아일랜드 M,모바일,24시간찜질방맛집,1,0,0,0,1
"파워링크",스파아일랜드,01. 스파아일랜드 M,모바일,24시간찜질방사우나,2,0,0,0,2
