"플레이스보고서(2025.06.01.~2025.06.30.),sw5362:naver"
"캠페인유형",캠페인,광고그룹,PC/모바일 매체,검색어,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위
"파워링크",분당고양이미용(MO),"분당고양이미용(MO)  ",PC,경기광주동물병원,5,0,0,0,4.4
"파워링크",분당고양이미용(MO),"분당고양이미용(MO)  ",PC,고양이목욕,8,0,0,0,1
"파워링크",분당고양이미용(MO),"분당고양이미용(MO)  ",PC,고양이목욕용품,1,0,0,0,1
"파워링크",분당고양이미용(MO),"분당고양이미용(MO)  ",PC,고양이무마취미용,4,0,0,0,2.3
"파워링크",분당고양이미용(MO),"분당고양이미용(MO)  ",PC,고양이미용,26,2,"1,617","3,234",1.1
"파워링크",분당고양이미용(MO),"분당고양이미용(MO)  ",PC,고양이미용비용,3,0,0,0,5.7
"파워링크",분당고양이미용(MO),"분당고양이미용(MO)  ",PC,고양이미용셀프,2,0,0,0,3
"파워링크",분당고양이미용(MO),"분당고양이미용(MO)  ",PC,고양이미용실,2,0,0,0,1
"파워링크",분당고양이미용(MO),"분당고양이미용(MO)  ",PC,고양이셀프미용,4,0,0,0,1
"파워링크",분당고양이미용(MO),"분당고양이미용(MO)  ",PC,고양이털갈이,7,0,0,0,1
"파워링크",분당고양이미용(MO),"분당고양이미용(MO)  ",PC,고양이털뭉침,1,0,0,0,1
"파워링크",분당고양이미용(MO),"분당고양이미용(MO)  ",PC,고양이털밀기,5,0,0,0,8.2
"파워링크",분당고양이미용(MO),"분당고양이미용(MO)  ",PC,고양이털빠짐,9,0,0,0,2.9
"파워링크",분당고양이미용(MO),"분당고양이미용(MO)  ",PC,고양이털엉켰을때,1,0,0,0,2
"파워링크",분당고양이미용(MO),"분당고양이미용(MO)  ",PC,나비살롱,1,0,0,0,1
"파워링크",분당고양이미용(MO),"분당고양이미용(MO)  ",PC,분당고양이미용,1,0,0,0,1
"파워링크",분당고양이미용(MO),"분당고양이미용(MO)  ",PC,분당고양이병원,3,0,0,0,1
"파워링크",분당고양이미용(MO),"분당고양이미용(MO)  ",PC,분당동물병원,31,0,0,0,9
"파워링크",분당고양이미용(MO),"분당고양이미용(MO)  ",PC,성남고양이미용,1,0,0,0,3
"파워링크",분당고양이미용(MO),"분당고양이미용(MO)  ",PC,성남고양이병원,4,0,0,0,2
"파워링크",분당고양이미용(MO),"분당고양이미용(MO)  ",PC,용인고양이미용,5,0,0,0,8.8
"파워링크",분당고양이미용(MO),"분당고양이미용(MO)  ",PC,정자동고양이미용,2,1,495,495,1
"파워링크",분당고양이미용(MO),"분당고양이미용(MO)  ",PC,정자동동물병원,7,0,0,0,4
"파워링크",분당고양이미용(MO),"분당고양이미용(MO)  ",PC,판교고양이,1,0,0,0,5
"파워링크",분당고양이미용(MO),"분당고양이미용(MO)  ",PC,판교고양이병원,1,0,0,0,1
"파워링크",분당고양이미용(MO),"분당고양이미용(MO)  ",모바일,경기고양이무마취,2,0,0,0,2
"파워링크",분당고양이미용(MO),"분당고양이미용(MO)  ",모바일,경기광주고양이미용,1,0,0,0,4
"파워링크",분당고양이미용(MO),"분당고양이미용(MO)  ",모바일,경기광주동물병원,175,0,0,0,3.8
"파워링크",분당고양이미용(MO),"분당고양이미용(MO)  ",모바일,고양이교감,1,0,0,0,2
"파워링크",분당고양이미용(MO),"분당고양이미용(MO)  ",모바일,고양이마취미용,2,0,0,0,1
"파워링크",분당고양이미용(MO),"분당고양이미용(MO)  ",모바일,고양이목욕,139,9,"1,957","17,611",1.3
"파워링크",분당고양이미용(MO),"분당고양이미용(MO)  ",모바일,고양이목욕비용,6,1,462,462,2.8
"파워링크",분당고양이미용(MO),"분당고양이미용(MO)  ",모바일,고양이목욕용품,1,0,0,0,1
"파워링크",분당고양이미용(MO),"분당고양이미용(MO)  ",모바일,고양이무마취미용,31,3,"1,958","5,874",1.8
"파워링크",분당고양이미용(MO),"분당고양이미용(MO)  ",모바일,고양이무마취미용성남,1,0,0,0,2
"파워링크",분당고양이미용(MO),"분당고양이미용(MO)  ",모바일,고양이미용,307,31,"1,856","57,530",1
"파워링크",분당고양이미용(MO),"분당고양이미용(MO)  ",모바일,고양이미용분당,3,1,187,187,3
"파워링크",분당고양이미용(MO),"분당고양이미용(MO)  ",모바일,고양이미용실,60,3,"1,874","5,621",2.3
"파워링크",분당고양이미용(MO),"분당고양이미용(MO)  ",모바일,고양이미용옷,1,0,0,0,2
"파워링크",분당고양이미용(MO),"분당고양이미용(MO)  ",모바일,고양이셀프미용,25,1,"1,595","1,595",2.1
"파워링크",분당고양이미용(MO),"분당고양이미용(MO)  ",모바일,고양이셀프털,1,0,0,0,2
"파워링크",분당고양이미용(MO),"분당고양이미용(MO)  ",모바일,고양이엉킨털,3,0,0,0,1.3
"파워링크",분당고양이미용(MO),"분당고양이미용(MO)  ",모바일,고양이출장미용,14,2,"2,046","4,092",3
"파워링크",분당고양이미용(MO),"분당고양이미용(MO)  ",모바일,고양이털갈이,52,0,0,0,1.7
