"플레이스보고서(2025.06.01.~2025.06.30.),tjsgml145300:naver"
"캠페인유형",캠페인,광고그룹,PC/모바일 매체,검색어,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,"#맛집추천#제주",1,1,429,429,1
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,-표선닭해장국,2,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,JEJUSEAFOOD,1,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,간장등갈비해물찜,2,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,골프장주변맛집,10,0,0,0,2.3
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,광어는표선이다,1,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,광어다서귀포표선,1,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,광어다서귀포표선본점,2,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,광어다제주표선,1,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,광어다표선,94,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,광어다표선본점,174,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,"광어다표선본점""예약""",1,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,광어다표선본점예약,1,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,광어다표선본점웨이팅,2,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,광어다표선본점포장,1,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,광어다표선예약,1,0,0,0,2
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,광어다표선예약필수,1,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,광어다표선점,2,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,광어다표선포장,5,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,광어바다표선본점,1,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,광어표선,1,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,근처해물,4,0,0,0,2
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,근처해물찜,3,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,근처해신탕,4,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,남원맛있는곳,1,0,0,0,3
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,남원맛집,"5,715",18,149,"2,673",3.4
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,남원여행,"1,365",3,139,418,6.6
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,남원읍표선맛집,1,0,0,0,2
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,남원표선맛집,1,0,0,0,2
