"플레이스보고서(2025.06.01.~2025.06.30.),wlfkfdlek1111:naver"
"캠페인유형",캠페인,광고그룹,PC/모바일 매체,검색어,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위
"파워링크",백짐(파워링크)PC 플레이스연동,백짐(파워링크)PC 플레이스연동_광고그룹#1,PC,강남구청PT,98,0,0,0,4.2
"파워링크",백짐(파워링크)PC 플레이스연동,백짐(파워링크)PC 플레이스연동_광고그룹#1,PC,강남구청다이어트,11,0,0,0,5.2
"파워링크",백짐(파워링크)PC 플레이스연동,백짐(파워링크)PC 플레이스연동_광고그룹#1,PC,강남구청역PT,36,0,0,0,4.3
"파워링크",백짐(파워링크)PC 플레이스연동,백짐(파워링크)PC 플레이스연동_광고그룹#1,PC,강남구청역근처헬스장,2,0,0,0,2
"파워링크",백짐(파워링크)PC 플레이스연동,백짐(파워링크)PC 플레이스연동_광고그룹#1,PC,강남구청역다이어트,2,0,0,0,2
"파워링크",백짐(파워링크)PC 플레이스연동,백짐(파워링크)PC 플레이스연동_광고그룹#1,PC,강남구청역피티,1,0,0,0,5
"파워링크",백짐(파워링크)PC 플레이스연동,백짐(파워링크)PC 플레이스연동_광고그룹#1,PC,강남구청주변헬스장,2,0,0,0,1
"파워링크",백짐(파워링크)PC 플레이스연동,백짐(파워링크)PC 플레이스연동_광고그룹#1,PC,강남구청피티,6,0,0,0,4.2
"파워링크",백짐(파워링크)PC 플레이스연동,백짐(파워링크)PC 플레이스연동_광고그룹#1,PC,강남구청허리재활,1,0,0,0,1
"파워링크",백짐(파워링크)PC 플레이스연동,백짐(파워링크)PC 플레이스연동_광고그룹#1,PC,삼성동PT,490,3,"11,708","35,123",2.3
"파워링크",백짐(파워링크)PC 플레이스연동,백짐(파워링크)PC 플레이스연동_광고그룹#1,PC,삼성동다이어트,4,0,0,0,2.3
"파워링크",백짐(파워링크)PC 플레이스연동,백짐(파워링크)PC 플레이스연동_광고그룹#1,PC,삼성동재활PT,3,0,0,0,3.7
"파워링크",백짐(파워링크)PC 플레이스연동,백짐(파워링크)PC 플레이스연동_광고그룹#1,PC,삼성동피트니스,15,1,"1,617","1,617",5.5
"파워링크",백짐(파워링크)PC 플레이스연동,백짐(파워링크)PC 플레이스연동_광고그룹#1,PC,삼성동피티,2,0,0,0,4
"파워링크",백짐(파워링크)PC 플레이스연동,백짐(파워링크)PC 플레이스연동_광고그룹#1,PC,삼성동헬스장,183,0,0,0,6.2
"파워링크",백짐(파워링크)PC 플레이스연동,백짐(파워링크)PC 플레이스연동_광고그룹#1,PC,삼성동휘트니스,3,0,0,0,5.3
"파워링크",백짐(파워링크)PC 플레이스연동,백짐(파워링크)PC 플레이스연동_광고그룹#1,PC,삼성중앙역PT,14,0,0,0,3.9
"파워링크",백짐(파워링크)PC 플레이스연동,백짐(파워링크)PC 플레이스연동_광고그룹#1,PC,삼성중앙역헬스,2,0,0,0,3
"파워링크",백짐(파워링크)PC 플레이스연동,백짐(파워링크)PC 플레이스연동_광고그룹#1,PC,삼성체형교정,2,0,0,0,1.5
"파워링크",백짐(파워링크)PC 플레이스연동,백짐(파워링크)PC 플레이스연동_광고그룹#1,PC,선릉PT,161,2,"10,654","21,307",2.8
"파워링크",백짐(파워링크)PC 플레이스연동,백짐(파워링크)PC 플레이스연동_광고그룹#1,PC,선릉근처헬스장,1,0,0,0,3
"파워링크",백짐(파워링크)PC 플레이스연동,백짐(파워링크)PC 플레이스연동_광고그룹#1,PC,선릉다이어트운동,2,0,0,0,2
"파워링크",백짐(파워링크)PC 플레이스연동,백짐(파워링크)PC 플레이스연동_광고그룹#1,PC,선릉체형교정,36,0,0,0,2
"파워링크",백짐(파워링크)PC 플레이스연동,백짐(파워링크)PC 플레이스연동_광고그룹#1,PC,선릉피티,11,0,0,0,3
"파워링크",백짐(파워링크)PC 플레이스연동,백짐(파워링크)PC 플레이스연동_광고그룹#1,PC,선정릉PT,17,0,0,0,1.4
"파워링크",백짐(파워링크)PC 플레이스연동,백짐(파워링크)PC 플레이스연동_광고그룹#1,PC,선정릉근처헬스장,1,0,0,0,1
"파워링크",백짐(파워링크)PC 플레이스연동,백짐(파워링크)PC 플레이스연동_광고그룹#1,PC,선정릉역PT,156,0,0,0,3.2
"파워링크",백짐(파워링크)PC 플레이스연동,백짐(파워링크)PC 플레이스연동_광고그룹#1,PC,선정릉역PT샵,2,0,0,0,3
"파워링크",백짐(파워링크)PC 플레이스연동,백짐(파워링크)PC 플레이스연동_광고그룹#1,PC,선정릉역다이어트,1,0,0,0,2
