"플레이스보고서(2025.06.01.~2025.06.30.),worldgym11:naver"
"캠페인유형",캠페인,광고그룹,PC/모바일 매체,검색어,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위
"파워링크",파워링크,파워링크_광고그룹10,PC,GDR골프레슨,1,0,0,0,8
"파워링크",파워링크,파워링크_광고그룹10,PC,GDR골프아카데미,21,0,0,0,6.8
"파워링크",파워링크,파워링크_광고그룹10,PC,GDR골프아카데미가격,1,0,0,0,6
"파워링크",파워링크,파워링크_광고그룹10,PC,GDR골프연습,2,0,0,0,7.5
"파워링크",파워링크,파워링크_광고그룹10,PC,GDR골프연습장,35,0,0,0,6.4
"파워링크",파워링크,파워링크_광고그룹10,PC,GDR골프연습장이란,1,0,0,0,3
"파워링크",파워링크,파워링크_광고그룹10,PC,GDR스퀘어,1,0,0,0,3
"파워링크",파워링크,파워링크_광고그룹10,PC,GDR스크린게임,1,0,0,0,3
"파워링크",파워링크,파워링크_광고그룹10,PC,GDR실내골프연습장,1,0,0,0,4
"파워링크",파워링크,파워링크_광고그룹10,PC,GDR아카데미동탄,1,0,0,0,8
"파워링크",파워링크,파워링크_광고그룹10,PC,GDR아카데미안산,1,0,0,0,2
"파워링크",파워링크,파워링크_광고그룹10,PC,GDR안산,2,0,0,0,2
"파워링크",파워링크,파워링크_광고그룹10,PC,GDR안산선부점,1,0,0,0,1
"파워링크",파워링크,파워링크_광고그룹10,PC,GDR여행,1,0,0,0,2
"파워링크",파워링크,파워링크_광고그룹10,PC,GDR연습장스크린모드,1,0,0,0,3
"파워링크",파워링크,파워링크_광고그룹10,PC,GDR월드골프아카데미,1,1,110,110,1
"파워링크",파워링크,파워링크_광고그룹10,PC,GDR타석,21,0,0,0,21
"파워링크",파워링크,파워링크_광고그룹10,PC,GDR투어,1,0,0,0,2
"파워링크",파워링크,파워링크_광고그룹10,PC,GDR프로그램,1,0,0,0,3
"파워링크",파워링크,파워링크_광고그룹10,PC,GDR회원,1,0,0,0,2
"파워링크",파워링크,파워링크_광고그룹10,PC,KPGA프로레슨,1,0,0,0,9
"파워링크",파워링크,파워링크_광고그룹10,PC,QEDGDR,4,0,0,0,1.5
"파워링크",파워링크,파워링크_광고그룹10,PC,QED골프고잔동,1,0,0,0,2
"파워링크",파워링크,파워링크_광고그룹10,PC,QED골프안산,1,0,0,0,2
"파워링크",파워링크,파워링크_광고그룹10,PC,QED골프안산고잔,1,0,0,0,2
"파워링크",파워링크,파워링크_광고그룹10,PC,QED골프안산고잔점,1,0,0,0,2
"파워링크",파워링크,파워링크_광고그룹10,PC,강욱순골프,5,0,0,0,1.8
"파워링크",파워링크,파워링크_광고그룹10,PC,경기도안산시단원구고잔동스크린골프,1,0,0,0,1
"파워링크",파워링크,파워링크_광고그룹10,PC,고잔동GDR,1,0,0,0,1
"파워링크",파워링크,파워링크_광고그룹10,PC,고잔동GDR레슨,1,0,0,0,1
"파워링크",파워링크,파워링크_광고그룹10,PC,고잔동골프,4,0,0,0,1.8
"파워링크",파워링크,파워링크_광고그룹10,PC,고잔동골프레슨,2,0,0,0,2.5
"파워링크",파워링크,파워링크_광고그룹10,PC,고잔동골프연습장,5,0,0,0,2
"파워링크",파워링크,파워링크_광고그룹10,PC,고잔동골프장,2,0,0,0,1
"파워링크",파워링크,파워링크_광고그룹10,PC,고잔동골프존,1,0,0,0,2
"파워링크",파워링크,파워링크_광고그룹10,PC,고잔동골프클럽,1,0,0,0,1
"파워링크",파워링크,파워링크_광고그룹10,PC,고잔동스크린,2,0,0,0,1
"파워링크",파워링크,파워링크_광고그룹10,PC,고잔동스크린골프,5,0,0,0,1.8
"파워링크",파워링크,파워링크_광고그룹10,PC,고잔동스크린골프장,1,0,0,0,1
"파워링크",파워링크,파워링크_광고그룹10,PC,고잔동헬스장골프장,1,0,0,0,1
"파워링크",파워링크,파워링크_광고그룹10,PC,고잔스크린,1,0,0,0,1
"파워링크",파워링크,파워링크_광고그룹10,PC,고잔신도시골프연습장,1,0,0,0,1
"파워링크",파워링크,파워링크_광고그룹10,PC,고잔역골프연습장,1,0,0,0,1
"파워링크",파워링크,파워링크_광고그룹10,PC,고잔역골프연습장추천,1,1,77,77,1
"파워링크",파워링크,파워링크_광고그룹10,PC,고잔역헬스장,1,0,0,0,1
"파워링크",파워링크,파워링크_광고그룹10,PC,고잔중앙역골프존,1,0,0,0,2
"파워링크",파워링크,파워링크_광고그룹10,PC,골프GDR,5,0,0,0,5.6
"파워링크",파워링크,파워링크_광고그룹10,PC,골프경기장,1,0,0,0,1
"파워링크",파워링크,파워링크_광고그룹10,PC,골프레슨,1,0,0,0,66
"파워링크",파워링크,파워링크_광고그룹10,PC,골프레슨안산,3,0,0,0,2.3
"파워링크",파워링크,파워링크_광고그룹10,PC,골프실외연습,1,0,0,0,3
"파워링크",파워링크,파워링크_광고그룹10,PC,골프실외연습장,25,0,0,0,2
"파워링크",파워링크,파워링크_광고그룹10,PC,골프아카데미안산,1,0,0,0,1
"파워링크",파워링크,파워링크_광고그룹10,PC,골프안산,1,0,0,0,2
"파워링크",파워링크,파워링크_광고그룹10,PC,골프야외레슨,1,0,0,0,3
"파워링크",파워링크,파워링크_광고그룹10,PC,골프연습장,490,0,0,0,68.6
"파워링크",파워링크,파워링크_광고그룹10,PC,골프연습장GDR,2,0,0,0,2.5
"파워링크",파워링크,파워링크_광고그룹10,PC,골프장,485,0,0,0,44.4
