"플레이스보고서(2025.06.01.~2025.06.30.),xodud0817:naver"
"캠페인유형",캠페인,광고그룹,PC/모바일 매체,검색어,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위
"파워링크",오리불고기_pc,02-1_지역_평일,PC,가람마을맛집,17,0,0,0,4.4
"파워링크",오리불고기_pc,02-1_지역_평일,PC,고양시맛집,1,0,0,0,10
"파워링크",오리불고기_pc,02-1_지역_평일,PC,교하맛집,18,0,0,0,4.1
"파워링크",오리불고기_pc,02-1_지역_평일,PC,금촌맛집,50,0,0,0,1.9
"파워링크",오리불고기_pc,02-1_지역_평일,PC,산더미오리불고기,3,0,0,0,1
"파워링크",오리불고기_pc,02-1_지역_평일,PC,산더미오리파주,1,0,0,0,1
"파워링크",오리불고기_pc,02-1_지역_평일,PC,운정맛집,116,0,0,0,3.7
"파워링크",오리불고기_pc,02-1_지역_평일,PC,운정산내마을맛집,2,0,0,0,2.5
"파워링크",오리불고기_pc,02-1_지역_평일,PC,운정산더미오리,1,0,0,0,1
"파워링크",오리불고기_pc,02-1_지역_평일,PC,파주고기집맛집,1,0,0,0,9
"파워링크",오리불고기_pc,02-1_지역_평일,PC,파주국밥집,1,0,0,0,3
"파워링크",오리불고기_pc,02-1_지역_평일,PC,파주다율동맛집,1,0,0,0,1
"파워링크",오리불고기_pc,02-1_지역_평일,PC,파주맛집,364,1,"1,507","1,507",4.4
"파워링크",오리불고기_pc,02-1_지역_평일,PC,파주맛집검색,1,0,0,0,3
"파워링크",오리불고기_pc,02-1_지역_평일,PC,파주맛집추천,5,0,0,0,3.8
"파워링크",오리불고기_pc,02-1_지역_평일,PC,파주산더미,1,0,0,0,1
"파워링크",오리불고기_pc,02-1_지역_평일,PC,파주시맛집,2,0,0,0,1
"파워링크",오리불고기_pc,02-1_지역_평일,PC,파주아울렛맛집,17,0,0,0,2.7
"파워링크",오리불고기_pc,02-1_지역_평일,PC,파주오리고기,3,0,0,0,1.7
"파워링크",오리불고기_pc,02-1_지역_평일,PC,파주오리맛집,1,0,0,0,3
"파워링크",오리불고기_pc,02-1_지역_평일,PC,파주오리집,1,0,0,0,1
"파워링크",오리불고기_pc,02-1_지역_평일,PC,파주운정맛집,34,0,0,0,3.7
"파워링크",오리불고기_pc,02-1_지역_평일,PC,파주저녁맛집,1,0,0,0,4
"파워링크",오리불고기_pc,02-1_지역_평일,PC,해솔마을,1,0,0,0,3
"파워링크",오리불고기_pc,02-2_지역_주말,PC,가람마을맛집,5,0,0,0,3
"파워링크",오리불고기_pc,02-2_지역_주말,PC,고양시맛집,3,0,0,0,4.7
"파워링크",오리불고기_pc,02-2_지역_주말,PC,교하맛집,6,0,0,0,2.7
"파워링크",오리불고기_pc,02-2_지역_주말,PC,금촌맛집,33,1,748,748,1.8
"파워링크",오리불고기_pc,02-2_지역_주말,PC,다율동맛집,4,0,0,0,1.5
"파워링크",오리불고기_pc,02-2_지역_주말,PC,산내마을맛집,1,0,0,0,2
"파워링크",오리불고기_pc,02-2_지역_주말,PC,산더미오리,1,0,0,0,1
"파워링크",오리불고기_pc,02-2_지역_주말,PC,산더미오리불고기파주,1,0,0,0,1
"파워링크",오리불고기_pc,02-2_지역_주말,PC,운정다율동맛집,1,0,0,0,3
"파워링크",오리불고기_pc,02-2_지역_주말,PC,운정맛집,52,0,0,0,2.1
"파워링크",오리불고기_pc,02-2_지역_주말,PC,운정산내마을맛집,3,0,0,0,2.3
"파워링크",오리불고기_pc,02-2_지역_주말,PC,파주가볼만한곳,1,0,0,0,10
"파워링크",오리불고기_pc,02-2_지역_주말,PC,파주가족모임,2,0,0,0,3.5
"파워링크",오리불고기_pc,02-2_지역_주말,PC,파주고기,1,0,0,0,3
