"쇼핑검색보고서(2025.06.01.~2025.06.30.),habin0929:naver"
"캠페인유형",검색어,PC/모바일 매체,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위,방문당 평균페이지뷰,방문당 평균체류시간(초),전환수,전환매출액(원)
"파워링크","!HBA1C",모바일,2,0,0,0,1,0,0,0,0
"파워링크",'당화혈색소,모바일,1,0,0,0,1,0,0,0,0
"파워링크",(당화혈색소,PC,1,0,0,0,3,0,0,0,0
"파워링크",-40도산소,모바일,1,0,0,0,1,0,0,0,0
"파워링크",-HBA1C,PC,3,0,0,0,1.7,0,0,0,0
"파워링크",-HBA1C:,PC,1,0,0,0,1,0,0,0,0
"파워링크",-당화혈색소,PC,1,0,0,0,2,0,0,0,0
"파워링크",-오버홀,PC,1,0,0,0,2,0,0,0,0
"파워링크",-인체,PC,1,0,0,0,3,0,0,0,0
"파워링크",//당화혈,모바일,1,0,0,0,3,0,0,0,0
"파워링크",02산소호흡기,모바일,1,0,0,0,3,0,0,0,0
"파워링크",1.2MHZ초음파기,PC,1,0,0,0,1,0,0,0,0
"파워링크",100당화혈색소,모바일,2,0,0,0,2.5,0,0,0,0
"파워링크",10대당화혈,PC,1,0,0,0,2,0,0,0,0
"파워링크",10대인체해부,모바일,1,0,0,0,2,0,0,0,0
"파워링크",10리터산소,모바일,1,0,0,0,1,0,0,0,0
"파워링크",10리터산소발생기,모바일,1,0,0,0,1,0,0,0,0
"파워링크",10리터산소통,PC,2,0,0,0,1,0,0,0,0
"파워링크",10리터산소통,모바일,2,0,0,0,1,0,0,0,0
"파워링크",10리터산소호흡기,모바일,1,0,0,0,1,0,0,0,0
"파워링크",10초무통혈당측정기,모바일,2,0,0,0,2,0,0,0,0
"파워링크",12평보청기,모바일,1,0,0,0,1,0,0,0,0
"파워링크",153당화혈색소,PC,1,0,0,0,3,0,0,0,0
"파워링크",15리터산소발생기,모바일,1,0,0,0,1,0,0,0,0
"파워링크",1MHZ저주파초음파를,모바일,1,0,0,0,3,0,0,0,0
"파워링크",1MHZ초음파기,모바일,2,0,0,0,2.5,0,0,0,0
"파워링크",1MHZ초음파치료기,모바일,1,0,0,0,1,0,0,0,0
"파워링크",1년혈당측정,모바일,1,0,0,0,2,0,0,0,0
"파워링크",1리터산소,모바일,1,0,0,0,1,0,0,0,0
"파워링크",1리터산소통,모바일,1,0,0,0,1,0,0,0,0
"파워링크",1형당화혈색소9,모바일,1,0,0,0,2,0,0,0,0
"파워링크",1회용산소,모바일,17,0,0,0,1.4,0,0,0,0
"파워링크",1회용산소마스크,모바일,1,0,0,0,1,0,0,0,0
"파워링크",1회용산소측정기,모바일,1,0,0,0,1,0,0,0,0
"파워링크",1회용산소통,PC,1,1,374,374,1,0,0,0,0
"파워링크",1회용산소통,모바일,4,0,0,0,1.3,0,0,0,0
"파워링크",1회용산소호흡기,PC,5,0,0,0,1.4,0,0,0,0
"파워링크",1회용산소호흡기,모바일,12,0,0,0,2.5,0,0,0,0
"파워링크",1회용산소흡입기,모바일,1,0,0,0,1,0,0,0,0
"파워링크",1회용수술포,모바일,1,0,0,0,1,0,0,0,0
"파워링크",1회용의료용산소,PC,1,0,0,0,2,0,0,0,0
"파워링크",1회용혈당,PC,2,0,0,0,2.5,0,0,0,0
"파워링크",1회용혈당검사기,PC,1,0,0,0,3,0,0,0,0
"파워링크",1회용혈당검사기,모바일,1,0,0,0,2,0,0,0,0
"파워링크",1회용혈당계,모바일,1,0,0,0,3,0,0,0,0
"파워링크",1회용혈당측정,모바일,1,0,0,0,3,0,0,0,0
"파워링크",1회용혈당측정기,PC,1,0,0,0,3,0,0,0,0
"파워링크",1회용호흡기,모바일,1,0,0,0,1,0,0,0,0
"파워링크",2007년로렉스시계,모바일,1,0,0,0,3,0,0,0,0
"파워링크",2017년태그호이어,모바일,2,0,0,0,1,0,0,0,0
"파워링크",2021태그호이어,모바일,1,0,0,0,2,0,0,0,0
"파워링크",2025저주파치료기,모바일,1,0,0,0,2,0,0,0,0
"파워링크",20L의료용산소통,PC,1,0,0,0,1,0,0,0,0
"파워링크",20대당화혈,PC,1,0,0,0,1,0,0,0,0
"파워링크",20대당화혈,모바일,3,0,0,0,1,0,0,0,0
"파워링크",20대당화혈색소,PC,6,0,0,0,1.5,0,0,0,0
"파워링크",20대당화혈색소,모바일,36,0,0,0,1.5,0,0,0,0
"파워링크",20대당화혈색소검사,모바일,1,0,0,0,1,0,0,0,0
"파워링크",20대혈당검사,모바일,1,0,0,0,1,0,0,0,0
"파워링크",20리터산소통,PC,4,0,0,0,1,0,0,0,0
"파워링크",20리터산소통사이즈,PC,1,0,0,0,1,0,0,0,0
"파워링크",21년태그호이어,PC,1,0,0,0,1,0,0,0,0
