"쇼핑검색보고서(2025.06.01.~2025.06.30.),jungkiseo:naver"
"캠페인유형",검색어,PC/모바일 매체,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위,방문당 평균페이지뷰,방문당 평균체류시간(초),전환수,전환매출액(원)
"파워링크",2015교육과정공동체역량,PC,1,0,0,0,2,0,0,0,0
"파워링크",2015교육과정역량,PC,10,0,0,0,1.1,0,0,0,0
"파워링크",2015교육과정역량,모바일,8,0,0,0,1.1,0,0,0,0
"파워링크",2015교육과정역량공동체,모바일,1,0,0,0,1,0,0,0,0
"파워링크",2015교육과정정의,모바일,1,0,0,0,2,0,0,0,0
"파워링크",2015년교육과정,PC,1,0,0,0,1,0,0,0,0
"파워링크",2015년교육과정,모바일,13,0,0,0,2.6,0,0,0,0
"파워링크",2015년교육과정정의,모바일,1,0,0,0,1,0,0,0,0
"파워링크",2015년생교육과정,모바일,1,0,0,0,1,0,0,0,0
"파워링크",2022교육과정공동체역량,PC,1,0,0,0,2,0,0,0,0
"파워링크",2025년회복적생활지도,PC,1,0,0,0,2,0,0,0,0
"파워링크",20명세미나공간,모바일,1,0,0,0,9,0,0,0,0
"파워링크",3-2교육과정,모바일,1,0,0,0,2,0,0,0,0
"파워링크",5-1커리큘럼,모바일,1,0,0,0,2,0,0,0,0
"파워링크",5-2커리큘럼,PC,1,0,0,0,3,0,0,0,0
"파워링크",5-2커리큘럼,모바일,1,0,0,0,2,0,0,0,0
"파워링크",@@@@실천학교,모바일,2,0,0,0,2,0,0,0,0
"파워링크",EDU정의,PC,1,0,0,0,1,0,0,0,0
"파워링크",KRJPA,모바일,1,0,0,0,1,0,0,0,0
"파워링크",WEE클래스,PC,139,0,0,0,2.9,0,0,0,0
"파워링크",WEE클래스,모바일,250,0,0,0,2,0,0,0,0
"파워링크",가정폭력정의회복,모바일,2,0,0,0,1,0,0,0,0
"파워링크",가치갈등정의,PC,1,0,0,0,1,0,0,0,0
"파워링크",가치실천,PC,1,0,0,0,3,0,0,0,0
"파워링크",가치실천,모바일,2,0,0,0,2,0,0,0,0
