"요일별보고서(2025.06.01.~2025.06.30.),happybeen_82:naver"
"요일별",시간대별,클릭수,클릭률(%),평균노출순위,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
"월요일",00시~01시,6,0.6,4.3,"1,942","11,649",0,0
"월요일",01시~02시,5,0.63,5.7,"2,279","11,396",0,0
"월요일",02시~03시,3,0.59,4.2,"2,416","7,249",0,0
"월요일",03시~04시,0,0,6.7,0,0,0,0
"월요일",04시~05시,1,1,6.3,528,528,0,0
"월요일",05시~06시,0,0,8,0,0,0,0
"월요일",06시~07시,1,0.52,5.9,539,539,0,0
"월요일",07시~08시,0,0,7.9,0,0,0,0
"월요일",08시~09시,13,1.1,4.7,"1,823","23,694",0,0
"월요일",09시~10시,21,1.35,3.9,"2,158","45,309",0,0
"월요일",10시~11시,9,0.69,3.8,"1,839","16,555",3,"282,200"
"월요일",11시~12시,8,0.68,5.7,"1,672","13,376",8,0
"월요일",12시~13시,6,0.61,4.1,"1,577","9,460",1,"81,000"
"월요일",13시~14시,6,0.71,3.8,"2,620","15,719",0,0
"월요일",14시~15시,3,0.4,3.7,"2,519","7,557",0,0
"월요일",15시~16시,3,0.6,3.7,"1,984","5,951",3,"47,230"
"월요일",16시~17시,2,0.39,4.7,781,"1,562",0,0
"월요일",17시~18시,4,0.86,4.3,"1,477","5,907",0,0
"월요일",18시~19시,3,0.83,4.6,"2,226","6,677",0,0
"월요일",19시~20시,3,1.68,6.1,"1,734","5,203",0,0
"월요일",20시~21시,0,0,1.7,0,0,0,0
"화요일",00시~01시,10,1.29,5.1,"1,966","19,657",0,0
"화요일",01시~02시,2,0.41,3.2,"2,327","4,653",0,0
"화요일",02시~03시,4,1.24,3.2,"1,755","7,018",0,0
"화요일",03시~04시,0,0,7.6,0,0,0,0
"화요일",04시~05시,0,0,8.6,0,0,0,0
"화요일",05시~06시,0,0,8.5,0,0,0,0
"화요일",06시~07시,0,0,7.5,0,0,0,0
"화요일",07시~08시,0,0,9.1,0,0,0,0
"화요일",08시~09시,13,1.42,4.8,"2,100","27,302",0,0
"화요일",09시~10시,14,1.55,5.4,"1,842","25,784",0,0
"화요일",10시~11시,6,0.86,4.3,"1,522","9,130",0,0
"화요일",11시~12시,5,0.8,4.2,"2,413","12,067",0,0
"화요일",12시~13시,10,1.42,4.7,"1,211","12,111",0,0
"화요일",13시~14시,5,0.82,4.6,"1,547","7,733",0,0
"화요일",14시~15시,5,1.08,3.8,"1,619","8,096",0,0
"화요일",15시~16시,5,1.02,4,"1,837","9,185",0,0
"화요일",16시~17시,1,0.19,4.5,"3,058","3,058",0,0
