"요일별보고서(2025.06.01.~2025.06.30.),ise41661:naver"
"요일별",시간대별,클릭수,클릭률(%),평균노출순위,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
"월요일",00시~01시,1,0.48,3.8,"1,232","1,232",0,0
"월요일",01시~02시,1,0.95,2.9,297,297,0,0
"월요일",02시~03시,0,0,4.4,0,0,0,0
"월요일",03시~04시,1,2.05,4.1,242,242,0,0
"월요일",04시~05시,1,1.93,4,286,286,0,0
"월요일",05시~06시,0,0,3.2,0,0,0,0
"월요일",06시~07시,2,1.3,3.6,204,407,0,0
"월요일",07시~08시,7,2.59,3.2,281,"1,969",0,0
"월요일",08시~09시,1,0.39,4,"1,089","1,089",1,"80,000"
"월요일",09시~10시,3,0.76,4,308,924,0,0
"월요일",10시~11시,4,0.93,4.1,457,"1,826",0,0
"월요일",11시~12시,10,2.16,3.9,448,"4,477",0,0
"월요일",12시~13시,1,0.29,4.1,440,440,0,0
"월요일",13시~14시,4,1,4.3,586,"2,343",0,0
"월요일",14시~15시,2,0.48,3.9,512,"1,023",0,0
"월요일",15시~16시,2,0.53,3.7,880,"1,760",0,0
"월요일",16시~17시,5,1.01,3.6,541,"2,706",1,"43,000"
"월요일",17시~18시,4,0.94,3.4,325,"1,298",0,0
"월요일",18시~19시,0,0,3.4,0,0,0,0
"월요일",19시~20시,10,2.3,3.3,631,"6,314",1,"81,000"
"월요일",20시~21시,6,1.4,3.6,370,"2,222",0,0
"월요일",21시~22시,8,1.91,3.5,506,"4,048",0,0
"월요일",22시~23시,5,1,3.2,768,"3,839",0,0
"월요일",23시~00시,3,1.03,3.7,722,"2,167",0,0
"화요일",00시~01시,0,0,3.5,0,0,0,0
"화요일",01시~02시,3,3.04,3.2,814,"2,442",1,"43,000"
"화요일",02시~03시,0,0,3.7,0,0,0,0
"화요일",03시~04시,0,0,4.6,0,0,0,0
"화요일",04시~05시,0,0,3.4,0,0,0,0
"화요일",05시~06시,1,1.57,2.8,924,924,0,0
"화요일",06시~07시,1,0.87,3.2,308,308,1,"42,000"
"화요일",07시~08시,1,0.81,3.7,"1,474","1,474",0,0
"화요일",08시~09시,1,0.76,3.9,198,198,0,0
"화요일",09시~10시,2,1.13,3.4,165,330,0,0
"화요일",10시~11시,6,2.52,3.6,750,"4,499",0,0
"화요일",11시~12시,2,1.05,4.5,897,"1,793",0,0
"화요일",12시~13시,0,0,4,0,0,0,0
"화요일",13시~14시,5,1.71,4,367,"1,837",1,"43,000"
"화요일",14시~15시,5,1.73,4,323,"1,617",0,0
"화요일",15시~16시,4,1.58,3.8,281,"1,122",0,0
"화요일",16시~17시,4,1.16,3.5,677,"2,706",0,0
"화요일",17시~18시,1,0.33,3.6,847,847,0,0
"화요일",18시~19시,0,0,3.4,0,0,0,0
"화요일",19시~20시,2,0.81,3.3,468,935,0,0
"화요일",20시~21시,3,0.95,3.3,693,"2,079",0,0
"화요일",21시~22시,2,0.58,3.5,259,517,1,"86,000"
"화요일",22시~23시,3,0.83,3.3,649,"1,947",0,0
"화요일",23시~00시,3,1.46,3.7,242,726,0,0
"수요일",00시~01시,3,1.93,3.7,737,"2,211",1,"81,000"
"수요일",01시~02시,0,0,3.7,0,0,0,0
"수요일",02시~03시,0,0,4.9,0,0,0,0
"수요일",03시~04시,0,0,4.7,0,0,0,0
"수요일",04시~05시,0,0,4.9,0,0,0,0
"수요일",05시~06시,0,0,3.3,0,0,0,0
"수요일",06시~07시,0,0,3.4,0,0,0,0
"수요일",07시~08시,2,1.1,3.8,374,748,1,"222,000"
"수요일",08시~09시,2,0.93,3.6,952,"1,903",0,0
"수요일",09시~10시,4,1.53,4.4,281,"1,122",1,"43,000"
"수요일",10시~11시,3,0.97,4.3,488,"1,463",0,0
"수요일",11시~12시,1,0.35,4.3,308,308,0,0
"수요일",12시~13시,6,2.41,3.9,369,"2,211",0,0
"수요일",13시~14시,1,0.34,4,"1,353","1,353",0,0
"수요일",14시~15시,1,0.36,4.2,330,330,0,0
"수요일",15시~16시,2,0.72,4,682,"1,364",0,0
"수요일",16시~17시,1,0.31,4,"1,595","1,595",0,0
"수요일",17시~18시,5,1.63,3.6,603,"3,014",0,0
