"요일별보고서(2025.06.01.~2025.06.30.),jungkiseo:naver"
"요일별",시간대별,클릭수,클릭률(%),평균노출순위,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
"월요일",00시~01시,4,0.46,2.8,374,"1,496",0,0
"월요일",01시~02시,2,0.42,2.9,297,594,0,0
"월요일",02시~03시,1,0.31,3.3,209,209,0,0
"월요일",03시~04시,0,0,2.9,0,0,0,0
"월요일",04시~05시,2,1.48,3.4,204,407,0,0
"월요일",05시~06시,1,0.4,2.2,99,99,0,0
"월요일",06시~07시,2,0.52,2.1,292,583,0,0
"월요일",07시~08시,5,0.56,2.4,469,"2,343",0,0
"월요일",08시~09시,3,0.29,2.3,297,891,0,0
"월요일",09시~10시,9,0.67,2.6,247,"2,222",0,0
"월요일",10시~11시,4,0.22,2.1,652,"2,607",1,"138,400"
"월요일",11시~12시,6,0.35,2.1,136,814,0,0
"월요일",12시~13시,7,0.49,2.3,460,"3,223",0,0
"월요일",13시~14시,6,0.3,2.2,336,"2,013",0,0
"월요일",14시~15시,9,0.41,2.2,319,"2,871",0,0
"월요일",15시~16시,11,0.49,2.2,171,"1,881",0,0
"월요일",16시~17시,14,0.66,2.2,193,"2,706",0,0
"월요일",17시~18시,7,0.42,2.2,171,"1,199",0,0
"월요일",18시~19시,2,0.16,2.3,330,660,0,0
"월요일",19시~20시,4,0.22,2,333,"1,331",0,0
"월요일",20시~21시,8,0.37,2.1,583,"4,664",0,0
"월요일",21시~22시,8,0.26,1.7,366,"2,926",0,0
"월요일",22시~23시,11,0.4,2,645,"7,095",0,0
"월요일",23시~00시,7,0.38,2.1,514,"3,597",0,0
"화요일",00시~01시,8,0.76,2.3,659,"5,269",0,0
"화요일",01시~02시,3,0.66,2.3,367,"1,100",0,0
"화요일",02시~03시,2,0.75,2.3,308,616,0,0
"화요일",03시~04시,0,0,2.4,0,0,0,0
"화요일",04시~05시,2,1.25,2.3,303,605,0,0
"화요일",05시~06시,0,0,1.9,0,0,0,0
