"요일별보고서(2025.06.01.~2025.06.30.),woods8592:naver"
"요일별",시간대별,클릭수,클릭률(%),평균노출순위,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
"월요일",00시~01시,1,0.53,1.8,77,77,0,0
"월요일",01시~02시,0,0,3.1,0,0,0,0
"월요일",02시~03시,0,0,2,0,0,0,0
"월요일",03시~04시,2,5.13,3,308,616,0,0
"월요일",04시~05시,0,0,2.1,0,0,0,0
"월요일",05시~06시,0,0,2.1,0,0,0,0
"월요일",06시~07시,2,0.85,1.9,413,825,0,0
"월요일",07시~08시,0,0,2.2,0,0,0,0
"월요일",08시~09시,0,0,1.8,0,0,0,0
"월요일",09시~10시,1,0.15,1.9,451,451,0,0
"월요일",10시~11시,1,0.14,2.1,682,682,0,0
"월요일",11시~12시,5,0.39,2.2,517,"2,585",0,0
"월요일",12시~13시,10,0.62,2.4,486,"4,862",0,0
"월요일",13시~14시,6,0.4,2,576,"3,454",0,0
"월요일",14시~15시,11,0.81,1.9,532,"5,852",0,0
"월요일",15시~16시,2,0.13,2,259,517,0,0
"월요일",16시~17시,9,0.53,2.2,505,"4,543",0,0
"월요일",17시~18시,8,0.41,1.9,520,"4,158",0,0
"월요일",18시~19시,4,0.23,2,536,"2,145",0,0
"월요일",19시~20시,7,0.46,2,594,"4,158",0,0
"월요일",20시~21시,8,0.57,1.9,615,"4,917",0,0
"월요일",21시~22시,15,1,1.9,552,"8,283",0,0
"월요일",22시~23시,6,0.3,1.9,433,"2,596",0,0
"월요일",23시~00시,3,0.17,1.9,488,"1,463",0,0
"화요일",00시~01시,2,0.21,1.9,523,"1,045",0,0
"화요일",01시~02시,3,0.54,2.2,521,"1,562",0,0
"화요일",02시~03시,3,0.72,2,634,"1,903",0,0
"화요일",03시~04시,1,0.34,2.1,693,693,0,0
"화요일",04시~05시,1,0.24,1.5,396,396,0,0
"화요일",05시~06시,2,0.34,1.4,501,"1,001",0,0
"화요일",06시~07시,1,0.13,1.3,495,495,0,0
"화요일",07시~08시,3,0.28,1.3,458,"1,375",0,0
"화요일",08시~09시,2,0.16,1.9,407,814,0,0
"화요일",09시~10시,4,0.17,1.5,633,"2,530",0,0
"화요일",10시~11시,4,0.32,1.8,509,"2,035",0,0
"화요일",11시~12시,3,0.22,2,550,"1,650",0,0
"화요일",12시~13시,5,0.39,2,612,"3,058",0,0
"화요일",13시~14시,4,0.33,2.1,635,"2,541",0,0
"화요일",14시~15시,8,0.71,2,542,"4,334",0,0
"화요일",15시~16시,3,0.26,2,484,"1,452",0,0
"화요일",16시~17시,6,0.42,2.1,455,"2,728",0,0
"화요일",17시~18시,7,0.42,2,503,"3,520",0,0
"화요일",18시~19시,9,0.53,2,486,"4,378",0,0
"화요일",19시~20시,7,0.4,1.9,421,"2,948",0,0
"화요일",20시~21시,9,0.59,2,524,"4,719",0,0
"화요일",21시~22시,3,0.22,1.8,473,"1,419",0,0
"화요일",22시~23시,8,0.4,1.7,518,"4,147",0,0
"화요일",23시~00시,3,0.18,1.6,455,"1,364",0,0
"수요일",00시~01시,3,0.22,1.9,407,"1,221",0,0
"수요일",01시~02시,1,0.12,1.9,583,583,0,0
"수요일",02시~03시,0,0,1.9,0,0,0,0
"수요일",03시~04시,1,0.29,1.8,396,396,0,0
"수요일",04시~05시,1,0.27,1.6,495,495,0,0
"수요일",05시~06시,0,0,1.4,0,0,0,0
"수요일",06시~07시,4,0.49,1.5,501,"2,002",0,0
"수요일",07시~08시,4,0.35,1.5,506,"2,024",0,0
"수요일",08시~09시,3,0.18,1.8,543,"1,628",0,0
"수요일",09시~10시,11,0.57,1.9,450,"4,950",0,0
"수요일",10시~11시,4,0.23,2.2,481,"1,925",0,0
"수요일",11시~12시,6,0.28,2.4,814,"4,884",0,0
"수요일",12시~13시,3,0.17,2.2,521,"1,562",0,0
"수요일",13시~14시,2,0.12,2.3,468,935,0,0
"수요일",14시~15시,3,0.19,2.3,506,"1,518",0,0
"수요일",15시~16시,4,0.26,2.3,492,"1,969",0,0
"수요일",16시~17시,1,0.08,2.3,495,495,0,0
"수요일",17시~18시,3,0.22,2.2,777,"2,332",0,0
"수요일",18시~19시,3,0.34,2.2,550,"1,650",0,0
"수요일",19시~20시,4,0.77,1.9,578,"2,310",0,0
"수요일",20시~21시,0,0,2.1,0,0,0,0
"수요일",21시~22시,1,0.19,1.9,143,143,0,0
"수요일",22시~23시,2,0.24,1.8,671,"1,342",0,0
