"요일별보고서(2025.06.01.~2025.06.30.),yonwshin:naver"
"요일별",시간대별,클릭수,클릭률(%),평균노출순위,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
"월요일",00시~01시,1,1.15,1.6,77,77,0,0
"월요일",01시~02시,1,1.82,1.8,297,297,0,0
"월요일",02시~03시,1,4.17,1.6,77,77,0,0
"월요일",03시~04시,0,0,1.9,0,0,0,0
"월요일",04시~05시,1,6.67,1.7,319,319,0,0
"월요일",05시~06시,0,0,1.7,0,0,0,0
"월요일",06시~07시,0,0,1.7,0,0,0,0
"월요일",07시~08시,1,1.97,1.6,352,352,0,0
"월요일",08시~09시,0,0,1.8,0,0,0,0
"월요일",09시~10시,0,0,1.7,0,0,0,0
"월요일",10시~11시,4,1.56,1.8,"2,747","10,989",0,0
"월요일",11시~12시,2,1.02,1.9,330,660,0,0
"월요일",12시~13시,6,3.32,1.9,649,"3,894",0,0
"월요일",13시~14시,6,2.78,1.6,"3,489","20,933",0,0
"월요일",14시~15시,3,1.09,1.9,"1,335","4,004",0,0
"월요일",15시~16시,1,0.42,1.8,352,352,0,0
"월요일",16시~17시,2,0.7,1.7,"5,352","10,703",0,0
"월요일",17시~18시,3,1.27,1.6,"2,754","8,261",0,0
"월요일",18시~19시,4,2.59,1.4,250,"1,001",0,0
"월요일",19시~20시,2,1.42,1.4,"5,753","11,506",0,0
"월요일",20시~21시,2,1.32,1.6,352,704,0,0
"월요일",21시~22시,6,3.25,1.4,"1,239","7,436",1,10
"월요일",22시~23시,7,4.03,1.4,"1,300","9,097",0,0
"월요일",23시~00시,1,0.8,1.4,77,77,0,0
"화요일",00시~01시,0,0,1.8,0,0,0,0
"화요일",01시~02시,1,1.73,1.6,330,330,0,0
"화요일",02시~03시,0,0,1.7,0,0,0,0
"화요일",03시~04시,0,0,1.8,0,0,0,0
"화요일",04시~05시,0,0,1.6,0,0,0,0
"화요일",05시~06시,0,0,2.2,0,0,0,0
"화요일",06시~07시,0,0,1.7,0,0,0,0
"화요일",07시~08시,0,0,1.7,0,0,0,0
"화요일",08시~09시,0,0,1.9,0,0,0,0
"화요일",09시~10시,2,1.46,1.9,"7,684","15,367",0,0
"화요일",10시~11시,1,0.82,2,"12,078","12,078",0,0
"화요일",11시~12시,0,0,2.1,0,0,0,0
"화요일",12시~13시,3,2.33,1.8,326,979,0,0
"화요일",13시~14시,2,1.2,2.1,"5,033","10,065",0,0
"화요일",14시~15시,3,1.88,1.9,275,825,0,0
"화요일",15시~16시,1,0.46,2,319,319,0,0
"화요일",16시~17시,6,3.07,1.8,"2,081","12,485",0,0
"화요일",17시~18시,4,2.8,1.6,"4,793","19,173",0,0
"화요일",18시~19시,3,2.95,1.7,"3,315","9,944",0,0
"화요일",19시~20시,4,4.45,1.2,212,847,0,0
"화요일",20시~21시,0,0,1.3,0,0,0,0
"화요일",21시~22시,3,2.57,1.5,"2,255","6,765",0,0
"화요일",22시~23시,1,0.87,1.3,308,308,0,0
"화요일",23시~00시,4,2.59,1.5,"1,826","7,304",0,0
"수요일",00시~01시,1,1.5,1.8,77,77,0,0
"수요일",01시~02시,1,1.89,2.2,330,330,0,0
"수요일",02시~03시,3,7.15,1.6,"4,316","12,947",1,10
"수요일",03시~04시,0,0,1.6,0,0,0,0
"수요일",04시~05시,1,6.67,1.9,77,77,0,0
"수요일",05시~06시,0,0,1.7,0,0,0,0
"수요일",06시~07시,1,3.58,1.9,330,330,0,0
"수요일",07시~08시,1,1.89,1.5,319,319,0,0
"수요일",08시~09시,1,1.29,1.7,330,330,0,0
"수요일",09시~10시,3,1.87,1.8,213,638,0,0
"수요일",10시~11시,3,1.93,1.9,187,561,0,0
"수요일",11시~12시,2,1.15,1.9,209,418,0,0
"수요일",12시~13시,3,1.92,2.2,"6,479","19,437",0,0
"수요일",13시~14시,2,1.06,1.7,165,330,0,0
"수요일",14시~15시,6,3.21,1.6,475,"2,849",0,0
"수요일",15시~16시,4,1.92,1.9,"4,232","16,929",0,0
"수요일",16시~17시,4,2,2,198,792,0,0
"수요일",17시~18시,4,2.21,1.5,"2,739","10,956",0,0
"수요일",18시~19시,4,2.74,1.3,"2,676","10,703",0,0
"수요일",19시~20시,7,6.61,1.3,269,"1,881",0,0
"수요일",20시~21시,1,0.92,1.4,110,110,0,0
"수요일",21시~22시,1,0.91,1.5,165,165,0,0
"수요일",22시~23시,4,2.99,1.6,"4,142","16,566",0,0
"수요일",23시~00시,2,2.16,1.4,"3,625","7,249",0,0
"목요일",00시~01시,1,1.97,1.9,319,319,0,0
"목요일",01시~02시,2,3.78,1.8,259,517,0,0
"목요일",02시~03시,0,0,1.8,0,0,0,0
"목요일",03시~04시,0,0,2,0,0,0,0
"목요일",04시~05시,1,4.55,1.4,319,319,0,0
"목요일",05시~06시,1,6.67,1.5,319,319,0,0
"목요일",06시~07시,0,0,1.4,0,0,0,0
"목요일",07시~08시,1,1.52,1.6,341,341,0,0
"목요일",08시~09시,1,1.03,1.6,341,341,0,0
"목요일",09시~10시,0,0,1.5,0,0,0,0
"목요일",10시~11시,2,1.13,1.7,"4,796","9,592",0,0
"목요일",11시~12시,6,3.53,1.5,"2,946","17,677",0,0
"목요일",12시~13시,6,4.09,1.4,"1,808","10,846",0,0
"목요일",13시~14시,1,0.44,1.6,"9,075","9,075",0,0
"목요일",14시~15시,5,2.77,1.8,"4,343","21,714",0,0
"목요일",15시~16시,3,1.58,1.9,"3,425","10,274",1,10
"목요일",16시~17시,3,1.65,1.5,"3,300","9,900",1,100
"목요일",17시~18시,2,1.35,1.6,"1,342","2,684",0,0
"목요일",18시~19시,1,0.87,1.3,165,165,0,0
"목요일",19시~20시,4,3.85,1.4,"2,043","8,173",0,0
"목요일",20시~21시,5,4.14,1.5,"3,005","15,026",0,0
"목요일",21시~22시,5,4.04,1.4,301,"1,507",0,0
"목요일",22시~23시,1,0.71,1.6,319,319,0,0
"목요일",23시~00시,2,2.11,1.3,248,495,0,0
"금요일",00시~01시,3,4.55,1.3,"2,526","7,579",0,0
"금요일",01시~02시,1,2.13,1.6,"8,151","8,151",0,0
"금요일",02시~03시,0,0,1.7,0,0,0,0
"금요일",03시~04시,1,5.56,1.6,341,341,0,0
"금요일",04시~05시,0,0,1.6,0,0,0,0
"금요일",05시~06시,1,11.12,1.6,319,319,0,0
"금요일",06시~07시,0,0,1.4,0,0,0,0
"금요일",07시~08시,2,3.13,1.7,"6,364","12,727",0,0
"금요일",08시~09시,0,0,1.7,0,0,0,0
"금요일",09시~10시,3,1.81,2,183,550,0,0
"금요일",10시~11시,2,1.14,1.7,"4,510","9,020",0,0
"금요일",11시~12시,2,1.21,1.6,242,484,0,0
"금요일",12시~13시,4,2.62,1.4,"3,570","14,278",0,0
"금요일",13시~14시,4,2.57,1.6,"1,249","4,994",1,100
"금요일",14시~15시,5,2.53,1.6,"4,937","24,684",0,0
"금요일",15시~16시,4,2.5,1.9,270,"1,078",0,0
"금요일",16시~17시,3,1.98,1.6,169,506,0,0
"금요일",17시~18시,3,2.19,1.5,"1,023","3,069",0,0
"금요일",18시~19시,8,7.08,1.3,"1,260","10,076",0,0
"금요일",19시~20시,1,0.96,1.4,319,319,0,0
"금요일",20시~21시,1,1,1.2,319,319,0,0
"금요일",21시~22시,4,3.51,1.4,297,"1,188",0,0
"금요일",22시~23시,2,1.6,1.4,259,517,0,0
"금요일",23시~00시,3,2.68,1.3,224,671,0,0
"토요일",00시~01시,1,1.7,1.6,319,319,0,0
"토요일",01시~02시,0,0,1.6,0,0,0,0
"토요일",02시~03시,0,0,1.8,0,0,0,0
"토요일",03시~04시,1,5,1.4,319,319,0,0
"토요일",04시~05시,0,0,1.5,0,0,0,0
"토요일",05시~06시,1,4.17,1.8,264,264,0,0
"토요일",06시~07시,0,0,1.7,0,0,0,0
"토요일",07시~08시,0,0,1.5,0,0,0,0
"토요일",08시~09시,0,0,1.4,0,0,0,0
"토요일",09시~10시,0,0,1.5,0,0,0,0
"토요일",10시~11시,1,0.99,1.5,341,341,0,0
"토요일",11시~12시,1,1.52,1.5,"7,601","7,601",0,0
"토요일",12시~13시,1,1.76,1.6,341,341,0,0
"토요일",13시~14시,3,3.75,1.7,334,"1,001",0,0
"토요일",14시~15시,1,1.02,1.7,319,319,0,0
"토요일",15시~16시,2,1.97,1.5,198,396,0,0
"토요일",16시~17시,3,2.71,1.4,"2,530","7,590",0,0
"토요일",17시~18시,1,1.02,1.4,77,77,0,0
"토요일",18시~19시,0,0,1.3,0,0,0,0
"토요일",19시~20시,3,3.2,1.4,279,836,0,0
"토요일",20시~21시,2,2.33,1.3,341,682,0,0
"토요일",21시~22시,2,2.28,1.3,330,660,0,0
"토요일",22시~23시,1,0.99,1.4,"10,648","10,648",0,0
"토요일",23시~00시,1,1.27,1.3,341,341,0,0
"일요일",00시~01시,0,0,1.8,0,0,0,0
"일요일",01시~02시,0,0,1.8,0,0,0,0
"일요일",02시~03시,2,5.72,1.7,330,660,0,0
"일요일",03시~04시,1,3.04,1.7,319,319,0,0
"일요일",04시~05시,1,6.25,1.8,616,616,0,0
"일요일",05시~06시,1,5.27,1.4,"9,713","9,713",0,0
"일요일",06시~07시,0,0,1.7,0,0,0,0
"일요일",07시~08시,1,2.09,1.6,341,341,0,0
"일요일",08시~09시,2,2.54,1.5,198,396,0,0
"일요일",09시~10시,1,1.14,1.8,352,352,0,0
"일요일",10시~11시,2,2.05,1.8,"10,956","21,912",0,0
"일요일",11시~12시,1,1,1.7,781,781,0,0
"일요일",12시~13시,2,2.13,1.8,"3,905","7,810",0,0
"일요일",13시~14시,3,2.81,1.5,290,869,0,0
"일요일",14시~15시,0,0,1.5,0,0,0,0
"일요일",15시~16시,2,1.48,1.8,220,440,0,0
"일요일",16시~17시,1,0.82,1.7,352,352,0,0
"일요일",17시~18시,3,2.5,1.5,275,825,0,0
"일요일",18시~19시,4,3.06,1.4,308,"1,232",0,0
"일요일",19시~20시,4,3.45,1.5,"3,281","13,123",0,0
"일요일",20시~21시,1,0.82,1.4,165,165,0,0
"일요일",21시~22시,7,3.96,1.3,338,"2,365",0,0
"일요일",22시~23시,2,1.23,1.4,253,506,0,0
"일요일",23시~00시,1,0.81,1.4,330,330,0,0
