"일별보고서(2025.03.31.~2025.06.30.),cpc1995:naver"
"일별",PC/모바일 매체,노출수,클릭수,클릭률(%),"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
2025.03.31.,PC,"16,164",21,0.13,309,"6,479",0,0
2025.03.31.,모바일,"39,387",132,0.34,268,"35,398",2,"38,000"
2025.04.01.,PC,"15,544",25,0.17,318,"7,953",0,0
2025.04.01.,모바일,"46,603",165,0.36,260,"42,966",3,"158,400"
2025.04.02.,PC,"14,571",26,0.18,266,"6,908",2,"133,000"
2025.04.02.,모바일,"37,534",166,0.45,262,"43,527",4,"129,200"
2025.04.03.,PC,"12,806",24,0.19,324,"7,766",4,"258,200"
2025.04.03.,모바일,"36,156",174,0.49,260,"45,221",0,0
2025.04.04.,PC,"11,359",23,0.21,333,"7,656",1,"19,000"
2025.04.04.,모바일,"32,265",150,0.47,288,"43,175",2,"34,200"
2025.04.05.,PC,"7,768",12,0.16,379,"4,543",0,0
2025.04.05.,모바일,"26,261",162,0.62,280,"45,430",1,"109,000"
2025.04.06.,PC,"8,972",11,0.13,280,"3,080",0,0
2025.04.06.,모바일,"33,919",145,0.43,267,"38,665",2,"166,000"
2025.04.07.,PC,"11,451",14,0.13,292,"4,081",2,"38,000"
2025.04.07.,모바일,"34,102",151,0.45,288,"43,527",4,"326,800"
2025.04.08.,PC,"10,564",21,0.2,348,"7,315",0,0
2025.04.08.,모바일,"30,635",149,0.49,299,"44,561",0,0
2025.04.09.,PC,"9,990",26,0.27,338,"8,800",0,0
2025.04.09.,모바일,"30,122",136,0.46,313,"42,625",3,"76,000"
2025.04.10.,PC,"10,398",15,0.15,352,"5,280",0,0
2025.04.10.,모바일,"32,505",164,0.51,275,"45,177",1,"19,000"
2025.04.11.,PC,"8,485",24,0.29,375,"8,998",0,0
2025.04.11.,모바일,"29,791",133,0.45,311,"41,371",3,"95,000"
2025.04.12.,PC,"6,269",7,0.12,399,"2,794",0,0
2025.04.12.,모바일,"28,448",153,0.54,317,"48,477",0,0
2025.04.13.,PC,"6,361",13,0.21,295,"3,839",0,0
2025.04.13.,모바일,"29,680",152,0.52,313,"47,520",1,"19,000"
2025.04.14.,PC,"9,166",23,0.26,317,"7,282",0,0
2025.04.14.,모바일,"28,751",127,0.45,298,"37,895",0,0
2025.04.15.,PC,"8,564",23,0.27,374,"8,591",0,0
2025.04.15.,모바일,"31,173",143,0.46,307,"43,967",0,0
2025.04.16.,PC,"7,801",28,0.36,370,"10,351",1,"109,000"
2025.04.16.,모바일,"32,618",131,0.41,298,"39,017",1,"19,000"
2025.04.17.,PC,"6,726",23,0.35,324,"7,447",0,0
2025.04.17.,모바일,"32,618",152,0.47,311,"47,245",1,"109,000"
2025.04.18.,PC,"7,010",15,0.22,303,"4,543",1,"19,000"
2025.04.18.,모바일,"34,177",174,0.51,273,"47,553",1,"109,000"
2025.04.19.,PC,"5,055",12,0.24,271,"3,256",2,"38,000"
2025.04.19.,모바일,"32,935",172,0.53,281,"48,389",3,"294,000"
2025.04.20.,PC,"5,781",12,0.21,324,"3,883",2,"147,000"
2025.04.20.,모바일,"33,654",174,0.52,256,"44,594",2,"71,000"
2025.04.21.,PC,"17,203",15,0.09,332,"4,983",0,0
2025.04.21.,모바일,"35,826",170,0.48,265,"45,045",2,"147,000"
2025.04.22.,PC,"17,781",26,0.15,331,"8,602",0,0
2025.04.22.,모바일,"32,964",148,0.45,290,"42,867",3,"57,000"
2025.04.23.,PC,"16,460",22,0.14,341,"7,491",1,"38,000"
2025.04.23.,모바일,"32,177",144,0.45,323,"46,574",1,"38,000"
2025.04.24.,PC,"13,337",23,0.18,254,"5,841",3,"95,000"
2025.04.24.,모바일,"28,810",148,0.52,312,"46,112",2,"128,000"
2025.04.25.,PC,"13,283",20,0.16,283,"5,665",1,"19,000"
2025.04.25.,모바일,"33,087",147,0.45,293,"43,010",3,"57,000"
2025.04.26.,PC,"3,829",8,0.21,331,"2,651",1,"38,000"
2025.04.26.,모바일,"22,633",150,0.67,323,"48,477",1,"19,000"
2025.04.27.,PC,"4,236",9,0.22,352,"3,168",0,0
2025.04.27.,모바일,"27,840",140,0.51,328,"45,947",0,0
2025.04.28.,PC,"9,489",15,0.16,270,"4,048",0,0
2025.04.28.,모바일,"32,312",135,0.42,307,"41,404",1,"19,000"
2025.04.29.,PC,"8,242",13,0.16,382,"4,972",0,0
2025.04.29.,모바일,"27,934",144,0.52,331,"47,685",1,"19,000"
2025.04.30.,PC,"6,179",17,0.28,336,"5,709",0,0
2025.04.30.,모바일,"28,519",151,0.53,310,"46,849",0,0
2025.05.01.,PC,"3,895",10,0.26,372,"3,718",0,0
2025.05.01.,모바일,"21,663",152,0.71,311,"47,278",1,"19,000"
2025.05.02.,PC,"4,575",17,0.38,351,"5,962",0,0
2025.05.02.,모바일,"25,769",155,0.61,305,"47,223",1,"114,000"
2025.05.03.,PC,"4,645",10,0.22,233,"2,332",1,"19,000"
2025.05.03.,모바일,"34,265",183,0.54,262,"47,905",1,"19,000"
2025.05.04.,PC,"4,979",8,0.17,330,"2,640",0,0
2025.05.04.,모바일,"39,964",220,0.56,205,"45,122",1,"38,000"
2025.05.05.,PC,"4,641",8,0.18,353,"2,827",1,"109,000"
2025.05.05.,모바일,"34,836",195,0.56,232,"45,331",0,0
