"일별보고서(2025.03.31.~2025.06.30.),hpr2766:naver"
"일별",PC/모바일 매체,노출수,클릭수,클릭률(%),"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
2025.03.31.,PC,"4,896",27,0.56,"1,199","32,362",33,"2,918,010"
2025.03.31.,모바일,"974,096",218,0.03,"1,535","334,554",4,0
2025.04.01.,PC,"5,299",45,0.85,"1,373","61,765",6,"1,953,300"
2025.04.01.,모바일,"1,116,254",218,0.02,"1,494","325,677",9,"425,300"
2025.04.02.,PC,"4,677",32,0.69,"1,687","53,988",23,"966,200"
2025.04.02.,모바일,"1,047,989",208,0.02,"1,607","334,257",0,0
2025.04.03.,PC,"5,031",38,0.76,"1,547","58,795",2,0
2025.04.03.,모바일,"911,667",211,0.03,"1,559","329,021",1,"294,800"
2025.04.04.,PC,"4,278",24,0.57,"1,120","26,884",0,0
2025.04.04.,모바일,"984,117",204,0.03,"1,514","308,946",0,0
2025.04.05.,PC,"1,320",13,0.99,"1,537","19,987",4,0
2025.04.05.,모바일,"840,140",204,0.03,"1,760","359,095",1,0
2025.04.06.,PC,523,3,0.58,418,"1,254",0,0
2025.04.06.,모바일,"69,613",80,0.12,897,"71,797",1,"18,040"
2025.04.07.,PC,"4,361",41,0.95,"1,180","48,389",8,0
2025.04.07.,모바일,"836,518",201,0.03,"1,579","317,427",31,"2,278,800"
2025.04.08.,PC,"4,537",35,0.78,"1,134","39,699",1,0
2025.04.08.,모바일,"795,577",199,0.03,"1,444","287,320",0,0
2025.04.09.,PC,"5,138",42,0.82,"1,639","68,849",4,"133,600"
2025.04.09.,모바일,"1,176,366",280,0.03,"1,510","422,895",0,0
2025.04.10.,PC,"5,137",41,0.8,"1,599","65,560",0,0
2025.04.10.,모바일,"1,282,214",293,0.03,"1,522","445,907",1,100
2025.04.11.,PC,"5,679",33,0.59,"1,549","51,128",0,0
2025.04.11.,모바일,"1,205,893",279,0.03,"1,596","445,247",1,"2,970"
2025.04.12.,PC,"2,359",11,0.47,"1,693","18,623",0,0
2025.04.12.,모바일,"1,389,117",303,0.03,"1,670","506,143",0,0
2025.04.13.,PC,"2,121",15,0.71,"1,257","18,854",1,0
2025.04.13.,모바일,"1,464,749",280,0.02,"1,632","456,962",0,0
2025.04.14.,PC,"6,319",41,0.65,"1,827","74,888",2,"496,400"
2025.04.14.,모바일,"1,317,486",277,0.03,"1,577","436,909",3,"1,109,200"
2025.04.15.,PC,"6,390",42,0.66,"1,248","52,404",1,"667,800"
2025.04.15.,모바일,"1,281,420",285,0.03,"1,546","440,605",5,"744,100"
2025.04.16.,PC,"6,171",45,0.73,"1,241","55,836",19,0
2025.04.16.,모바일,"1,023,389",275,0.03,"1,530","420,662",0,0
2025.04.17.,PC,"5,862",52,0.89,"2,049","106,557",0,0
2025.04.17.,모바일,"1,033,854",276,0.03,"1,591","439,043",0,0
2025.04.18.,PC,"5,619",28,0.5,"2,304","64,515",5,"772,900"
2025.04.18.,모바일,"1,091,780",296,0.03,"1,725","510,620",0,0
2025.04.19.,PC,"2,345",16,0.69,"1,014","16,225",0,0
2025.04.19.,모바일,"1,082,598",297,0.03,"1,627","483,164",1,"118,800"
2025.04.20.,PC,532,6,1.13,"2,877","17,259",0,0
2025.04.20.,모바일,"97,241",85,0.09,758,"64,460",1,0
2025.04.21.,PC,"5,807",52,0.9,"2,011","104,555",6,"130,200"
2025.04.21.,모바일,"1,177,782",275,0.03,"1,605","441,320",0,0
2025.04.22.,PC,"6,213",42,0.68,"2,520","105,820",0,0
2025.04.22.,모바일,"1,057,802",292,0.03,"1,632","476,465",0,0
2025.04.23.,PC,"6,759",49,0.73,"2,058","100,848",4,"445,200"
2025.04.23.,모바일,"1,305,847",249,0.02,"1,801","448,514",0,0
2025.04.24.,PC,"5,051",56,1.11,"1,631","91,355",1,0
2025.04.24.,모바일,"1,408,860",272,0.02,"1,711","465,432",1,0
2025.04.25.,PC,"5,245",59,1.13,"1,933","114,026",3,0
2025.04.25.,모바일,"1,364,678",281,0.03,"1,593","447,656",0,0
2025.04.26.,PC,"3,106",27,0.87,"2,086","56,320",2,0
2025.04.26.,모바일,"1,242,918",282,0.03,"1,659","467,896",0,0
2025.04.27.,PC,942,12,1.28,454,"5,445",0,0
2025.04.27.,모바일,"134,959",93,0.07,709,"65,934",0,0
2025.04.28.,PC,"4,840",71,1.47,"1,912","135,773",2,0
2025.04.28.,모바일,"1,002,071",256,0.03,"1,751","448,184",0,0
2025.04.29.,PC,"5,050",45,0.9,"1,931","86,911",23,"2,468,900"
2025.04.29.,모바일,"1,397,275",266,0.02,"1,642","436,755",2,0
2025.04.30.,PC,"4,185",37,0.89,"2,023","74,833",21,0
2025.04.30.,모바일,"1,209,697",286,0.03,"1,673","478,357",0,0
2025.05.01.,PC,"3,405",24,0.71,"2,156","51,733",0,0
2025.05.01.,모바일,"1,313,571",290,0.03,"1,586","459,899",0,0
2025.05.02.,PC,"4,580",40,0.88,"2,936","117,458",4,"258,900"
2025.05.02.,모바일,"1,341,106",281,0.03,"1,668","468,842",0,0
2025.05.03.,PC,"3,594",17,0.48,"2,368","40,260",2,0
2025.05.03.,모바일,"1,529,880",300,0.02,"1,553","465,861",0,0
2025.05.04.,PC,926,11,1.19,"1,239","13,629",1,"2,468,900"
2025.05.04.,모바일,"137,197",88,0.07,813,"71,544",1,"697,200"
2025.05.05.,PC,"4,617",8,0.18,"1,892","15,136",0,0
2025.05.05.,모바일,"1,510,752",318,0.03,"1,507","479,215",0,0
2025.05.06.,PC,"4,444",10,0.23,"1,947","19,470",1,0
2025.05.06.,모바일,"1,456,099",349,0.03,"1,433","500,214",1,0
2025.05.07.,PC,"7,139",52,0.73,"2,203","114,576",10,"1,998,040"
2025.05.07.,모바일,"1,414,865",291,0.03,"1,532","445,852",2,"109,700"
2025.05.08.,PC,"6,232",50,0.81,"1,616","80,806",0,0
2025.05.08.,모바일,"1,508,563",281,0.02,"1,640","460,724",3,0
2025.05.09.,PC,"4,476",50,1.12,"1,811","90,574",1,"23,980"
2025.05.09.,모바일,"1,085,884",283,0.03,"1,595","451,407",0,0
2025.05.10.,PC,"2,734",27,0.99,"2,064","55,726",37,"524,950"
2025.05.10.,모바일,"1,294,756",280,0.03,"1,692","473,704",0,0
2025.05.11.,PC,789,9,1.15,"1,194","10,747",3,0
2025.05.11.,모바일,"136,198",91,0.07,797,"72,501",2,0
2025.05.12.,PC,"4,980",55,1.11,"2,187","120,307",29,"1,512,010"
2025.05.12.,모바일,"1,402,897",268,0.02,"1,697","454,707",0,0
2025.05.13.,PC,"5,318",57,1.08,"1,497","85,316",9,"347,600"
2025.05.13.,모바일,"1,281,978",261,0.03,"1,734","452,584",0,0
