"일별보고서(2025.03.31.~2025.06.30.),jse31141:naver"
"일별",PC/모바일 매체,노출수,클릭수,클릭률(%),"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
2025.03.31.,PC,"1,608",25,1.56,836,"20,889",0,0
2025.03.31.,모바일,"52,331",76,0.15,241,"18,348",0,0
2025.04.01.,PC,922,20,2.17,806,"16,115",1,100
2025.04.01.,모바일,"67,226",81,0.13,305,"24,673",0,0
2025.04.02.,PC,"1,304",20,1.54,369,"7,370",0,0
2025.04.02.,모바일,"64,182",46,0.08,443,"20,383",0,0
2025.04.03.,PC,"1,733",25,1.45,666,"16,654",0,0
2025.04.03.,모바일,"55,650",65,0.12,329,"21,417",0,0
2025.04.04.,PC,"2,140",20,0.94,376,"7,524",0,0
2025.04.04.,모바일,"49,177",58,0.12,351,"20,361",0,0
2025.04.05.,PC,96,1,1.05,121,121,0,0
2025.04.05.,모바일,111,2,1.81,116,231,0,0
2025.04.06.,PC,97,1,1.04,539,539,0,0
2025.04.06.,모바일,73,4,5.48,297,"1,188",0,0
2025.04.07.,PC,"1,172",15,1.28,386,"5,786",0,0
2025.04.07.,모바일,"44,007",39,0.09,479,"18,678",0,0
2025.04.08.,PC,809,23,2.85,739,"17,006",0,0
2025.04.08.,모바일,"54,865",51,0.1,387,"19,756",0,0
2025.04.09.,PC,"1,525",28,1.84,846,"23,694",0,0
2025.04.09.,모바일,"75,692",76,0.11,365,"27,742",0,0
2025.04.10.,PC,"2,461",40,1.63,594,"23,760",0,0
2025.04.10.,모바일,"54,670",67,0.13,304,"20,339",0,0
2025.04.11.,PC,"1,720",24,1.4,614,"14,729",0,0
2025.04.11.,모바일,"53,297",49,0.1,404,"19,800",0,0
2025.04.12.,PC,71,4,5.64,415,"1,661",0,0
2025.04.12.,모바일,74,2,2.71,495,990,0,0
2025.04.13.,PC,84,1,1.2,528,528,0,0
2025.04.13.,모바일,142,7,4.93,475,"3,322",0,0
2025.04.14.,PC,937,19,2.03,715,"13,585",0,0
2025.04.14.,모바일,"85,559",62,0.08,372,"23,056",0,0
2025.04.15.,PC,716,19,2.66,"1,329","25,256",0,0
2025.04.15.,모바일,"70,197",54,0.08,240,"12,980",0,0
2025.04.16.,PC,622,23,3.7,"1,014","23,320",0,0
2025.04.16.,모바일,"54,267",60,0.12,418,"25,069",0,0
2025.04.17.,PC,820,25,3.05,424,"10,604",0,0
2025.04.17.,모바일,"51,739",50,0.1,422,"21,076",0,0
2025.04.18.,PC,832,28,3.37,715,"20,031",1,100
2025.04.18.,모바일,"70,569",42,0.06,384,"16,126",0,0
2025.04.19.,PC,77,3,3.9,458,"1,375",0,0
2025.04.19.,모바일,128,3,2.35,656,"1,969",0,0
2025.04.20.,PC,76,0,0,0,0,0,0
2025.04.20.,모바일,109,2,1.84,396,792,0,0
