"파워링크보고서(2025.06.01.~2025.06.30.),dlolabs2:naver"
"캠페인유형",캠페인,광고그룹,키워드,PC/모바일 매체,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위,방문당 평균페이지뷰,방문당 평균체류시간(초),전환수,전환매출액(원)
"파워링크",★ 자사명키워드,자사명키워드 001 (기존 사용중이던 키워드) - PC,-,PC,8,0,0,0,1.6,0,0,0,0
"파워링크",★ 자사명키워드,자사명키워드 001 (기존 사용중이던 키워드) - PC,DLO,PC,102,0,0,0,2.1,0,0,0,0
"파워링크",★ 자사명키워드,자사명키워드 001 (기존 사용중이던 키워드) - PC,DLO비타민,PC,3,0,0,0,1.7,0,0,0,0
"파워링크",★ 자사명키워드,자사명키워드 001 (기존 사용중이던 키워드) - PC,디엘오,PC,42,7,60,418,2.9,1.5,4.13,1,"49,500"
"파워링크",★ 자사명키워드,자사명키워드 001 (기존 사용중이던 키워드) - PC,디엘오랩스,PC,2,0,0,0,1,0,0,0,0
"파워링크",★ 자사명키워드,자사명키워드 001 (기존 사용중이던 키워드) - PC,디엘오릴렉스팩,PC,17,0,0,0,1.8,0,0,0,0
"파워링크",★ 자사명키워드,자사명키워드 001 (기존 사용중이던 키워드) - PC,디엘오영양제,PC,1,0,0,0,3,0,0,0,0
"파워링크",★ 자사명키워드,자사명키워드 001 (기존 사용중이던 키워드) - PC,디엘오코어팩,PC,53,3,59,176,2.3,1,0,0,0
"파워링크",★ 자사명키워드,자사명키워드 001 (기존 사용중이던 키워드) - PC,디엘오코어팩2.1,PC,1,0,0,0,1,0,0,0,0
"파워링크",★ 자사명키워드,자사명키워드 001 (기존 사용중이던 키워드) - PC,디엘오코어팩후기,PC,1,0,0,0,1,0,0,0,0
"파워링크",★ 자사명키워드,자사명키워드 002 - PC,-,PC,13,1,77,77,6.9,1,0,0,0
"파워링크",★ 자사명키워드,자사명키워드 003 - PC,-,PC,9,0,0,0,5.6,0,0,0,0
"파워링크",★ 자사명키워드,자사명키워드 004 - PC,-,PC,4,0,0,0,1.5,0,0,0,0
"파워링크",★ 자사명키워드,자사명키워드 001 (기존 사용중이던 키워드) - MO,-,모바일,31,2,77,154,1.5,2,5.25,0,0
"파워링크",★ 자사명키워드,자사명키워드 001 (기존 사용중이던 키워드) - MO,DLO,모바일,332,0,0,0,1.9,0,0,0,0
"파워링크",★ 자사명키워드,자사명키워드 001 (기존 사용중이던 키워드) - MO,DLO영양제,모바일,1,0,0,0,2,0,0,0,0
"파워링크",★ 자사명키워드,자사명키워드 001 (기존 사용중이던 키워드) - MO,디엘오,모바일,134,22,55,"1,210",2,1.82,19.59,1,"48,500"
"파워링크",★ 자사명키워드,자사명키워드 001 (기존 사용중이던 키워드) - MO,디엘오내돈내산,모바일,1,0,0,0,1,0,0,0,0
"파워링크",★ 자사명키워드,자사명키워드 001 (기존 사용중이던 키워드) - MO,디엘오랩스,모바일,7,1,77,77,1,1,0,0,0
"파워링크",★ 자사명키워드,자사명키워드 001 (기존 사용중이던 키워드) - MO,디엘오릴렉스팩,모바일,14,0,0,0,2.1,0,0,0,0
"파워링크",★ 자사명키워드,자사명키워드 001 (기존 사용중이던 키워드) - MO,디엘오코어팩,모바일,207,25,71,"1,771",1.8,1.47,21.03,1,"54,000"
"파워링크",★ 자사명키워드,자사명키워드 001 (기존 사용중이던 키워드) - MO,디엘오코어팩2.0,모바일,1,0,0,0,2,0,0,0,0
"파워링크",★ 자사명키워드,자사명키워드 001 (기존 사용중이던 키워드) - MO,디엘오코어팩2.1,모바일,10,0,0,0,1,0,0,0,0
"파워링크",★ 자사명키워드,자사명키워드 001 (기존 사용중이던 키워드) - MO,릴렉스,모바일,189,0,0,0,4.1,0,0,0,0
"파워링크",★ 자사명키워드,자사명키워드 001 (기존 사용중이던 키워드) - MO,릴렉스팩,모바일,11,1,66,66,1.9,1,0,0,0
"파워링크",★ 자사명키워드,자사명키워드 001 (기존 사용중이던 키워드) - MO,코어,모바일,18,0,0,0,8.7,0,0,0,0
"파워링크",★ 자사명키워드,자사명키워드 001 (기존 사용중이던 키워드) - MO,코어팩,모바일,33,0,0,0,1.5,0,0,0,0
"파워링크",★ 자사명키워드,자사명키워드 002 - MO,-,모바일,16,0,0,0,4.4,0,0,0,0
"파워링크",★ 자사명키워드,자사명키워드 002 - MO,DLO20대여성종합비타민추천,모바일,2,0,0,0,4,0,0,0,0
"파워링크",★ 자사명키워드,자사명키워드 002 - MO,DLO30대멀티비타민선물,모바일,4,0,0,0,3.8,0,0,0,0
"파워링크",★ 자사명키워드,자사명키워드 002 - MO,DLO여자종합비타민추천,모바일,3,0,0,0,2.7,0,0,0,0
"파워링크",★ 자사명키워드,자사명키워드 002 - MO,DLO영양제배달선물,모바일,2,0,0,0,3,0,0,0,0
"파워링크",★ 자사명키워드,자사명키워드 003 - MO,-,모바일,66,1,77,77,3.7,1,0,0,0
"파워링크",★ 자사명키워드,자사명키워드 003 - MO,디엘오20대여성멀티비타민선물,모바일,5,0,0,0,3,0,0,0,0
"파워링크",★ 자사명키워드,자사명키워드 003 - MO,디엘오20대필수영양제선물,모바일,6,0,0,0,3.3,0,0,0,0
"파워링크",★ 자사명키워드,자사명키워드 003 - MO,디엘오남자올인원영양제추천,모바일,6,0,0,0,2.7,0,0,0,0
"파워링크",★ 자사명키워드,자사명키워드 003 - MO,디엘오비타민B군결핍,모바일,4,0,0,0,3.8,0,0,0,0
"파워링크",★ 자사명키워드,자사명키워드 003 - MO,디엘오비타민C아연,모바일,5,0,0,0,3.2,0,0,0,0
"파워링크",★ 자사명키워드,자사명키워드 003 - MO,디엘오비타민비군추천,모바일,7,0,0,0,2.9,0,0,0,0
"파워링크",★ 자사명키워드,자사명키워드 003 - MO,디엘오비타민비누가격,모바일,4,0,0,0,3.3,0,0,0,0
"파워링크",★ 자사명키워드,자사명키워드 004 - MO,-,모바일,2,0,0,0,1.5,0,0,0,0
"파워링크",★ 자사명키워드,자사명키워드 004 - MO,디엘오비타민영양제,모바일,8,0,0,0,3.1,0,0,0,0
"파워링크",★ 자사명키워드,자사명키워드 004 - MO,디엘오비타민팩추천,모바일,2,0,0,0,1.5,0,0,0,0
"파워링크",★ 자사명키워드,자사명키워드 004 - MO,디엘오비타민한팩가격,모바일,1,0,0,0,4,0,0,0,0
"파워링크",★ 자사명키워드,자사명키워드 004 - MO,디엘오여성영양제업체,모바일,8,0,0,0,2.8,0,0,0,0
"파워링크",★ 자사명키워드,자사명키워드 004 - MO,디엘오여성피로회복영양제,모바일,6,0,0,0,3.2,0,0,0,0
"파워링크",★ 자사명키워드,자사명키워드 004 - MO,디엘오여성피로회복영양제업체,모바일,1,0,0,0,4,0,0,0,0
"파워링크",★ 자사명키워드,자사명키워드 004 - MO,디엘오영양제정기구독가격,모바일,4,0,0,0,2.8,0,0,0,0
"파워링크",★ 자사명키워드,자사명키워드 004 - MO,디엘오원데이팩추천,모바일,2,0,0,0,4,0,0,0,0
"파워링크",★ 자사명키워드,자사명키워드 004 - MO,디엘오한팩영양제추천,모바일,3,1,77,77,4,1,0,0,0
"파워링크",★ 경쟁사 키워드,"경쟁사명, 경쟁사제품명 001 - PC",-,PC,8,0,0,0,2,0,0,0,0
"파워링크",★ 경쟁사 키워드,"경쟁사명, 경쟁사제품명 001 - PC",21STCENTURY비타민,PC,1,0,0,0,1,0,0,0,0
"파워링크",★ 경쟁사 키워드,"경쟁사명, 경쟁사제품명 001 - PC",21STCENTURY영양제,PC,12,0,0,0,1.9,0,0,0,0
"파워링크",★ 경쟁사 키워드,"경쟁사명, 경쟁사제품명 001 - PC",21세기비타민,PC,2,0,0,0,2.5,0,0,0,0
"파워링크",★ 경쟁사 키워드,"경쟁사명, 경쟁사제품명 001 - PC",21세기영양제,PC,3,0,0,0,1.7,0,0,0,0
"파워링크",★ 경쟁사 키워드,"경쟁사명, 경쟁사제품명 001 - PC",NATURESBOUNTY비타민,PC,1,0,0,0,2,0,0,0,0
"파워링크",★ 경쟁사 키워드,"경쟁사명, 경쟁사제품명 001 - PC",THORNE멀티비타민,PC,4,0,0,0,2,0,0,0,0
"파워링크",★ 경쟁사 키워드,"경쟁사명, 경쟁사제품명 001 - PC",THORNE비타민,PC,134,0,0,0,1.9,0,0,0,0
"파워링크",★ 경쟁사 키워드,"경쟁사명, 경쟁사제품명 001 - PC",THORNE영양제,PC,17,0,0,0,1.4,0,0,0,0
"파워링크",★ 경쟁사 키워드,"경쟁사명, 경쟁사제품명 001 - PC",나우L아르기닌,PC,5,0,0,0,2.8,0,0,0,0
"파워링크",★ 경쟁사 키워드,"경쟁사명, 경쟁사제품명 001 - PC",나우마카,PC,48,0,0,0,4,0,0,0,0
"파워링크",★ 경쟁사 키워드,"경쟁사명, 경쟁사제품명 001 - PC",나우맥주효모,PC,7,0,0,0,2,0,0,0,0
"파워링크",★ 경쟁사 키워드,"경쟁사명, 경쟁사제품명 001 - PC",나우멀티비타민,PC,4,0,0,0,3,0,0,0,0
"파워링크",★ 경쟁사 키워드,"경쟁사명, 경쟁사제품명 001 - PC",나우스포츠아르기닌,PC,11,0,0,0,4,0,0,0,0
"파워링크",★ 경쟁사 키워드,"경쟁사명, 경쟁사제품명 001 - PC",나우아르기닌,PC,132,0,0,0,8.9,0,0,0,0
"파워링크",★ 경쟁사 키워드,"경쟁사명, 경쟁사제품명 001 - PC",나우엘아르기닌,PC,1,0,0,0,4,0,0,0,0
"파워링크",★ 경쟁사 키워드,"경쟁사명, 경쟁사제품명 001 - PC",나우오메가3,PC,6,0,0,0,3,0,0,0,0
"파워링크",★ 경쟁사 키워드,"경쟁사명, 경쟁사제품명 001 - PC",나우폴리코사놀,PC,13,0,0,0,2.2,0,0,0,0
"파워링크",★ 경쟁사 키워드,"경쟁사명, 경쟁사제품명 001 - PC",나우푸드L-아르기닌,PC,4,0,0,0,1.8,0,0,0,0
"파워링크",★ 경쟁사 키워드,"경쟁사명, 경쟁사제품명 001 - PC",나우푸드글루타민,PC,32,0,0,0,2.9,0,0,0,0
"파워링크",★ 경쟁사 키워드,"경쟁사명, 경쟁사제품명 001 - PC",나우푸드레시틴,PC,8,0,0,0,3.3,0,0,0,0
"파워링크",★ 경쟁사 키워드,"경쟁사명, 경쟁사제품명 001 - PC",나우푸드맥주효모,PC,81,0,0,0,4.3,0,0,0,0
"파워링크",★ 경쟁사 키워드,"경쟁사명, 경쟁사제품명 001 - PC",나우푸드멀티비타민,PC,82,0,0,0,2.1,0,0,0,0
"파워링크",★ 경쟁사 키워드,"경쟁사명, 경쟁사제품명 001 - PC",나우푸드베타글루칸,PC,69,0,0,0,4,0,0,0,0
"파워링크",★ 경쟁사 키워드,"경쟁사명, 경쟁사제품명 001 - PC",나우푸드비타민,PC,11,0,0,0,1.7,0,0,0,0
"파워링크",★ 경쟁사 키워드,"경쟁사명, 경쟁사제품명 001 - PC",나우푸드실리마린,PC,119,0,0,0,6.8,0,0,0,0
"파워링크",★ 경쟁사 키워드,"경쟁사명, 경쟁사제품명 001 - PC",나우푸드실리마린밀크시슬,PC,1,0,0,0,5,0,0,0,0
"파워링크",★ 경쟁사 키워드,"경쟁사명, 경쟁사제품명 001 - PC",나우푸드실리마린밀크씨슬,PC,3,0,0,0,1,0,0,0,0
"파워링크",★ 경쟁사 키워드,"경쟁사명, 경쟁사제품명 001 - PC",나우푸드엘시스테인,PC,15,0,0,0,2.9,0,0,0,0
"파워링크",★ 경쟁사 키워드,"경쟁사명, 경쟁사제품명 001 - PC",나우푸드종합비타민,PC,48,0,0,0,3.5,0,0,0,0
"파워링크",★ 경쟁사 키워드,"경쟁사명, 경쟁사제품명 001 - PC",나우푸드폴리코사놀,PC,3,0,0,0,3,0,0,0,0
"파워링크",★ 경쟁사 키워드,"경쟁사명, 경쟁사제품명 001 - PC",나우푸드피크노제놀,PC,108,0,0,0,3,0,0,0,0
"파워링크",★ 경쟁사 키워드,"경쟁사명, 경쟁사제품명 001 - PC",나우푸드히알루론산,PC,8,0,0,0,2.6,0,0,0,0
"파워링크",★ 경쟁사 키워드,"경쟁사명, 경쟁사제품명 001 - PC",나트롤비오틴,PC,27,0,0,0,2.1,0,0,0,0
"파워링크",★ 경쟁사 키워드,"경쟁사명, 경쟁사제품명 001 - PC",나트롤비오틴10000,PC,2,0,0,0,2.5,0,0,0,0
"파워링크",★ 경쟁사 키워드,"경쟁사명, 경쟁사제품명 001 - PC",나트롤비타민,PC,3,0,0,0,2,0,0,0,0
"파워링크",★ 경쟁사 키워드,"경쟁사명, 경쟁사제품명 001 - PC",나트롤영양제,PC,2,0,0,0,3,0,0,0,0
"파워링크",★ 경쟁사 키워드,"경쟁사명, 경쟁사제품명 001 - PC",내츄럴비타민,PC,1,0,0,0,3,0,0,0,0
"파워링크",★ 경쟁사 키워드,"경쟁사명, 경쟁사제품명 001 - PC",내츄럴플러스밀크씨슬,PC,4,0,0,0,2.8,0,0,0,0
"파워링크",★ 경쟁사 키워드,"경쟁사명, 경쟁사제품명 001 - PC",노르딕비타민,PC,3,0,0,0,3.3,0,0,0,0
"파워링크",★ 경쟁사 키워드,"경쟁사명, 경쟁사제품명 001 - PC",노르딕영양제,PC,1,0,0,0,2,0,0,0,0
"파워링크",★ 경쟁사 키워드,"경쟁사명, 경쟁사제품명 001 - PC",노르딕오메가,PC,23,0,0,0,3.7,0,0,0,0
"파워링크",★ 경쟁사 키워드,"경쟁사명, 경쟁사제품명 001 - PC",뉴스킨아이케어,PC,1,0,0,0,1,0,0,0,0
