"파워링크보고서(2025.06.01.~2025.06.30.),hpr2766:naver"
"캠페인유형",캠페인,광고그룹,키워드,PC/모바일 매체,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위,방문당 평균페이지뷰,방문당 평균체류시간(초),전환수,전환매출액(원)
"파워링크",공통광고 M,008. hpr21,-,모바일,"1,665",3,238,715,2.8,0,0,0,0
"파워링크",공통광고 M,008. hpr21,HPR,모바일,79,0,0,0,2.8,0,0,0,0
"파워링크",공통광고 M,008. hpr21,경량랙,모바일,32,0,0,0,18.2,0,0,0,0
"파워링크",공통광고 M,008. hpr21,선반,모바일,39,0,0,0,18.1,0,0,0,0
"파워링크",공통광고 M,008. hpr21,선반렉,모바일,11,0,0,0,10.7,0,0,0,0
"파워링크",공통광고 M,008. hpr21,수납선반,모바일,151,2,528,"1,056",5.1,0,0,0,0
"파워링크",공통광고 M,008. hpr21,앵글선반,모바일,2,0,0,0,18,0,0,0,0
"파워링크",공통광고 M,008. hpr21,에이치피알,모바일,35,0,0,0,1,0,0,0,0
"파워링크",공통광고 M,008. hpr21,작업대,모바일,5,1,550,550,24,0,0,0,0
"파워링크",공통광고 M,008. hpr21,조립식선반,모바일,10,1,539,539,17,0,0,0,0
"파워링크",공통광고 M,008. hpr21,중량랙,모바일,10,0,0,0,23.6,0,0,0,0
"파워링크",공통광고 M,008. hpr21,창고랙,모바일,4,0,0,0,16.5,0,0,0,0
"파워링크",공통광고 M,008. hpr21,창고선반,모바일,6,0,0,0,19.2,0,0,0,0
"파워링크",공통광고 M,008. hpr21,철제선반,모바일,43,0,0,0,25,0,0,0,0
"파워링크",공통광고 M,008. hpr21,파레트랙,모바일,5,0,0,0,17.6,0,0,0,0
"파워링크",공통광고 M,008. hpr21,파레트렉,모바일,3,0,0,0,19.3,0,0,0,0
"파워링크",공통광고 M,008. hpr21,파렛트랙,모바일,17,0,0,0,19.6,0,0,0,0
"파워링크",공통광고 M,008. hpr21,파렛트렉,모바일,4,0,0,0,11,0,0,0,0
"파워링크",공통광고 M,009. 하나랙,-,모바일,115,1,77,77,2.8,1,107,0,0
"파워링크",공통광고 M,009. 하나랙,HANARACK,모바일,46,0,0,0,3.8,0,0,0,0
"파워링크",공통광고 M,009. 하나랙,하나랙,모바일,96,50,55,"2,750",1,4.48,113.18,67,"1,162,340"
"파워링크",공통광고 M,009. 하나랙,하나랙캐스터,모바일,2,0,0,0,1,0,0,0,0
"파워링크",공통광고 M,001. 경량랙,-,모바일,"5,506",57,297,"16,918",2.4,2.17,53.25,2,0
"파워링크",공통광고 M,001. 경량랙,2단선반,모바일,53,1,528,528,4.5,1.5,5.5,0,0
"파워링크",공통광고 M,001. 경량랙,3단선반,모바일,43,0,0,0,4.7,0,0,0,0
"파워링크",공통광고 M,001. 경량랙,LACK,모바일,230,0,0,0,3.9,0,0,0,0
"파워링크",공통광고 M,001. 경량랙,RACK,모바일,6,0,0,0,5.7,0,0,0,0
"파워링크",공통광고 M,001. 경량랙,STEELSHELF,모바일,1,0,0,0,2,0,0,0,0
"파워링크",공통광고 M,001. 경량랙,ㄷ자기둥,모바일,3,0,0,0,2.7,0,0,0,0
"파워링크",공통광고 M,001. 경량랙,가게선반,모바일,1,0,0,0,6,0,0,0,0
"파워링크",공통광고 M,001. 경량랙,가로선반,모바일,55,2,242,484,2.6,1,0,0,0
"파워링크",공통광고 M,001. 경량랙,가정용조립선반,모바일,2,0,0,0,2,0,0,0,0
"파워링크",공통광고 M,001. 경량랙,강철선반,모바일,8,0,0,0,3.6,0,0,0,0
"파워링크",공통광고 M,001. 경량랙,거실선반,모바일,57,0,0,0,13.1,0,0,0,0
"파워링크",공통광고 M,001. 경량랙,거실수납선반,모바일,3,0,0,0,1,0,0,0,0
"파워링크",공통광고 M,001. 경량랙,거실철제선반,모바일,1,0,0,0,4,0,0,0,0
"파워링크",공통광고 M,001. 경량랙,경락랙,모바일,5,0,0,0,4.8,0,0,0,0
"파워링크",공통광고 M,001. 경량랙,경량랙규격,모바일,1,1,374,374,4,6,89,0,0
"파워링크",공통광고 M,001. 경량랙,경량랙독립형,모바일,2,0,0,0,2.5,0,0,0,0
"파워링크",공통광고 M,001. 경량랙,경량랙선반,모바일,47,1,"1,012","1,012",5.3,1.5,11.5,0,0
"파워링크",공통광고 M,001. 경량랙,경량랙설치,모바일,1,0,0,0,2,0,0,0,0
"파워링크",공통광고 M,001. 경량랙,경량랙앵글,모바일,264,0,0,0,3.5,0,0,0,0
"파워링크",공통광고 M,001. 경량랙,경량랙전문,모바일,1,0,0,0,2,0,0,0,0
"파워링크",공통광고 M,001. 경량랙,경량랙제작,모바일,6,1,308,308,10,1,0,0,0
"파워링크",공통광고 M,001. 경량랙,경량랙조립,모바일,3,0,0,0,2,0,0,0,0
"파워링크",공통광고 M,001. 경량랙,경량랙철제선반,모바일,14,0,0,0,10.6,0,0,0,0
"파워링크",공통광고 M,001. 경량랙,경량보관고,모바일,1,0,0,0,4,0,0,0,0
"파워링크",공통광고 M,001. 경량랙,경량선반,모바일,193,8,710,"5,676",2.3,1.25,7.25,0,0
"파워링크",공통광고 M,001. 경량랙,경량앵글,모바일,45,1,550,550,3.1,1.5,2,0,0
"파워링크",공통광고 M,001. 경량랙,공간선반,모바일,32,0,0,0,2.2,0,0,0,0
"파워링크",공통광고 M,001. 경량랙,공간활용,모바일,188,1,374,374,2.1,1,0,0,0
"파워링크",공통광고 M,001. 경량랙,공간활용선반,모바일,155,2,308,616,3.6,6,63.67,0,0
"파워링크",공통광고 M,001. 경량랙,공방작업실,모바일,2,0,0,0,1,0,0,0,0
"파워링크",공통광고 M,001. 경량랙,공업용선반,모바일,5,0,0,0,9,0,0,0,0
"파워링크",공통광고 M,001. 경량랙,공장렉,모바일,3,0,0,0,4,0,0,0,0
"파워링크",공통광고 M,001. 경량랙,공장선반,모바일,13,1,517,517,3.5,1,0,0,0
"파워링크",공통광고 M,001. 경량랙,과자선반,모바일,15,0,0,0,5.1,0,0,0,0
"파워링크",공통광고 M,001. 경량랙,국민선반,모바일,44,0,0,0,2.4,0,0,0,0
"파워링크",공통광고 M,001. 경량랙,긴선반,모바일,24,0,0,0,3.5,0,0,0,0
"파워링크",공통광고 M,001. 경량랙,김치냉장고선반,모바일,616,9,513,"4,620",2.7,1.11,0.89,1,0
"파워링크",공통광고 M,001. 경량랙,김치냉장고수납장,모바일,37,0,0,0,2.3,0,0,0,0
"파워링크",공통광고 M,001. 경량랙,김치냉장고앵글,모바일,23,0,0,0,3.6,0,0,0,0
"파워링크",공통광고 M,001. 경량랙,김치냉장고자리,모바일,18,0,0,0,1.5,0,0,0,0
"파워링크",공통광고 M,001. 경량랙,김치냉장고자리선반,모바일,26,0,0,0,3.3,0,0,0,0
"파워링크",공통광고 M,001. 경량랙,김치냉장고자리수납,모바일,1,0,0,0,2,0,0,0,0
"파워링크",공통광고 M,001. 경량랙,김치냉장고자리수납장,모바일,192,0,0,0,3.3,0,0,0,0
"파워링크",공통광고 M,001. 경량랙,김포선반,모바일,3,0,0,0,3,0,0,0,0
"파워링크",공통광고 M,001. 경량랙,높낮이조절선반,모바일,52,0,0,0,3.8,0,0,0,0
"파워링크",공통광고 M,001. 경량랙,높은선반,모바일,28,0,0,0,4.3,0,0,0,0
"파워링크",공통광고 M,001. 경량랙,높이조절선반,모바일,165,2,517,"1,034",3.7,1.4,4.8,0,0
"파워링크",공통광고 M,001. 경량랙,다단선반,모바일,3,0,0,0,3.3,0,0,0,0
"파워링크",공통광고 M,001. 경량랙,다용도랙,모바일,79,0,0,0,3,0,0,0,0
"파워링크",공통광고 M,001. 경량랙,다용도선반,모바일,158,0,0,0,5,0,0,0,0
"파워링크",공통광고 M,001. 경량랙,다용도수납선반,모바일,15,0,0,0,4.7,0,0,0,0
"파워링크",공통광고 M,001. 경량랙,다용도실랙,모바일,54,0,0,0,3.1,0,0,0,0
"파워링크",공통광고 M,001. 경량랙,다용도실선반,모바일,4,0,0,0,27,0,0,0,0
