"파워링크보고서(2025.06.01.~2025.06.30.),ise41661:naver"
"캠페인유형",캠페인,광고그룹,키워드,PC/모바일 매체,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위,방문당 평균페이지뷰,방문당 평균체류시간(초),전환수,전환매출액(원)
"파워링크",틔움바이오,브로콜리 새싹분말 pc,브로컬리새싹분말효능,PC,1,0,0,0,1,0,0,0,0
"파워링크",틔움바이오,브로콜리 새싹분말 pc,브로콜리,PC,"8,262",3,286,858,4.5,0,0,0,0
"파워링크",틔움바이오,브로콜리 새싹분말 pc,브로콜리가루,PC,41,2,286,572,4.8,0,0,0,0
"파워링크",틔움바이오,브로콜리 새싹분말 pc,브로콜리분말,PC,1,0,0,0,10,0,0,0,0
"파워링크",틔움바이오,브로콜리 새싹분말 pc,브로콜리새싹,PC,297,8,307,"2,453",2.1,0,0,0,0
"파워링크",틔움바이오,브로콜리 새싹분말 pc,브로콜리새싹가루,PC,1,0,0,0,2,0,0,0,0
"파워링크",틔움바이오,브로콜리 새싹분말 pc,브로콜리새싹가루판매,PC,1,0,0,0,1,0,0,0,0
"파워링크",틔움바이오,브로콜리 새싹분말 pc,브로콜리새싹분말,PC,70,4,646,"2,585",1.3,0,0,0,0
"파워링크",틔움바이오,브로콜리 새싹분말 pc,브로콜리새싹분말효능,PC,17,0,0,0,1.3,0,0,0,0
"파워링크",틔움바이오,브로콜리 새싹분말 pc,브로콜리엑기스,PC,2,0,0,0,9,0,0,0,0
"파워링크",틔움바이오,브로콜리 새싹분말 pc,브로콜리파우더,PC,6,0,0,0,4.3,0,0,0,0
"파워링크",틔움바이오,브로콜리 새싹분말 pc,새싹분말,PC,4,0,0,0,2.3,0,0,0,0
"파워링크",틔움바이오,브로콜리 새싹분말 pc,새싹브로콜리,PC,27,0,0,0,3.1,0,0,0,0
"파워링크",틔움바이오,브로콜리 새싹분말 pc,새싹브로콜리가루,PC,1,0,0,0,7,0,0,0,0
"파워링크",틔움바이오,브로콜리 새싹분말 pc,틔움바이오,PC,10,2,66,132,1,0,0,0,0
"파워링크",틔움바이오,브로콜리 새싹분말 모바일,100%부로콜리가루,모바일,2,0,0,0,4,0,0,0,0
"파워링크",틔움바이오,브로콜리 새싹분말 모바일,100%브로콜리가루,모바일,1,0,0,0,3,0,0,0,0
"파워링크",틔움바이오,브로콜리 새싹분말 모바일,브로콜리가루,모바일,6,0,0,0,6.3,0,0,0,0
"파워링크",틔움바이오,브로콜리 새싹분말 모바일,브로콜리분말가루,모바일,1,0,0,0,2,0,0,0,0
"파워링크",틔움바이오,브로콜리 새싹분말 모바일,브로콜리새싹,모바일,"1,160",45,293,"13,189",2,0,0,0,0
"파워링크",틔움바이오,브로콜리 새싹분말 모바일,브로콜리새싹가루,모바일,6,0,0,0,3.2,0,0,0,0
"파워링크",틔움바이오,브로콜리 새싹분말 모바일,브로콜리새싹분말,모바일,210,7,283,"1,980",3.4,0,0,0,0
"파워링크",틔움바이오,브로콜리 새싹분말 모바일,브로콜리새싹분말판매,모바일,1,0,0,0,2,0,0,0,0
"파워링크",틔움바이오,브로콜리 새싹분말 모바일,브로콜리새싹분말효능,모바일,100,6,101,605,2.4,0,0,0,0
"파워링크",틔움바이오,브로콜리 새싹분말 모바일,브로콜리새싹파우더,모바일,6,0,0,0,2.2,0,0,0,0
"파워링크",틔움바이오,브로콜리 새싹분말 모바일,브로콜리세싹,모바일,1,0,0,0,1,0,0,0,0
"파워링크",틔움바이오,브로콜리 새싹분말 모바일,브로콜리엑기스,모바일,10,0,0,0,2.4,0,0,0,0
"파워링크",틔움바이오,브로콜리 새싹분말 모바일,브로콜리파우더,모바일,9,0,0,0,4.8,0,0,0,0
"파워링크",틔움바이오,브로콜리 새싹분말 모바일,새싹분말,모바일,53,0,0,0,2.3,0,0,0,0
"파워링크",틔움바이오,브로콜리 새싹분말 모바일,새싹브로콜리,모바일,99,3,176,528,2.2,0,0,0,0
"파워링크",틔움바이오,브로콜리 새싹분말 모바일,새싹브로콜리가루,모바일,7,0,0,0,1.3,0,0,0,0
"파워링크",틔움바이오,브로콜리 새싹분말 모바일,새싹브로콜리분말,모바일,2,1,275,275,1,0,0,0,0
"파워링크",틔움바이오,브로콜리 새싹분말 모바일,설포라판,모바일,"1,539",20,459,"9,174",2.9,0,0,0,0
"파워링크",틔움바이오,브로콜리 새싹분말 모바일,세싹브로컬리파우더,모바일,"1,042",9,152,"1,364",1.8,0,0,0,0
"파워링크",틔움바이오,브로콜리 새싹분말 모바일,틔움바이오,모바일,"1,007",5,262,"1,309",1.9,0,0,0,0
"파워링크",브로콜리새싹분말 80g,브로콜리새싹분말 80g_PC,브로리코효능,PC,68,0,0,0,2.4,0,0,0,0
"파워링크",브로콜리새싹분말 80g,브로콜리새싹분말 80g_PC,브로컬리새싹,PC,4,0,0,0,2,0,0,0,0
"파워링크",브로콜리새싹분말 80g,브로콜리새싹분말 80g_PC,브로콜리분말가루,PC,2,0,0,0,2,0,0,0,0
"파워링크",브로콜리새싹분말 80g,브로콜리새싹분말 80g_PC,브로콜리새싹,PC,5,0,0,0,4,0,0,0,0
"파워링크",브로콜리새싹분말 80g,브로콜리새싹분말 80g_PC,브로콜리새싹가루,PC,4,0,0,0,3.5,0,0,0,0
"파워링크",브로콜리새싹분말 80g,브로콜리새싹분말 80g_PC,브로콜리새싹추출물,PC,7,1,143,143,2.1,0,0,0,0
"파워링크",브로콜리새싹분말 80g,브로콜리새싹분말 80g_PC,브로콜리영양제,PC,78,1,165,165,6.2,0,0,0,0
"파워링크",브로콜리새싹분말 80g,브로콜리새싹분말 80g_PC,브로콜리효능,PC,"1,701",0,0,0,6.7,0,0,0,0
"파워링크",브로콜리새싹분말 80g,브로콜리새싹분말 80g_PC,새싹분말,PC,4,0,0,0,3.5,0,0,0,0
"파워링크",브로콜리새싹분말 80g,브로콜리새싹분말 80g_PC,새싹브로콜리,PC,1,0,0,0,3,0,0,0,0
"파워링크",브로콜리새싹분말 80g,브로콜리새싹분말 80g_PC,새싹브로콜리분말,PC,2,0,0,0,2,0,0,0,0
"파워링크",브로콜리새싹분말 80g,브로콜리새싹분말 80g_PC,설포라판,PC,747,6,284,"1,705",3.7,0,0,0,0
"파워링크",브로콜리새싹분말 80g,브로콜리새싹분말 80g_PC,설포라판영양제,PC,53,5,235,"1,177",1.5,0,0,0,0
"파워링크",브로콜리새싹분말 80g,브로콜리새싹분말 80g_PC,설포라판효능,PC,139,1,330,330,2.6,0,0,0,0
"파워링크",브로콜리새싹분말 80g,브로콜리새싹분말 80g_PC,술깨는음료,PC,7,0,0,0,6.6,0,0,0,0
"파워링크",브로콜리새싹분말 80g,브로콜리새싹분말 80g_PC,아토피에좋은영양제,PC,57,0,0,0,4.4,0,0,0,0
"파워링크",브로콜리새싹분말 80g,브로콜리새싹분말 80g_PC,위장에좋은영양제,PC,9,0,0,0,7.2,0,0,0,0
"파워링크",브로콜리새싹분말 80g,브로콜리새싹분말 80g_PC,중금속배출,PC,41,0,0,0,8.1,0,0,0,0
"파워링크",브로콜리새싹분말 80g,브로콜리새싹분말 80g_PC,치매건강식품,PC,22,0,0,0,6.4,0,0,0,0
"파워링크",브로콜리새싹분말 80g,브로콜리새싹분말 80g_PC,치매예방뇌영양제,PC,73,0,0,0,8.1,0,0,0,0
"파워링크",브로콜리새싹분말 80g,브로콜리새싹분말 80g_PC,피부면역,PC,4,0,0,0,3,0,0,0,0
"파워링크",브로콜리새싹분말 80g,브로콜리새싹분말 80g_PC,피부질환종류,PC,274,0,0,0,4.8,0,0,0,0
"파워링크",브로콜리새싹분말 80g,브로콜리새싹분말 80g_PC,항암영양제,PC,45,0,0,0,8.7,0,0,0,0
"파워링크",브로콜리새싹분말 80g,브로콜리새싹분말 80g_MO,부로콜리새싹,모바일,4,0,0,0,1,0,0,0,0
"파워링크",브로콜리새싹분말 80g,브로콜리새싹분말 80g_MO,부로콜리새싹분말,모바일,2,0,0,0,3,0,0,0,0
"파워링크",브로콜리새싹분말 80g,브로콜리새싹분말 80g_MO,브로리코효능,모바일,375,8,191,"1,529",2.3,0,0,0,0
"파워링크",브로콜리새싹분말 80g,브로콜리새싹분말 80g_MO,브로컬리새싹,모바일,24,0,0,0,2,0,0,0,0
"파워링크",브로콜리새싹분말 80g,브로콜리새싹분말 80g_MO,브로컬리새싹가루,모바일,1,0,0,0,1,0,0,0,0
"파워링크",브로콜리새싹분말 80g,브로콜리새싹분말 80g_MO,브로콜리가루,모바일,1,0,0,0,3,0,0,0,0
"파워링크",브로콜리새싹분말 80g,브로콜리새싹분말 80g_MO,브로콜리새싹,모바일,41,0,0,0,2,0,0,0,0
"파워링크",브로콜리새싹분말 80g,브로콜리새싹분말 80g_MO,브로콜리새싹가루,모바일,1,0,0,0,4,0,0,0,0
"파워링크",브로콜리새싹분말 80g,브로콜리새싹분말 80g_MO,브로콜리새싹분말,모바일,63,0,0,0,2.5,0,0,0,0
"파워링크",브로콜리새싹분말 80g,브로콜리새싹분말 80g_MO,브로콜리새싹추출물,모바일,15,0,0,0,2.9,0,0,0,0
"파워링크",브로콜리새싹분말 80g,브로콜리새싹분말 80g_MO,브로콜리영양제,모바일,34,0,0,0,3.9,0,0,0,0
"파워링크",브로콜리새싹분말 80g,브로콜리새싹분말 80g_MO,브로콜리효능,모바일,"5,476",48,205,"9,834",2.7,0,0,0,0
"파워링크",브로콜리새싹분말 80g,브로콜리새싹분말 80g_MO,새싹분말,모바일,32,0,0,0,2.7,0,0,0,0
"파워링크",브로콜리새싹분말 80g,브로콜리새싹분말 80g_MO,새싹브로콜리,모바일,3,0,0,0,2,0,0,0,0
"파워링크",브로콜리새싹분말 80g,브로콜리새싹분말 80g_MO,새싹브로콜리분말,모바일,21,0,0,0,2.3,0,0,0,0
