"파워링크보고서(2025.06.01.~2025.06.30.),jungkiseo:naver"
"캠페인유형",캠페인,광고그룹,키워드,PC/모바일 매체,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위,방문당 평균페이지뷰,방문당 평균체류시간(초),전환수,전환매출액(원)
"파워링크",(에듀피스) 홍보 키워드,old)마을,-,PC,3,1,77,77,2,0,0,0,0
"파워링크",(에듀피스) 홍보 키워드,old)마을,-,모바일,7,1,77,77,1.3,0,0,0,0
"파워링크",(에듀피스) 홍보 키워드,old)마을,마을갈등,PC,4,0,0,0,1,0,0,0,0
"파워링크",(에듀피스) 홍보 키워드,old)마을,마을갈등해결,모바일,1,1,77,77,1,0,0,0,0
"파워링크",(에듀피스) 홍보 키워드,old)마을,마을교육,PC,10,0,0,0,1.6,0,0,0,0
"파워링크",(에듀피스) 홍보 키워드,old)마을,마을교육,모바일,10,0,0,0,1.3,0,0,0,0
"파워링크",(에듀피스) 홍보 키워드,old)마을,마을분쟁해결센터,모바일,3,0,0,0,1,0,0,0,0
"파워링크",(에듀피스) 홍보 키워드,old)마을,마을학교,PC,196,0,0,0,1.7,0,0,0,0
"파워링크",(에듀피스) 홍보 키워드,old)마을,마을학교,모바일,"4,257",1,77,77,1.8,0,0,0,0
"파워링크",(에듀피스) 홍보 키워드,old)마을,소시오크라시,PC,2,0,0,0,1.5,0,0,0,0
"파워링크",(에듀피스) 홍보 키워드,old)마을,소시오크라시,모바일,5,0,0,0,1,0,0,0,0
"파워링크",(에듀피스) 홍보 키워드,old)마을,이웃간갈등,PC,7,0,0,0,1,0,0,0,0
"파워링크",(에듀피스) 홍보 키워드,old)마을,이웃간갈등,모바일,16,0,0,0,1.1,0,0,0,0
"파워링크",(에듀피스) 홍보 키워드,old)마을,이웃간분쟁,PC,1,0,0,0,1,0,0,0,0
"파워링크",(에듀피스) 홍보 키워드,old)마을,이웃간분쟁,모바일,4,0,0,0,1,0,0,0,0
"파워링크",(에듀피스) 홍보 키워드,old)마을,이웃갈등,PC,21,0,0,0,1,0,0,0,0
"파워링크",(에듀피스) 홍보 키워드,old)마을,이웃갈등,모바일,55,0,0,0,1,0,0,0,0
"파워링크",(에듀피스) 홍보 키워드,old)마을,이웃분쟁,PC,2,0,0,0,1,0,0,0,0
"파워링크",(에듀피스) 홍보 키워드,old)마을,이웃분쟁,모바일,4,0,0,0,1,0,0,0,0
"파워링크",(에듀피스) 홍보 키워드,학생-회복적 생활교육,-,PC,29,0,0,0,1.9,0,0,0,0
"파워링크",(에듀피스) 홍보 키워드,학생-회복적 생활교육,-,모바일,21,0,0,0,2,0,0,0,0
"파워링크",(에듀피스) 홍보 키워드,학생-회복적 생활교육,공동체놀이,PC,130,0,0,0,2.5,0,0,0,0
"파워링크",(에듀피스) 홍보 키워드,학생-회복적 생활교육,공동체놀이,모바일,91,1,88,88,2.3,0,0,0,0
"파워링크",(에듀피스) 홍보 키워드,학생-회복적 생활교육,관계가꿈,모바일,2,0,0,0,1,0,0,0,0
"파워링크",(에듀피스) 홍보 키워드,학생-회복적 생활교육,관계개선,PC,199,0,0,0,2.2,0,0,0,0
"파워링크",(에듀피스) 홍보 키워드,학생-회복적 생활교육,관계개선,모바일,"2,304",3,99,297,2,0,0,0,0
"파워링크",(에듀피스) 홍보 키워드,학생-회복적 생활교육,관계중심,PC,8,0,0,0,2.1,0,0,0,0
"파워링크",(에듀피스) 홍보 키워드,학생-회복적 생활교육,관계중심,모바일,200,0,0,0,1.7,0,0,0,0
"파워링크",(에듀피스) 홍보 키워드,학생-회복적 생활교육,관계중심생활교육,PC,1,0,0,0,1,0,0,0,0
"파워링크",(에듀피스) 홍보 키워드,학생-회복적 생활교육,관계회복,PC,"1,658",0,0,0,2.1,0,0,0,0
"파워링크",(에듀피스) 홍보 키워드,학생-회복적 생활교육,관계회복,모바일,505,0,0,0,2.1,0,0,0,0
"파워링크",(에듀피스) 홍보 키워드,학생-회복적 생활교육,관계회복프로그램,PC,115,0,0,0,1.8,0,0,0,0
"파워링크",(에듀피스) 홍보 키워드,학생-회복적 생활교육,관계회복프로그램,모바일,174,0,0,0,1.9,0,0,0,0
"파워링크",(에듀피스) 홍보 키워드,학생-회복적 생활교육,생활교육,PC,320,0,0,0,1.3,0,0,0,0
"파워링크",(에듀피스) 홍보 키워드,학생-회복적 생활교육,생활교육,모바일,788,0,0,0,1.3,0,0,0,0
"파워링크",(에듀피스) 홍보 키워드,학생-회복적 생활교육,생활지도,PC,"1,144",0,0,0,1.5,0,0,0,0
"파워링크",(에듀피스) 홍보 키워드,학생-회복적 생활교육,생활지도,모바일,"10,464",5,77,385,1.7,0,0,0,0
"파워링크",(에듀피스) 홍보 키워드,학생-회복적 생활교육,평화서클,PC,4,0,0,0,1,0,0,0,0
"파워링크",(에듀피스) 홍보 키워드,학생-회복적 생활교육,평화서클,모바일,1,0,0,0,1,0,0,0,0
"파워링크",(에듀피스) 홍보 키워드,학생-회복적 생활교육,학생교육,PC,149,0,0,0,2.3,0,0,0,0
"파워링크",(에듀피스) 홍보 키워드,학생-회복적 생활교육,학생교육,모바일,33,0,0,0,2.1,0,0,0,0
"파워링크",(에듀피스) 홍보 키워드,학생-회복적 생활교육,학생생활교육,PC,6,0,0,0,2,0,0,0,0
"파워링크",(에듀피스) 홍보 키워드,학생-회복적 생활교육,학생생활교육,모바일,26,0,0,0,1.3,0,0,0,0
"파워링크",(에듀피스) 홍보 키워드,학생-회복적 생활교육,학생생활지도,PC,75,0,0,0,1.8,0,0,0,0
"파워링크",(에듀피스) 홍보 키워드,학생-회복적 생활교육,학생생활지도,모바일,70,0,0,0,1.5,0,0,0,0
"파워링크",(에듀피스) 홍보 키워드,학생-회복적 생활교육,회복적생활교육,PC,6,0,0,0,1.5,0,0,0,0
"파워링크",(에듀피스) 홍보 키워드,학생-회복적 생활교육,회복적생활교육,모바일,8,0,0,0,1.9,0,0,0,0
"파워링크",(에듀피스) 홍보 키워드,학생-회복적 생활교육,회복적생활교육서클,PC,30,0,0,0,1.3,0,0,0,0
"파워링크",(에듀피스) 홍보 키워드,학생-회복적 생활교육,회복적생활교육서클,모바일,19,0,0,0,1.2,0,0,0,0
"파워링크",(에듀피스) 홍보 키워드,학생-회복적 생활교육,회복적생활교육프로그램,PC,1,0,0,0,1,0,0,0,0
"파워링크",(에듀피스) 홍보 키워드,학생-회복적 생활교육,회복적서클,PC,99,0,0,0,1.7,0,0,0,0
"파워링크",(에듀피스) 홍보 키워드,학생-회복적 생활교육,회복적서클,모바일,85,0,0,0,2,0,0,0,0
"파워링크",(에듀피스) 홍보 키워드,학생-회복적 생활교육,회복중심생활교육,모바일,4,0,0,0,1,0,0,0,0
"파워링크",(에듀피스) 홍보 키워드,학생-기타 학교 키워드,-,PC,15,0,0,0,1.8,0,0,0,0
"파워링크",(에듀피스) 홍보 키워드,학생-기타 학교 키워드,-,모바일,22,0,0,0,2.3,0,0,0,0
"파워링크",(에듀피스) 홍보 키워드,학생-기타 학교 키워드,WEE클래스,PC,141,0,0,0,2.9,0,0,0,0
"파워링크",(에듀피스) 홍보 키워드,학생-기타 학교 키워드,WEE클래스,모바일,322,0,0,0,2.2,0,0,0,0
"파워링크",(에듀피스) 홍보 키워드,학생-기타 학교 키워드,공동체교육,PC,37,0,0,0,1.8,0,0,0,0
"파워링크",(에듀피스) 홍보 키워드,학생-기타 학교 키워드,공동체교육,모바일,35,0,0,0,2,0,0,0,0
"파워링크",(에듀피스) 홍보 키워드,학생-기타 학교 키워드,교육공동체,PC,206,0,0,0,2.3,0,0,0,0
"파워링크",(에듀피스) 홍보 키워드,학생-기타 학교 키워드,교육공동체,모바일,608,0,0,0,2.1,0,0,0,0
"파워링크",(에듀피스) 홍보 키워드,학생-기타 학교 키워드,교육생태계,PC,1,0,0,0,1,0,0,0,0
"파워링크",(에듀피스) 홍보 키워드,학생-기타 학교 키워드,교육생태계,모바일,3,0,0,0,3,0,0,0,0
"파워링크",(에듀피스) 홍보 키워드,학생-기타 학교 키워드,따뜻한학교,PC,5,0,0,0,1,0,0,0,0
"파워링크",(에듀피스) 홍보 키워드,학생-기타 학교 키워드,따뜻한학교,모바일,119,1,77,77,1,0,0,0,0
"파워링크",(에듀피스) 홍보 키워드,학생-기타 학교 키워드,또래상담,PC,533,0,0,0,1.3,0,0,0,0
"파워링크",(에듀피스) 홍보 키워드,학생-기타 학교 키워드,또래상담,모바일,"2,560",2,253,506,1.7,0,0,0,0
"파워링크",(에듀피스) 홍보 키워드,학생-기타 학교 키워드,또래상담교육,PC,18,0,0,0,1.8,0,0,0,0
